total/epochs,train/loss_critic,obs_rms_mean,rollout/episode_steps,eval/episodes,rollout/Q_mean,rollout/return_history,total/duration,train/param_noise_distance,eval/Q,rollout/return,reference_Q_mean,total/steps_per_second,total/steps,obs_rms_std,total/episodes,eval/return_history,rollout/episodes,reference_actor_Q_std,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_mean,reference_action_std,ret_rms_std,param_noise_stddev,reference_Q_std,rollout/actions_mean,reference_actor_Q_mean,eval/return,train/loss_actor,rollout/actions_std,reference_action_mean
1,0.21291635930538177,0.010402380488812923,386.0,1.0,-1.4154553413391113,-398.6621239829344,87.31706404685974,0.9328070878982544,-4.120246410369873,-398.6621239829344,-1.925415277481079,11.452515163168314,1000,0.41697055101394653,2.0,-2255.5021630464316,2.0,1.8107407093048096,0.8431416749954224,-0.049569107592105865,0.0,0.8908811807632446,1.0,0.16720346283821505,1.9612805843353271,0.004816497676074505,-0.8935070037841797,-2255.5021630464316,1.0190328359603882,0.7573510408401489,-0.14343680441379547
2,0.37149977684020996,0.008423061110079288,590.6666666666666,2.0,-1.887123465538025,-826.2237569835537,193.75805807113647,0.7234823703765869,-6.2729997634887695,-826.2237569835537,-1.4795198440551758,10.32215134642668,2000,0.3894338607788086,3.0,-1974.9438339684075,3.0,2.4289426803588867,0.876054584980011,-0.26346778869628906,0.0,0.7645903825759888,1.0,0.1370306733903066,2.732750654220581,-0.05171534791588783,-0.40818333625793457,-1694.3855048903831,1.5943565368652344,0.8040799498558044,-0.2147129327058792
3,0.6838571429252625,0.011880277656018734,693.0,3.0,-3.3918099403381348,-1191.8815597736025,286.73114705085754,0.7111355662345886,-1.4641549587249756,-1191.8815597736025,-1.1533167362213135,10.462762873361259,3000,0.3759182393550873,4.0,-1643.163190906059,4.0,3.4448177814483643,0.7948558330535889,0.02020934969186783,0.0,0.7798696756362915,1.0,0.11230273064362171,3.6845500469207764,-0.11909456551074982,-0.4634677767753601,-979.6019047813627,3.785130500793457,0.8259729743003845,0.148405060172081
4,0.8812278509140015,0.013274092227220535,653.5,4.0,-2.4905529022216797,-1076.828314068016,332.0683083534241,0.5709893107414246,-0.7940460443496704,-1076.828314068016,-3.183919906616211,12.045714388808085,4000,0.36825186014175415,6.0,-1254.7644399016067,6.0,3.6234593391418457,0.7862279415130615,0.10852004587650299,0.0,0.7989820241928101,1.0,0.09203708190275892,4.154510498046875,-0.06226309761404991,-2.0749917030334473,-89.56818688824968,3.479311466217041,0.821701169013977,0.05659198760986328
5,1.0525332689285278,0.016666516661643982,618.375,5.0,-2.2007758617401123,-1028.2454471380272,408.581773519516,0.5414310097694397,-2.8873307704925537,-1028.2454471380272,-3.224766731262207,12.237452387878418,5000,0.37431395053863525,8.0,-1072.9304302869407,8.0,3.8898212909698486,0.8047140836715698,-0.00781695544719696,0.0,0.8253551721572876,1.0,0.07542848153938683,4.233804225921631,-0.03443910926580429,-2.035106897354126,-345.59439182827634,3.1239099502563477,0.8187571167945862,-0.002352021634578705
6,1.325110673904419,0.016193216666579247,660.7777777777778,6.0,-2.655287027359009,-1064.2055203170478,470.6995747089386,0.4694972336292267,-3.8029768466949463,-1064.2055203170478,-2.359750509262085,12.746984111277676,6000,0.3991492986679077,9.0,-1112.512810596421,9.0,4.104235649108887,0.8040547370910645,0.056308209896087646,0.0,0.8275967240333557,1.0,0.06181699495154324,4.564476013183594,-0.03423556685447693,-0.8386887311935425,-1310.4247121438239,2.600534677505493,0.8124078512191772,-0.029660403728485107
7,1.0617491006851196,0.02178814820945263,694.7,7.0,-2.772888422012329,-1162.2157094435115,560.548196554184,0.5176472067832947,-6.065976142883301,-1162.2157094435115,-2.1872806549072266,12.487775436671773,7000,0.3858059346675873,10.0,-1010.4635704496443,10.0,4.2883477210998535,0.7497634291648865,-0.20257717370986938,0.0,0.808610737323761,1.0,0.05066177638540577,4.685261249542236,-0.01083050761371851,-0.68710857629776,-398.16812956898286,2.592294692993164,0.8213828802108765,-0.10504481196403503
8,1.3297125101089478,0.021206973120570183,665.3333333333334,8.0,-3.2169878482818604,-1086.9237634939493,606.72869348526,0.34084758162498474,-6.302145957946777,-1086.9237634939493,-1.1995112895965576,13.185465078378321,8000,0.39715391397476196,12.0,-966.3037736727281,12.0,4.348362922668457,0.7631317973136902,0.07838696986436844,0.0,0.7770916819572449,1.0,0.04151957869412388,4.6214213371276855,-0.022628864273428917,-0.05384214222431183,-657.1851962343137,3.0052754878997803,0.8160466551780701,0.08404534310102463
9,1.7311298847198486,0.022537613287568092,316.89285714285717,9.0,-3.012864828109741,-497.14092159044975,616.9985897541046,0.32067933678627014,-1.1226886510849,-497.14092159044975,-1.6632795333862305,14.586743226733812,9000,0.4208935499191284,28.0,-863.9272431425698,28.0,4.515388011932373,0.7505565881729126,0.057467199862003326,0.0,0.7664478421211243,1.0,0.034027141129503384,4.6947340965271,-0.002054043347015977,-0.638503909111023,-44.914998901302866,4.1685075759887695,0.8040881156921387,0.1638621687889099
10,1.9324851036071777,0.02371995709836483,267.0285714285714,10.0,-3.7658751010894775,-406.7430642762292,627.0568346977234,0.25034618377685547,1.0770785808563232,-406.7430642762292,-2.562044858932495,15.947517747447186,10000,0.4212895929813385,35.0,-780.3445397297567,35.0,5.359121322631836,0.7434172034263611,0.008375003933906555,0.0,0.7609460949897766,1.0,0.027886755354071244,5.516992092132568,0.012879904359579086,-1.4086391925811768,-28.100209014439116,5.739068508148193,0.8070885539054871,0.05960867553949356
11,2.3144795894622803,0.024272892624139786,287.3888888888889,11.0,-4.2874064445495605,-461.6814912967753,636.8808207511902,0.21336567401885986,-0.33335942029953003,-461.6814912967753,-2.3178176879882812,17.271677277117067,11000,0.4113858640193939,36.0,-713.3320743632185,36.0,6.093171119689941,0.7322651147842407,-0.00013890862464904785,0.0,0.7066712975502014,1.0,0.023782417899897774,6.114042282104492,0.012699579820036888,-1.0489706993103027,-43.20742069783583,5.474827289581299,0.80935138463974,-0.12266766279935837
12,2.491511583328247,0.023284154012799263,253.93478260869566,12.0,-4.440427303314209,-398.22170145754535,647.9196491241455,0.20910649001598358,-11.190412521362305,-398.22170145754535,-1.7194832563400269,18.520815067457114,12000,0.4199461340904236,46.0,-678.0437635017861,46.0,6.822216987609863,0.69414883852005,0.08652226626873016,0.0,0.7190150618553162,1.0,0.021962663920618616,6.992129802703857,-0.0008661161991767585,-0.0835309624671936,-289.87234402602974,5.155126571655273,0.803985059261322,0.09951028972864151
13,2.7864882946014404,0.022623520344495773,269.8085106382979,13.0,-5.004068374633789,-414.58451688217093,658.9915585517883,0.2152300775051117,-8.813887596130371,-414.58451688217093,-0.6718975901603699,19.727111571154314,13000,0.4236067235469818,47.0,-648.4911178551587,47.0,7.929102897644043,0.7051804065704346,0.07730622589588165,0.0,0.6892192363739014,1.0,0.02152991267583435,7.761219501495361,-0.015709640458226204,0.8137574195861816,-293.8593700956299,5.257871150970459,0.8005902767181396,0.12988418340682983
14,3.1926889419555664,0.022196035832166672,272.19607843137254,14.0,-5.94697380065918,-418.4429701429909,669.8179032802582,0.19885411858558655,-3.10451078414917,-418.4429701429909,0.7261450290679932,20.901203045542164,14000,0.4273812472820282,51.0,-619.1877331515219,51.0,9.392586708068848,0.6869143843650818,-0.00827682763338089,0.0,0.7095733880996704,1.0,0.020689822899908242,9.212645530700684,-0.021527178585529327,2.135471820831299,-238.24373200424503,6.09593391418457,0.7994551062583923,0.056970082223415375
15,3.648261785507202,0.02174932323396206,272.1090909090909,15.0,-5.949890613555908,-407.7189251862498,679.9075343608856,0.20604605972766876,8.580033302307129,-407.7189251862498,2.1356096267700195,22.06182347148135,15000,0.43454331159591675,55.0,-580.1861782704824,55.0,9.830008506774902,0.680574893951416,-0.006650157272815704,0.0,0.7000433206558228,1.0,0.020282151651708893,9.621536254882812,-0.009426195174455643,3.795647144317627,-34.1644099359287,5.920629501342773,0.7940829396247864,0.14370769262313843
16,3.755253791809082,0.021738888695836067,256.1864406779661,16.0,-5.983175277709961,-380.48362081340963,692.6082170009613,0.21166439354419708,-17.03820037841797,-380.48362081340963,3.9112675189971924,23.101083133666883,16000,0.4389827847480774,59.0,-616.272371702592,59.0,9.788822174072266,0.7435853481292725,0.10483794659376144,0.0,0.6705029606819153,1.0,0.0211056883401964,9.632083892822266,-0.00015974283451214433,5.719077110290527,-1157.5652731842363,5.883868217468262,0.789970338344574,0.08114925026893616
17,3.509417772293091,0.02093570865690708,264.55737704918033,17.0,-6.1836771965026855,-387.09505689525355,704.4614520072937,0.19324517250061035,-4.651382923126221,-387.09505689525355,4.415970802307129,24.131909491371275,17000,0.4340551793575287,61.0,-607.7834142426864,61.0,10.168468475341797,0.6650789380073547,0.08534292876720428,0.0,0.6353980302810669,1.0,0.021962663920618616,10.201691627502441,-0.020450102165341377,6.012889385223389,-471.96009488419725,4.712533950805664,0.7894819378852844,0.024232730269432068
18,3.9110829830169678,0.020938385277986526,276.4193548387097,18.0,-7.019002437591553,-405.62996761143233,715.7645683288574,0.18269234895706177,-7.292229652404785,-405.62996761143233,6.209007263183594,25.147933826936676,18000,0.42864078283309937,62.0,-595.1290988021909,62.0,11.390941619873047,0.6319183111190796,-0.05371967330574989,0.0,0.6420577168464661,1.0,0.02240411346542305,11.118101119995117,-0.027875009924173355,8.089122772216797,-380.0057363137674,5.730924129486084,0.7964863181114197,0.16428303718566895
19,5.048592567443848,0.0209944024682045,280.32835820895525,19.0,-6.36065673828125,-415.7978510363638,726.8365383148193,0.18856914341449738,-0.24535641074180603,-415.7978510363638,8.367057800292969,26.140678128333732,19000,0.4298303723335266,67.0,-577.0165280457222,67.0,10.980895042419434,0.6105122566223145,0.14639617502689362,0.0,0.6300326585769653,1.0,0.022854436146078055,11.085992813110352,-0.019499093294143677,10.514837265014648,-250.99025442928536,5.969979763031006,0.7896541357040405,0.06210815906524658
20,5.36225700378418,0.020586270838975906,280.9,20.0,-6.393711090087891,-406.4645917997049,850.4513816833496,0.2095499336719513,10.50514030456543,-406.4645917997049,12.158113479614258,23.516923401797285,20000,0.4288938343524933,70.0,-553.8330725812848,70.0,10.044787406921387,0.6579350829124451,-0.07969564199447632,0.0,0.6199624538421631,1.0,0.021962663920618616,10.079626083374023,-0.013996339403092861,13.878713607788086,-113.3474187569744,6.163549900054932,0.7868109941482544,0.033145368099212646
21,4.338663578033447,0.02037540078163147,287.2361111111111,21.0,-7.376601219177246,-429.50056146414613,876.575279712677,0.15779736638069153,7.351950168609619,-429.50056146414613,13.783946990966797,23.956869975712024,21000,0.4249194860458374,72.0,-550.3116446856712,72.0,10.580846786499023,0.5882523655891418,-0.044417135417461395,0.0,0.5918300151824951,1.0,0.02152991267583435,10.397815704345703,-0.016451366245746613,15.798851013183594,-479.88308677339967,7.022921085357666,0.7899986505508423,0.12275621294975281
22,5.61872673034668,0.019634049385786057,297.0,22.0,-7.205687999725342,-438.1265590028405,908.0682306289673,0.2121042013168335,6.4691901206970215,-438.1265590028405,17.216341018676758,24.227254360348947,22000,0.42340409755706787,73.0,-553.1261998678821,73.0,10.579712867736816,0.5652847290039062,0.2365194857120514,0.0,0.5826637148857117,1.0,0.02240411346542305,10.497200965881348,-0.020203085616230965,19.20392608642578,-612.2318586943113,6.181402683258057,0.7870614528656006,0.06553855538368225
23,5.965523719787598,0.020069165155291557,304.9066666666667,23.0,-6.457127571105957,-431.69520880511055,951.2642848491669,0.187882199883461,-11.261624336242676,-431.69520880511055,20.336639404296875,24.178349136325345,23000,0.4232085049152374,75.0,-545.2245908192032,75.0,10.744083404541016,0.5924965739250183,-0.0561055988073349,0.0,0.5494824647903442,1.0,0.021962663920618616,10.7097806930542,-0.011962655931711197,22.467967987060547,-371.3891917482657,5.633100986480713,0.7791834473609924,-0.08033035695552826
