rollout/return_history,rollout/episode_steps,reference_actor_Q_mean,total/steps,train/param_noise_distance,ret_rms_std,rollout/actions_mean,total/steps_per_second,rollout/episodes,reference_perturbed_action_std,reference_Q_std,train/loss_actor,ret_rms_mean,eval/episodes,rollout/Q_mean,rollout/actions_std,total/epochs,reference_actor_Q_std,param_noise_stddev,rollout/return,total/duration,reference_Q_mean,train/loss_critic,eval/Q,reference_action_mean,reference_action_std,eval/return,reference_perturbed_action_mean,eval/return_history,obs_rms_std,total/episodes,obs_rms_mean
162.37556016804308,33.06666666666667,20.32003402709961,1000,0.4820086359977722,1.0,0.09874974191188812,82.91999735323685,30.0,0.5870490074157715,2.239917278289795,-19.59937858581543,0.0,1.0,9.47864055633545,0.5421857833862305,1,1.8620553016662598,0.16720346283821505,162.37556016804308,12.05981707572937,20.171588897705078,2.5596725940704346,20.340492248535156,0.1895385980606079,0.46689289808273315,117.2510465952034,0.2382924109697342,117.2510465952034,6.304561614990234,30.0,1.1930005550384521
170.87937536898977,34.75,41.94810104370117,2000,0.5082318186759949,1.0,0.15888820588588715,84.09763938554384,56.0,0.5569466948509216,6.175245761871338,-40.52305603027344,0.0,2.0,19.505983352661133,0.5741012096405029,2,4.395152568817139,0.1370306733903066,170.87937536898977,23.781880378723145,41.18561935424805,5.209197521209717,42.90232467651367,0.10376836359500885,0.5330290794372559,138.6742494412386,0.0976642295718193,127.962648018221,6.63715124130249,56.0,1.3193011283874512
158.96088988535575,32.505494505494504,61.49994659423828,3000,0.5222896337509155,1.0,0.14850576221942902,84.89154221734562,91.0,0.5876055955886841,13.18131160736084,-60.253604888916016,0.0,3.0,29.544260025024414,0.5822960138320923,3,11.993727684020996,0.11230273064362171,158.96088988535575,35.33920955657959,60.55065155029297,4.162481307983398,54.701194763183594,0.08370748907327652,0.6421228647232056,119.63347370047272,0.2560098171234131,125.18625657897157,6.777523517608643,91.0,1.227170467376709
180.51887024962508,36.38532110091743,79.61624145507812,4000,0.46927738189697266,1.0,0.14252473413944244,83.06238109971513,109.0,0.6659420132637024,23.37155532836914,-78.7693862915039,0.0,4.0,39.6016731262207,0.585719883441925,4,21.52409553527832,0.09203708190275892,174.75907379146773,48.156577587127686,77.51575469970703,8.420419692993164,80.38810729980469,0.12404999881982803,0.6630039811134338,253.00454104311376,0.17079579830169678,157.14082769500712,6.7884087562561035,109.0,1.28029465675354
199.05830688769476,39.57142857142857,99.00952911376953,5000,0.43719905614852905,1.0,0.16057202219963074,82.15578517793446,126.0,0.5993828177452087,31.999330520629883,-97.2745132446289,0.0,5.0,49.36998748779297,0.5938876867294312,5,28.770410537719727,0.07542848153938683,190.36888708245314,60.859986782073975,95.51290893554688,7.922956466674805,104.95390319824219,0.29495590925216675,0.657987654209137,307.98436698132787,0.33992335200309753,187.30953555227126,6.793120861053467,126.0,1.392745018005371
216.50064811397468,41.333333333333336,117.61775207519531,6000,0.41043922305107117,1.0,0.20026612281799316,81.74667469703593,144.0,0.658855140209198,40.408382415771484,-116.99740600585938,0.0,6.0,59.042484283447266,0.6066561937332153,6,38.218387603759766,0.06181699495154324,200.79759727986695,73.39748096466064,114.17472076416016,13.21463394165039,117.09076690673828,0.34038329124450684,0.6652109622955322,282.4321740128652,0.3636168837547302,203.16330862903692,6.700995922088623,144.0,1.5311243534088135
236.26805464795405,43.05555555555556,133.814697265625,7000,0.3595890402793884,1.0,0.228896364569664,81.38386155858319,162.0,0.6839931011199951,52.17201232910156,-133.19651794433594,0.0,7.0,68.4570083618164,0.6149145364761353,7,50.176876068115234,0.05066177638540577,210.56161248576385,86.01213884353638,129.42385864257812,13.9339599609375,139.34774780273438,0.27730652689933777,0.7186185717582703,343.00681341322274,0.3250831961631775,223.1409521696349,6.68499755859375,162.0,1.6232887506484985
265.78789841557017,45.42613636363637,149.35494995117188,8000,0.2911199629306793,1.0,0.2379111498594284,81.61699828867505,176.0,0.6906318664550781,63.57147216796875,-149.6215362548828,0.0,8.0,78.08759307861328,0.6229995489120483,8,61.51045227050781,0.04151957869412388,219.4316529479547,98.01879715919495,144.72467041015625,26.98546600341797,161.68603515625,0.20554739236831665,0.732292115688324,387.509274912528,0.2860305905342102,243.68699251249654,6.78626012802124,176.0,1.6631979942321777
289.9425367844865,47.21578947368421,164.77133178710938,9000,0.2904013693332672,1.0,0.23921515047550201,81.77693526251937,190.0,0.6902428269386292,74.14927673339844,-166.92160034179688,0.0,9.0,87.5892562866211,0.6305220127105713,9,71.20917510986328,0.034027141129503384,228.22634733169062,110.05548167228699,158.89508056640625,31.392824172973633,154.64735412597656,0.19169354438781738,0.7297541499137878,392.85578530222506,0.2433585524559021,260.26130282246635,6.856032371520996,190.0,1.6964677572250366
308.769037868749,48.995098039215684,180.55320739746094,10000,0.21382510662078857,1.0,0.24267810583114624,81.92020272050165,204.0,0.7236770987510681,83.5936508178711,-183.94117736816406,0.0,10.0,95.78014373779297,0.6378006935119629,10,81.13326263427734,0.027886755354071244,237.01098706308846,122.07001042366028,173.89297485351562,39.244876861572266,168.01754760742188,0.24408166110515594,0.7443163990974426,400.96816223177234,0.2467697411775589,274.3319887633969,6.801176071166992,204.0,1.7407680749893188
