reference_actor_Q_std,rollout/actions_mean,rollout/episodes,total/epochs,obs_rms_std,reference_perturbed_action_mean,reference_Q_std,total/episodes,reference_perturbed_action_std,total/steps_per_second,rollout/return_history,eval/episodes,rollout/Q_mean,ret_rms_mean,eval/return,param_noise_stddev,total/duration,train/loss_actor,total/steps,rollout/return,train/param_noise_distance,reference_action_mean,eval/return_history,ret_rms_std,obs_rms_mean,eval/Q,reference_Q_mean,rollout/actions_std,reference_action_std,rollout/episode_steps,train/loss_critic,reference_actor_Q_mean
5.4341044425964355,0.042397379875183105,60145.0,967,0.7093247175216675,-0.30816033482551575,5.989295482635498,60145.0,0.5517921447753906,92.40294611767794,-16.10417149064773,967.0,-55.239627838134766,0.0,-21.381351601412767,0.009333550263662541,10465.034294128418,56.03716278076172,967000,-35.334271893125035,0.1983231008052826,-0.3649978041648865,-26.931269803343813,1.0,0.022516466677188873,-12.131519317626953,687.450439453125,0.9286932349205017,0.5233169794082642,16.07774544849946,31.460683822631836,689.5513305664062
8.284151077270508,0.04242545738816261,60232.0,968,0.7092992663383484,-0.49129122495651245,8.496138572692871,60232.0,0.4192124903202057,92.3986335577243,-17.393308511773583,968.0,-55.19278335571289,0.0,-13.662523204110286,0.009149642450409314,10476.345403909683,55.17734909057617,968000,-35.3083188139661,0.18904858827590942,-0.6197412014007568,-21.055967617507566,1.0,0.022523151710629463,-8.313820838928223,688.282470703125,0.9286486506462097,0.3634459376335144,16.071091778456633,70.31713104248047,689.5857543945312
5.613066673278809,0.04241736978292465,60322.0,969,0.70926433801651,-0.5023179054260254,6.211788177490234,60322.0,0.4877050220966339,92.3938471253057,-18.61098557464188,969.0,-55.145870208740234,0.0,-17.390007414441772,0.00896935834762211,10487.711359024048,58.26131820678711,969000,-35.2832810867335,0.16482730209827423,-0.5888969898223877,-21.051609871444153,1.0,0.0225233007222414,-8.557345390319824,681.3779296875,0.9286052584648132,0.30950409173965454,16.063708099864062,29.976221084594727,684.810302734375
4.826298713684082,0.04239083081483841,60407.0,970,0.7092502117156982,-0.8786005973815918,4.286853313446045,60407.0,0.1062222272157669,92.38907555850561,-18.624614547086605,970.0,-55.10007858276367,0.0,-17.538828437047947,0.009521154623962158,10499.076802492142,55.295501708984375,970000,-35.25930852355288,0.1987857222557068,-0.8557919263839722,-20.969745132464006,1.0,0.022515712305903435,-9.691195487976074,689.8468017578125,0.9285582900047302,0.15433847904205322,16.057625771847633,63.9561767578125,689.899658203125
1.5939143896102905,0.04229037091135979,60484.0,971,0.7092253565788269,-0.23216480016708374,2.0607759952545166,60484.0,0.6614674925804138,92.38458503551797,-19.455592784923752,971.0,-55.054359436035156,0.0,-22.29244794946428,0.00896935834762211,10510.411446094513,58.56220626831055,971000,-35.239155088099245,0.19494783878326416,-0.42479243874549866,-20.967236384634973,1.0,0.022507596760988235,-12.917547225952148,677.836181640625,0.9285110831260681,0.5536604523658752,16.05370015210634,59.41218566894531,680.309326171875
2.062049627304077,0.04225347936153412,60558.0,972,0.7092154622077942,-0.40127313137054443,1.6289842128753662,60558.0,0.5333215594291687,92.37985019802119,-18.13612008457988,972.0,-55.009307861328125,0.0,-14.70916613610745,0.00896935834762211,10521.77501821518,55.36802291870117,972000,-35.22002432689513,0.24475733935832977,-0.529436469078064,-20.884645529085102,1.0,0.022503305226564407,-8.593297958374023,677.4738159179688,0.9284570813179016,0.4280341565608978,16.050678688199742,59.237056732177734,680.571044921875
2.6536917686462402,0.042234450578689575,60651.0,973,0.7092089056968689,-0.6640422344207764,1.6014732122421265,60651.0,0.32468709349632263,92.37534777307955,-18.465906334941195,973.0,-54.96303939819336,0.0,-18.814596054446174,0.008619377074687717,10533.1132543087,59.86305618286133,973000,-35.194814570554925,0.24149784445762634,-0.6989583373069763,-20.84973620395012,1.0,0.022499362006783485,-9.616631507873535,666.0609130859375,0.928416907787323,0.2614091634750366,16.04260440883085,32.4255485534668,666.6729736328125
3.357316017150879,0.04220842942595482,60741.0,974,0.7091987133026123,-0.3246428966522217,2.8441412448883057,60741.0,0.5903398990631104,92.37067651612685,-19.425892150026442,974.0,-54.91707229614258,0.0,-20.023960835334503,0.008792626553888941,10544.471868515015,54.86432647705078,974000,-35.171461224899645,0.13954514265060425,-0.2682420015335083,-20.82135469088535,1.0,0.022495316341519356,-8.55353832244873,671.7380981445312,0.9283709526062012,0.6164208054542542,16.035099850183567,52.10832595825195,670.8079223632812
7.672641277313232,0.0421927347779274,60828.0,975,0.7091925740242004,-0.010276183485984802,7.633145809173584,60828.0,0.6623362302780151,92.36599178591187,-19.51529029097466,975.0,-54.870601654052734,0.0,-15.794178235801311,0.009712529831903797,10555.833171367645,56.250003814697266,975000,-35.14872101452114,0.15283460915088654,-0.1755554974079132,-20.786133311245212,1.0,0.02249603159725666,-9.251641273498535,663.6604614257812,0.928334653377533,0.558242678642273,16.028654566975735,27.584457397460938,665.88818359375
5.905576705932617,0.042298536747694016,60900.0,976,0.7091707587242126,-0.4605327546596527,6.491147041320801,60900.0,0.5409761667251587,92.36149345621004,-19.689124005799133,976.0,-54.825252532958984,0.0,-19.638761359993175,0.009712529831903797,10567.174300432205,58.758636474609375,976000,-35.13051497866317,0.1702871471643448,-0.47892096638679504,-20.875075486096122,1.0,0.022510049864649773,-9.81828784942627,679.484619140625,0.9282764792442322,0.4912582337856293,16.026190476190475,31.555707931518555,678.0406494140625
6.535154819488525,0.042338427156209946,60978.0,977,0.7091278433799744,-0.17455287277698517,5.833072662353516,60978.0,0.4215512275695801,92.35633521942093,-20.057743876583757,977.0,-54.78038787841797,0.0,-38.74022259634057,0.009907751681525063,10578.592120170593,57.35538101196289,977000,-35.11029729377458,0.19122514128684998,-0.2195568084716797,-21.087036319665625,1.0,0.022521335631608963,-14.680496215820312,675.2750244140625,0.9282038807868958,0.48993203043937683,16.02210633343173,79.86028289794922,674.0053100585938
6.489246368408203,0.04244546964764595,61053.0,978,0.7090615034103394,-0.535330057144165,6.9788312911987305,61053.0,0.4168813228607178,92.35178866622084,-21.151518162691303,978.0,-54.73493576049805,0.0,-18.853182313762225,0.009333550263662541,10589.941073417664,57.43730545043945,978000,-35.09222879604052,0.21963396668434143,-0.407952219247818,-21.1111124808408,1.0,0.02253599278628826,-11.432470321655273,661.283203125,0.9281299114227295,0.49371421337127686,16.018868851653483,44.853790283203125,665.1137084960938
