eval/episodes,total/episodes,rollout/return,total/steps,reference_actor_Q_mean,reference_action_std,eval/Q,ret_rms_mean,rollout/return_history,rollout/Q_mean,rollout/actions_mean,reference_Q_mean,rollout/actions_std,total/epochs,obs_rms_std,reference_perturbed_action_std,reference_actor_Q_std,eval/return_history,rollout/episodes,reference_perturbed_action_mean,reference_Q_std,total/duration,train/loss_actor,total/steps_per_second,eval/return,ret_rms_std,param_noise_stddev,train/param_noise_distance,train/loss_critic,reference_action_mean,rollout/episode_steps,obs_rms_mean
11.0,227.0,237.03799065449337,11000,180.4580078125,0.7634106874465942,173.66061401367188,0.0,279.49210525743774,104.99473571777344,0.16640016436576843,173.0115203857422,0.6596783995628357,11,6.715493679046631,0.7306872606277466,97.22144317626953,285.4022149394983,227.0,0.21174441277980804,99.10975646972656,137.16647481918335,-196.09486389160156,80.19452285626284,435.43238863863155,1.0,0.022854436146078055,0.2208642214536667,60.62526321411133,0.1369166225194931,48.42290748898679,1.6651630401611328
12.0,244.0,239.34123750631906,12000,193.49652099609375,0.7393136024475098,233.54025268554688,0.0,276.58680332343073,111.9237289428711,0.17299003899097443,184.55929565429688,0.6676554083824158,12,6.785100936889648,0.7251783013343811,107.88382720947266,282.76379296740913,244.0,0.26341450214385986,110.3260498046875,149.76474952697754,-208.2674560546875,80.12566400238534,253.74115127442784,1.0,0.023313810312614227,0.17982888221740723,68.71467590332031,0.22755712270736694,49.09426229508197,1.6791023015975952
13.0,258.0,244.8454986294086,13000,208.97962951660156,0.7707651257514954,208.66758728027344,0.0,288.39420307600574,120.77793884277344,0.17976883053779602,197.71490478515625,0.6732315421104431,13,6.828052043914795,0.7581093311309814,114.53217315673828,280.8688792249757,258.0,0.20190170407295227,118.92267608642578,162.171865940094,-226.70523071289062,80.16186978327164,258.12991431577404,1.0,0.023782417899897774,0.19871936738491058,62.036376953125,0.18947921693325043,50.34108527131783,1.707763671875
14.0,275.0,247.64572104376825,14000,224.59573364257812,0.7652057409286499,261.3456115722656,0.0,286.49021472325126,129.94351196289062,0.18229667842388153,213.63153076171875,0.6802725195884705,14,6.841267108917236,0.7808258533477783,123.1102066040039,283.0734428625265,275.0,0.09400920569896698,126.2037582397461,174.75379276275635,-237.31475830078125,80.11271045204857,311.7327701506875,1.0,0.023782417899897774,0.1838163435459137,71.70299530029297,0.12070212513208389,50.86909090909091,1.7283828258514404
15.0,289.0,251.85251511783093,15000,240.0541229248047,0.7770735025405884,243.17343139648438,0.0,296.56102909322135,136.38038635253906,0.18483759462833405,227.93077087402344,0.6882064342498779,15,6.809473991394043,0.7715736031532288,131.2172088623047,298.1591062884161,289.0,0.1329651176929474,134.96951293945312,187.6935555934906,-250.07691955566406,79.91750144308213,509.3583942508705,1.0,0.022854436146078055,0.19916926324367523,107.37639617919922,0.10639531165361404,51.90311418685121,1.7419228553771973
16.0,304.0,255.22123331307424,16000,258.471923828125,0.7544090747833252,217.2152862548828,0.0,302.7595106742085,143.96229553222656,0.18336327373981476,243.6048583984375,0.6932080388069153,16,6.788398742675781,0.7401160597801208,135.94183349609375,300.2781715952518,304.0,0.25021666288375854,140.17474365234375,200.2079734802246,-257.8290710449219,79.91689702398585,332.06415119778836,1.0,0.021962663920618616,0.20113255083560944,130.37753295898438,0.216395765542984,52.49671052631579,1.752444863319397
17.0,318.0,259.8161839761979,17000,279.28729248046875,0.6959884166717529,250.10498046875,0.0,312.37059324579536,150.3636016845703,0.1930714100599289,262.17254638671875,0.6984318494796753,17,6.782818794250488,0.694616973400116,136.46327209472656,299.0683664305021,318.0,0.43579649925231934,142.6289520263672,212.66169476509094,-272.5491027832031,79.93917296097182,279.711483794507,1.0,0.023313810312614227,0.16567319631576538,134.6079559326172,0.421296626329422,53.405660377358494,1.7814794778823853
18.0,333.0,262.8190841667161,18000,287.2218017578125,0.708142101764679,308.90228271484375,0.0,320.23174122036534,157.26809692382812,0.20681175589561462,270.5926513671875,0.7002151608467102,18,6.757813930511475,0.7074345946311951,150.40338134765625,298.5935418981251,333.0,0.3315746486186981,155.27513122558594,225.10279989242554,-281.3061218261719,79.96346561927274,290.5215248477162,1.0,0.021962663920618616,0.1936175525188446,142.95204162597656,0.34757232666015625,54.0,1.8187743425369263
19.0,347.0,266.865338682976,19000,290.2796936035156,0.7270702719688416,297.84173583984375,0.0,329.68306691916143,165.53504943847656,0.21231387555599213,272.43377685546875,0.7001357078552246,19,6.749061584472656,0.7269905805587769,163.93345642089844,301.1297655935985,347.0,0.2532130479812622,167.00543212890625,237.685307264328,-289.2785949707031,79.93762937508899,346.78179211211824,1.0,0.020689822899908242,0.18586456775665283,197.96817016601562,0.24644941091537476,54.68299711815562,1.8350883722305298
20.0,364.0,268.9014259656401,20000,298.79632568359375,0.7288694381713867,303.7669372558594,0.0,330.69447693136567,171.42747497558594,0.21253308653831482,284.2113037109375,0.7027590870857239,20,6.730484485626221,0.7387640476226807,171.0689239501953,302.97641849314266,364.0,0.23649322986602783,174.0321502685547,250.25052642822266,-297.3468017578125,79.9199117998117,338.06282358448186,1.0,0.0211056883401964,0.18797895312309265,205.16461181640625,0.2571946382522583,54.94505494505494,1.8450976610183716
