eval/episodes,ret_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/episode_steps,total/duration,total/steps_per_second,reference_Q_std,rollout/actions_mean,total/epochs,reference_perturbed_action_std,rollout/episodes,rollout/actions_std,reference_perturbed_action_mean,param_noise_stddev,total/steps,reference_actor_Q_mean,ret_rms_std,eval/Q,rollout/return_history,rollout/return,train/loss_actor,reference_action_std,reference_action_mean,rollout/Q_mean,reference_Q_mean,obs_rms_mean,eval/return_history,eval/return,train/param_noise_distance,total/episodes,obs_rms_std
1.0,0.0,2.8439509868621826,0.10072216391563416,1000.0,34.11422038078308,29.313288969760865,3.0434165000915527,0.3623368442058563,1,0.6029964089393616,1.0,0.5517645478248596,-0.43091103434562683,0.13978498992545177,1000,6.363081932067871,1.0,3.8413124084472656,-244.06348728938053,-244.06348728938053,-5.965242862701416,0.6986489295959473,-0.31165429949760437,2.408409833908081,5.661344528198242,0.1274770200252533,-323.2406207548954,-323.2406207548954,0.7358239889144897,1.0,1.7371574640274048
2.0,0.0,2.8701791763305664,0.4345628619194031,1000.0,67.73466682434082,29.526977746663828,3.2949604988098145,0.03063838742673397,2,0.6928166747093201,2.0,0.6835516095161438,-0.1461370885372162,0.09388702724900437,2000,18.366270065307617,1.0,19.072696685791016,-274.91273915810723,-274.91273915810723,-17.587055206298828,0.7792179584503174,-0.0007172425393946469,6.746190547943115,17.49212646484375,0.02805812656879425,-405.89793038633695,-488.5552400177785,0.5158707946538925,2.0,1.4183320999145508
3.0,0.0,2.6814095973968506,0.37712427973747253,1000.0,100.85688805580139,29.745117639760817,3.0780885219573975,0.08363212645053864,3,0.5801662802696228,3.0,0.6734852194786072,0.26516738533973694,0.06305951655006926,3000,25.69727325439453,1.0,26.89111328125,-284.3606263217728,-284.3606263217728,-25.521398544311523,0.5782326459884644,0.2782813012599945,11.363146781921387,24.977489471435547,0.009477357380092144,-262.00360029434694,25.785059889633136,0.4638812988996506,3.0,1.404985785484314
4.0,0.0,3.0951967239379883,0.8330877423286438,1000.0,134.0098011493683,29.848563058022684,3.460599660873413,0.1407739222049713,4,0.6480273008346558,4.0,0.6465286016464233,0.21114961802959442,0.04235412222587577,4000,32.73553466796875,1.0,24.97906494140625,-195.10845224845474,-195.10845224845474,-32.98902130126953,0.6051530838012695,0.19057796895503998,16.095233917236328,31.97149085998535,0.045160118490457535,-250.3979054538437,-215.5808209323339,0.33218467235565186,4.0,1.594987392425537
5.0,0.0,2.037696361541748,0.9138374924659729,1000.0,167.14810919761658,29.913589953258633,2.434218168258667,0.08519589900970459,5,0.5612704157829285,5.0,0.6539449691772461,0.34893766045570374,0.030804326970036475,5000,40.04521179199219,1.0,37.9614143371582,-191.8949822135987,-191.8949822135987,-39.33506393432617,0.5842551589012146,0.2208986133337021,19.211755752563477,39.31041717529297,0.060082338750362396,-264.39480390876076,-320.38239772842917,0.21658019721508026,5.0,1.5929269790649414
6.0,0.0,2.281362771987915,0.9835234880447388,1000.0,200.36457467079163,29.94541330401485,2.708495616912842,0.018073534592986107,6,0.5577934980392456,6.0,0.6860889792442322,0.3132379949092865,0.027886755354071244,6000,47.1077880859375,1.0,42.44651794433594,-219.49234332872572,-219.49234332872572,-43.83454132080078,0.6059852242469788,0.18136729300022125,21.91813087463379,46.23662567138672,0.06560291349887848,-270.3693258982485,-300.2419358456874,0.21752315759658813,6.0,1.5673329830169678
7.0,0.0,1.7057111263275146,1.0679279565811157,1000.0,233.72949147224426,29.949151713408238,2.1138627529144287,0.04565761238336563,7,0.6037740111351013,7.0,0.7082528471946716,0.3620050847530365,0.02901906944733551,7000,52.827720642089844,1.0,53.624576568603516,-245.31774075924483,-245.31774075924483,-48.832603454589844,0.6358736157417297,0.21788114309310913,24.841405868530273,52.04371643066406,0.0832030326128006,-231.09478260557123,4.552477150492759,0.20178218185901642,7.0,1.4901317358016968
8.0,0.0,1.549464464187622,2.0882680416107178,1000.0,266.8986086845398,29.973929198917563,1.8435500860214233,0.08194539695978165,8,0.5531412363052368,8.0,0.7039908766746521,0.2677014172077179,0.026270585008002556,8000,56.328887939453125,1.0,55.20457458496094,-229.20535356650473,-229.20535356650473,-53.324249267578125,0.5811647176742554,0.09173956513404846,28.566160202026367,55.59790802001953,0.0920773297548294,-185.9024050341618,130.44423796570396,0.22446589171886444,8.0,1.5411986112594604
9.0,0.0,1.3693205118179321,1.439862847328186,1000.0,300.09881925582886,29.990121328427026,1.6989312171936035,0.10929382592439651,9,0.6184735894203186,9.0,0.6900197267532349,0.13622304797172546,0.026798623766663407,9000,62.00751495361328,1.0,60.84611129760742,-167.77755143278515,-167.77755143278515,-61.111427307128906,0.6043261289596558,0.0633568987250328,32.10209655761719,61.10398864746094,0.09839743375778198,-215.56441718771873,-452.8605144161743,0.24780399352312088,9.0,1.7053251266479492
10.0,0.0,2.25429630279541,2.0538582801818848,1000.0,333.29450273513794,30.00349516099516,2.5764012336730957,0.11700879782438278,10,0.6107646822929382,10.0,0.701798141002655,0.1182689294219017,0.028447279136688076,10000,67.20582580566406,1.0,68.5106201171875,-191.2751493587539,-191.2751493587539,-65.96844482421875,0.5956047177314758,0.14869530498981476,34.91259765625,66.35176849365234,0.09083769470453262,-189.65672647723866,43.51248991708203,0.1945309415459633,10.0,1.6355384588241577
