reference_perturbed_action_mean,total/epochs,reference_action_std,train/loss_critic,rollout/return,reference_Q_std,param_noise_stddev,train/loss_actor,rollout/actions_mean,ret_rms_mean,eval/return_history,eval/episodes,ret_rms_std,rollout/Q_mean,total/episodes,eval/Q,rollout/episode_steps,obs_rms_mean,rollout/return_history,reference_Q_mean,train/param_noise_distance,reference_actor_Q_std,reference_action_mean,reference_perturbed_action_std,total/steps,total/steps_per_second,total/duration,reference_actor_Q_mean,eval/return,rollout/actions_std,rollout/episodes,obs_rms_std
-0.007732938509434462,1,0.4635345935821533,1.866763710975647,96.18073161557129,2.848209857940674,0.16720346283821505,-18.823360443115234,-0.07828343659639359,0.0,69.90541379017655,1.0,1.0,9.058414459228516,50.0,19.635908126831055,19.8,0.4232640266418457,96.18073161557129,19.69937515258789,0.49566650390625,2.5071702003479004,-0.0556173250079155,0.5713323354721069,1000,84.17188563768275,11.880451440811157,19.849336624145508,69.90541379017655,0.5376486778259277,50.0,8.123031616210938
-0.11255534738302231,2,0.5575646162033081,2.2322351932525635,99.88527786439896,8.744462966918945,0.1370306733903066,-35.4401741027832,-0.05317419767379761,0.0,78.6183414799408,2.0,1.0,18.13844871520996,96.0,32.712642669677734,20.6875,0.6244174838066101,99.88527786439896,38.240325927734375,0.5788509249687195,8.16593074798584,-0.1387740820646286,0.6115274429321289,2000,86.11801789334541,23.22394371032715,38.788917541503906,87.33126916970504,0.5701130032539368,96.0,8.199079513549805
-0.1418629288673401,3,0.6802129745483398,3.627105712890625,117.71954374197382,14.975842475891113,0.11230273064362171,-53.021095275878906,-0.044089753180742264,0.0,171.58586377664565,3.0,1.0,26.16210174560547,123.0,50.73681640625,24.260162601626018,0.8764678239822388,121.61730956161402,55.17170333862305,0.5531541705131531,13.511677742004395,-0.0836210697889328,0.6068698167800903,3000,85.82048400799836,34.95668935775757,56.59182357788086,357.5209083700554,0.5914463996887207,123.0,7.823875427246094
-0.18738356232643127,4,0.7286811470985413,4.855400562286377,132.56418241648785,22.632143020629883,0.09203708190275892,-68.89222717285156,-0.040675848722457886,0.0,185.30288683723043,4.0,1.0,35.394203186035156,145.0,72.82682037353516,27.49655172413793,1.0121281147003174,149.7616405281084,70.088134765625,0.5819666981697083,21.768848419189453,-0.09723047912120819,0.6981403827667236,4000,86.0439261486238,46.48788332939148,71.85285949707031,226.45395601898477,0.6221540570259094,145.0,7.591750621795654
0.1621013581752777,5,0.7320734262466431,6.86721658706665,145.33928082562434,31.97468376159668,0.07542848153938683,-86.04806518554688,-0.021681729704141617,0.0,199.48754428716893,5.0,1.0,44.58775329589844,165.0,89.2940444946289,30.09090909090909,1.170072317123413,178.0411357520103,80.26162719726562,0.4609890878200531,28.973316192626953,0.16000798344612122,0.6829990148544312,5000,86.15125069937874,58.03746271133423,84.98178100585938,256.2261740869229,0.6462491750717163,165.0,7.408339500427246
0.15683844685554504,6,0.7062569260597229,7.4909234046936035,157.28951902994203,40.9194450378418,0.06181699495154324,-100.29365539550781,0.015670517459511757,0.0,212.41072647558258,6.0,1.0,53.6712760925293,186.0,103.20552062988281,32.236559139784944,1.3344244956970215,208.97075472839606,92.3486557006836,0.44253966212272644,39.437564849853516,0.13014504313468933,0.70667564868927,6000,86.16475697372931,69.63403844833374,97.14115142822266,277.0266374176507,0.6632285118103027,186.0,7.219490051269531
0.16479143500328064,7,0.7556185126304626,13.12999153137207,165.25606120928754,48.51580047607422,0.05066177638540577,-116.91642761230469,0.03024926222860813,0.0,221.47568160307696,7.0,1.0,61.646114349365234,205.0,120.98367309570312,33.853658536585364,1.4220350980758667,228.357283776359,105.25765228271484,0.35690516233444214,46.900909423828125,0.12662199139595032,0.7435283064842224,7000,86.18492067706285,81.22070479393005,112.00936889648438,275.86541236804334,0.6770035624504089,205.0,7.1615777015686035
0.16932208836078644,8,0.7675068974494934,15.245545387268066,175.31323846387008,56.13893508911133,0.04151957869412388,-132.7733612060547,0.04514670744538307,0.0,224.15184613997604,8.0,1.0,69.46827697753906,222.0,128.87782287597656,35.707207207207205,1.4971996545791626,245.8109333262542,120.80045318603516,0.3267011344432831,53.527076721191406,0.160575732588768,0.7560832500457764,8000,86.16550086746541,92.84458303451538,129.0112762451172,242.8849978982696,0.6928228139877319,222.0,7.044909477233887
0.2094983160495758,9,0.763090968132019,17.605836868286133,182.71810533657597,64.17562866210938,0.034027141129503384,-148.9156951904297,0.060746930539608,0.0,234.36642212469602,9.0,1.0,76.55511474609375,242.0,149.4529266357422,37.107438016528924,1.571455717086792,255.53573375744335,134.93370056152344,0.2760133147239685,61.04021072387695,0.18135634064674377,0.7459654808044434,9000,86.07953499094518,104.55446815490723,143.9427490234375,316.08303000245576,0.7090966105461121,242.0,6.980875015258789
0.22760289907455444,10,0.7540057897567749,24.28508949279785,192.48098148981168,71.5611801147461,0.027886755354071244,-163.6441192626953,0.07453073561191559,0.0,243.13374842520975,10.0,1.0,84.81666564941406,255.0,176.74339294433594,39.050980392156866,1.6184122562408447,274.52316543745934,149.58322143554688,0.24352528154850006,67.560302734375,0.23561573028564453,0.7468944191932678,10000,85.93546836201355,116.36638736724854,159.99888610839844,322.0396851298332,0.7154626846313477,255.0,6.952670574188232
