total/steps,reference_actor_Q_std,total/steps_per_second,total/epochs,rollout/Q_mean,train/param_noise_distance,reference_action_mean,reference_Q_mean,eval/return_history,eval/episodes,total/duration,rollout/episodes,rollout/return_history,reference_perturbed_action_mean,reference_action_std,rollout/return,total/episodes,eval/Q,rollout/actions_std,reference_Q_std,reference_actor_Q_mean,rollout/actions_mean,eval/return,ret_rms_mean,reference_perturbed_action_std,obs_rms_mean,param_noise_stddev,train/loss_critic,obs_rms_std,rollout/episode_steps,train/loss_actor,ret_rms_std
1000,2.947418689727783,104.53467930878027,1,1.7797363996505737,0.39710357785224915,0.8670070171356201,3.733546018600464,95.17915333649282,1.0,9.566203355789185,13.0,44.72032733548935,0.47537484765052795,0.2048163115978241,44.72032733548935,13.0,1.6369056701660156,0.5083485841751099,3.201709508895874,4.094797611236572,0.5340875387191772,95.17915333649282,0.0,0.6086958050727844,-0.1423690915107727,0.16720346283821505,0.22420424222946167,1.5370283126831055,71.92307692307692,-3.1196091175079346,1.0
2000,5.919505596160889,106.80391851319249,2,3.92920184135437,0.40488243103027344,0.7819883227348328,8.972765922546387,81.98605816887617,2.0,18.72590470314026,21.0,61.955482537240904,0.814385712146759,0.4247492551803589,61.955482537240904,21.0,2.771730661392212,0.4615773856639862,6.071356296539307,9.400751113891602,0.6053225994110107,68.79296300125952,0.0,0.31768158078193665,-0.03863389045000076,0.1370306733903066,0.8701230883598328,1.303118348121643,89.42857142857143,-7.591285228729248,1.0
3000,9.229289054870605,100.97866529699166,3,5.290711879730225,0.375541627407074,0.6475433111190796,14.860849380493164,302.75292842784813,3.0,29.709245920181274,25.0,81.54472751760822,0.7667897343635559,0.49639594554901123,81.54472751760822,25.0,18.552976608276367,0.42598918080329895,9.31718921661377,15.302266120910645,0.6935955882072449,744.286668945792,0.0,0.29884323477745056,0.009443926624953747,0.11230273064362171,0.9916690587997437,1.106377363204956,113.44,-11.97961711883545,1.0
4000,12.361812591552734,103.09313521746921,4,7.327550411224365,0.26680412888526917,0.574065625667572,19.79987335205078,300.6863984342331,4.0,38.79986763000488,26.0,115.59505645028375,0.7898340225219727,0.5398657917976379,115.59505645028375,26.0,31.38658332824707,0.392876535654068,12.667868614196777,20.56814956665039,0.7312325835227966,294.4868084533881,0.0,0.3279417157173157,0.020325783640146255,0.09203708190275892,1.0109843015670776,0.9969230890274048,147.53846153846155,-16.651540756225586,1.0
5000,15.547309875488281,104.5533033609995,5,10.457060813903809,0.378375768661499,0.5284769535064697,25.80714225769043,279.63117841743093,5.0,47.82249665260315,33.0,118.29715849770675,0.5229881405830383,0.5935757160186768,118.29715849770675,33.0,30.701915740966797,0.41523277759552,15.710853576660156,26.41870880126953,0.7045573592185974,195.41029835022204,0.0,0.5564919710159302,0.0178987979888916,0.07542848153938683,1.7183080911636353,0.973146915435791,149.4848484848485,-22.37120819091797,1.0
6000,18.542125701904297,106.02469733804907,6,14.36043643951416,0.32217514514923096,0.47674325108528137,31.49468231201172,230.0499595892544,6.0,56.590588331222534,37.0,131.1492194489312,0.5729268193244934,0.6619799137115479,131.1492194489312,37.0,9.00693130493164,0.4315778315067291,18.600261688232422,32.18988800048828,0.6882957816123962,-17.856134551628113,0.0,0.49852192401885986,0.03524767979979515,0.06181699495154324,1.9169541597366333,0.9883565306663513,157.24324324324326,-28.170482635498047,1.0
7000,20.941499710083008,106.45122347889551,7,18.801448822021484,0.30717843770980835,0.4616415500640869,35.85099792480469,231.230634671015,7.0,65.75781631469727,39.0,135.47044175175822,0.6163411736488342,0.6821911334991455,135.47044175175822,39.0,47.022430419921875,0.4330079257488251,21.029312133789062,36.73572540283203,0.6532292366027832,238.3146851615786,0.0,0.49848493933677673,0.04624807834625244,0.05066177638540577,1.3208497762680054,0.9450356960296631,158.97435897435898,-34.34049987792969,1.0
8000,23.74190330505371,107.00658004181915,8,21.731555938720703,0.29004865884780884,0.5289056897163391,41.146236419677734,234.92401516245042,8.0,74.7617576122284,42.0,163.26998092749605,0.6176777482032776,0.5685261487960815,163.26998092749605,42.0,62.313636779785156,0.4418327808380127,23.818161010742188,42.019256591796875,0.6373964548110962,260.77767860249827,0.0,0.4828762412071228,0.05039837211370468,0.04151957869412388,5.213108539581299,0.922482430934906,188.97619047619048,-40.298980712890625,1.0
9000,25.809215545654297,107.59393953066579,9,24.48924446105957,0.27007442712783813,0.48543572425842285,45.98908996582031,207.0374514863923,9.0,83.6478340625763,46.0,166.98828408329007,0.45159777998924255,0.623263955116272,166.98828408329007,46.0,9.269980430603027,0.44091272354125977,25.80765724182129,47.14692687988281,0.6483024954795837,-16.055057922072535,0.0,0.5797420144081116,0.059034157544374466,0.034027141129503384,2.3927719593048096,0.904401957988739,185.97826086956522,-46.14936447143555,1.0
10000,28.902240753173828,107.82928394991471,10,27.076156616210938,0.20902130007743835,0.49418893456459045,52.30523681640625,192.54808286653412,10.0,92.73918581008911,49.0,182.71263969330818,0.6239656805992126,0.6029446125030518,182.71263969330818,49.0,26.067066192626953,0.4335477948188782,29.034847259521484,53.46272277832031,0.6670364737510681,62.143765287810496,0.0,0.5155807137489319,0.0593671016395092,0.03019736003336582,3.6877455711364746,0.8879550099372864,198.91836734693877,-51.8144645690918,1.0
