reference_Q_std,train/loss_actor,train/param_noise_distance,rollout/Q_mean,rollout/return_history,reference_perturbed_action_std,reference_action_std,reference_action_mean,train/loss_critic,obs_rms_mean,total/epochs,ret_rms_std,rollout/episodes,param_noise_stddev,obs_rms_std,rollout/episode_steps,total/episodes,rollout/actions_std,rollout/return,ret_rms_mean,eval/return_history,eval/return,eval/episodes,reference_perturbed_action_mean,eval/Q,reference_Q_mean,reference_actor_Q_std,total/steps,reference_actor_Q_mean,total/duration,total/steps_per_second,rollout/actions_mean
0.7557400465011597,-1.2645989656448364,0.6222984790802002,0.22865940630435944,-404.30750783176285,0.7616952061653137,0.8193574547767639,0.12724299728870392,0.04237298667430878,-0.09183602035045624,1,1.0,1.0,0.16720346283821505,1.7144207954406738,1000.0,1.0,0.6462877988815308,-404.30750783176285,0.0,-407.62994543894797,-407.62994543894797,1.0,0.26573726534843445,0.25593680143356323,0.4886448383331299,0.5045190453529358,1000,1.3874824047088623,11.5108060836792,86.87488892874912,-0.2821742296218872
1.1528434753417969,-0.6282597780227661,0.6459841132164001,-0.4763323962688446,-393.13382339474106,0.668621301651001,0.40154609084129333,0.6250017285346985,0.05468057468533516,-0.03589673712849617,2,1.0,2.0,0.1370306733903066,1.3033466339111328,1000.0,2.0,0.7531307339668274,-393.13382339474106,0.0,-371.84272214549713,-336.0554988520463,2.0,0.3981296122074127,-2.034834384918213,2.475001811981201,1.14225172996521,2000,3.0734810829162598,22.84965705871582,87.52866596031103,-0.01603284291923046
1.4280788898468018,-1.7838093042373657,0.722197949886322,0.005805175751447678,-401.530704435831,0.4920058846473694,0.7554277181625366,0.2103084772825241,0.09615248441696167,0.004654919262975454,3,1.0,3.0,0.11230273064362171,1.147721529006958,1000.0,3.0,0.7546575665473938,-401.530704435831,0.0,-368.36940563461457,-361.42277261284926,3.0,0.4016974866390228,4.674931049346924,4.069744110107422,1.3813468217849731,3000,4.6452226638793945,34.04213738441467,88.1260764012272,0.16787001490592957
1.840620994567871,-2.1849353313446045,0.38738781213760376,0.44847387075424194,-420.56443090979235,0.6367013454437256,0.7573117613792419,-0.1456996649503708,0.11873002350330353,0.00452737882733345,4,1.0,4.0,0.09203708190275892,1.2082830667495728,1000.0,4.0,0.7174474000930786,-420.56443090979235,0.0,-410.665507223721,-537.5538119910404,4.0,0.07694930583238602,4.376497745513916,5.318136215209961,1.9078664779663086,4000,5.918726921081543,45.16545557975769,88.56326032041012,0.20066532492637634
1.6367939710617065,-2.6475670337677,0.36619460582733154,0.7782521843910217,-417.93725537024994,0.3866802155971527,0.48958587646484375,-0.5580843687057495,0.08447415381669998,0.009207535535097122,5,1.0,5.0,0.07542848153938683,1.0946226119995117,1000.0,5.0,0.7210160493850708,-417.93725537024994,0.0,-324.02851219198783,22.519467934944913,5.0,-0.6572827696800232,8.333680152893066,6.777350425720215,1.399964451789856,5000,7.582263946533203,56.39136576652527,88.66605608917655,0.24265368282794952
1.5301991701126099,-5.319530010223389,0.29779669642448425,1.904772162437439,-392.8537234868476,0.5504584908485413,0.6196839213371277,-0.24667447805404663,0.11484380811452866,-0.009904583916068077,6,1.0,6.0,0.06181699495154324,1.0913677215576172,1000.0,6.0,0.7426262497901917,-392.8537234868476,0.0,-172.05211503416038,587.8298707549768,6.0,-0.3924870491027832,9.810946464538574,8.018577575683594,1.5087502002716064,6000,8.4482421875,67.5163061618805,88.86742093997408,0.12277103960514069
2.0219082832336426,-7.443463325500488,0.3045169711112976,3.5219247341156006,-180.92539919109686,0.591604471206665,0.6388176083564758,-0.17987854778766632,0.14415143430233002,-0.012845219112932682,7,1.0,7.0,0.051680078090752424,1.400406837463379,1000.0,7.0,0.7434097528457642,-180.92539919109686,0.0,-194.7330948744827,-330.81897391641644,7.0,-0.18587340414524078,3.059865713119507,8.808418273925781,2.1535120010375977,7000,9.535213470458984,78.74941563606262,88.88954849328951,0.06189565733075142
2.9685587882995605,-10.848459243774414,0.30461427569389343,3.5883588790893555,-195.7688644115919,0.6867313385009766,0.7698761820793152,-0.24971069395542145,0.42173177003860474,-0.005211074370890856,8,1.0,8.0,0.046785300513072836,1.386080026626587,1000.0,8.0,0.7349062561988831,-195.7688644115919,0.0,-187.85325868021079,-139.69440532030768,8.0,-0.40665993094444275,9.030226707458496,12.487726211547852,3.1882176399230957,8000,13.843635559082031,89.97329759597778,88.9152694605431,0.038824088871479034
2.955847978591919,-14.02250862121582,0.1830546110868454,3.7824370861053467,-217.39243121314115,0.6147860884666443,0.6357719302177429,-0.3309746980667114,0.43762436509132385,-0.006353740114718676,9,1.0,9.0,0.04151957869412388,1.3469605445861816,1000.0,9.0,0.7519644498825073,-217.39243121314115,0.0,-220.42073444441647,-480.960540558062,9.0,-0.37703219056129456,9.9307279586792,17.209938049316406,3.0538628101348877,9000,18.534366607666016,101.14420676231384,88.98186350059333,-0.0320727601647377
2.8621535301208496,-15.847481727600098,0.23032443225383759,4.1215500831604,-243.1204725212126,0.7634776830673218,0.7634640336036682,-0.26392459869384766,0.6665889024734497,-0.006646655034273863,10,1.0,10.0,0.03834263432855746,1.3139022588729858,1000.0,10.0,0.7630589604377747,-243.1204725212126,0.0,-120.29355872720642,780.851022727684,10.0,-0.2822217643260956,32.85577392578125,22.002349853515625,2.7087535858154297,10000,23.472801208496094,112.32432770729065,89.02790877199196,-0.07080449908971786
