total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
11000,0.6309903860092163,0.0,11.0,11,142.60270943232686,42.385005950927734,111.4343032836914,1.0,1000.0,420.0007269412836,49.65195846557617,284.4773836615423,0.802308976650238,0.0,-96.27936553955078,4.892892837524414,0.10922163724899292,11.0,-0.03916461765766144,11.0,2.126500129699707,83.8140869140625,84.83653259277344,49.865970611572266,426.3657977581024,142.60270943232686,0.018785148859024048,25.799442773880337
12000,0.653687596321106,0.0,12.0,12,100.99177093560036,39.077178955078125,-14.253321647644043,1.0,1000.0,-507.3675420582319,54.96072769165039,218.49030651822784,0.805029034614563,0.0,-95.07862091064453,6.5359206199646,0.10834604501724243,12.0,-0.060322780162096024,12.0,2.0871973037719727,89.3739242553711,90.67996215820312,55.06486129760742,467.3675673007965,100.99177093560036,0.14021091163158417,25.6757225780642
13000,0.669414222240448,0.0,13.0,13,62.90145501164649,34.235923767089844,62.785579681396484,1.0,1000.0,23.86586737011434,61.597320556640625,203.5191958145268,0.7856596112251282,0.0,-93.04662322998047,4.4325032234191895,0.10821740329265594,13.0,-0.07562287896871567,13.0,2.0309479236602783,96.76681518554688,98.02861022949219,61.941505432128906,505.1845717430115,62.90145501164649,0.0619838647544384,25.733169077485464
14000,0.674835741519928,0.0,14.0,14,64.08255379103169,41.51107406616211,124.38127136230469,1.0,1000.0,94.28784381307369,67.85413360595703,195.71695638585157,0.8058643341064453,0.0,-102.1212387084961,5.932952880859375,0.108307845890522,14.0,-0.0738207995891571,14.0,2.0686488151550293,103.96340942382812,105.14081573486328,68.09254455566406,543.7405788898468,64.08255379103169,0.02149299718439579,25.747572543847564
15000,0.6883028149604797,0.0,15.0,15,34.63959264575938,37.86534118652344,46.49560546875,1.0,1000.0,-153.44354250253176,71.031005859375,172.4395897932927,0.8041729927062988,0.0,-98.9168930053711,12.33056640625,0.1091206818819046,15.0,-0.08034476637840271,15.0,2.0265583992004395,107.249755859375,108.30786895751953,71.43839263916016,580.1306674480438,34.63959264575938,0.12368939071893692,25.85624384586321
16000,0.6993720531463623,0.0,16.0,16,9.070905499940991,35.285316467285156,111.27525329589844,1.0,1000.0,218.7368217856173,75.60066223144531,175.333166792813,0.8169783353805542,0.0,-97.1859359741211,7.065272331237793,0.10830006748437881,16.0,-0.0921720340847969,16.0,1.9943941831588745,113.67771911621094,114.89579772949219,76.16905975341797,617.0768597126007,9.070905499940991,0.1927683800458908,25.928698748243274
17000,0.6955983638763428,0.0,17.0,17,26.15904005435144,42.504417419433594,-9.85414981842041,1.0,1000.0,-457.6848211339162,78.55201721191406,138.09681456182892,0.826848030090332,0.0,-105.95104217529297,7.4135894775390625,0.11001034080982208,17.0,-0.08718927204608917,17.0,2.0178699493408203,120.44532775878906,121.4949951171875,78.95623016357422,654.1031005382538,26.15904005435144,-0.02501794695854187,25.989786603993924
18000,0.7036914825439453,0.0,18.0,18,2.220436661781529,38.26567077636719,110.99392700195312,1.0,1000.0,-157.98415274261524,82.37792205810547,121.64787193380425,0.7909924387931824,0.0,-105.98053741455078,11.048397064208984,0.10997073352336884,18.0,-0.09566605091094971,18.0,1.983270525932312,129.49420166015625,131.18905639648438,82.65066528320312,690.2779462337494,2.220436661781529,-0.0674690380692482,26.076452388795637
19000,0.7005083560943604,0.0,19.0,19,9.158616954203488,45.40092086791992,33.98274230957031,1.0,1000.0,-338.1974037004748,83.53168487548828,97.44548900568431,0.821124255657196,0.0,-118.2580337524414,9.005452156066895,0.11074308305978775,19.0,-0.09503854811191559,19.0,2.009491443634033,139.56170654296875,141.06121826171875,83.8456802368164,725.9895219802856,9.158616954203488,0.019580582156777382,26.17117661446903
20000,0.6972978711128235,0.0,20.0,20,13.58483164869727,52.326637268066406,189.08407592773438,1.0,1000.0,442.9108493887062,83.9994888305664,114.7187570248354,0.7837820649147034,0.0,-127.82917022705078,12.172650337219238,0.11089026182889938,20.0,-0.0946921855211258,20.0,2.023299217224121,144.705810546875,146.01840209960938,84.25090026855469,760.444685459137,13.58483164869727,0.13009583950042725,26.30040078184584
