rollout/actions_mean,eval/return_history,param_noise_stddev,eval/return,total/steps,train/loss_actor,train/loss_critic,total/epochs,reference_action_std,reference_Q_mean,obs_rms_std,eval/episodes,ret_rms_std,rollout/return,rollout/episodes,reference_actor_Q_std,total/steps_per_second,ret_rms_mean,obs_rms_mean,reference_perturbed_action_mean,rollout/return_history,reference_perturbed_action_std,rollout/actions_std,total/duration,rollout/episode_steps,reference_actor_Q_mean,rollout/Q_mean,reference_Q_std,total/episodes,train/param_noise_distance,eval/Q,reference_action_mean
-0.2385888248682022,-250.46285884445146,0.16720346283821505,-250.46285884445146,1000,-3.0909290313720703,0.08109290152788162,1,0.7532115578651428,2.413252115249634,1.9260988235473633,1.0,1.0,-322.3340981411456,1.0,1.5945587158203125,52.78143208801211,0.0,0.09633857011795044,0.31055378913879395,-322.3340981411456,0.7458995580673218,0.7307102084159851,18.946056604385376,1000.0,3.2788100242614746,0.9094106554985046,1.929747223854065,1.0,0.8390378952026367,4.488916397094727,0.006306012626737356
0.07979486882686615,-307.0246974288084,0.1370306733903066,-363.58653601316536,2000,-7.27140998840332,0.127462238073349,2,0.7945523262023926,7.163997650146484,1.4748868942260742,2.0,1.0,-368.95665484704944,2.0,2.538022518157959,53.05977020611291,0.0,0.07362538576126099,-0.0035661160945892334,-368.95665484704944,0.6680537462234497,0.7972497344017029,37.69334077835083,1000.0,7.968857765197754,2.4826252460479736,2.7008872032165527,2.0,0.4723201096057892,8.731097221374512,-0.21757261455059052
0.023372143507003784,-293.0573807813027,0.11230273064362171,-265.12274748629136,3000,-9.629000663757324,0.37353163957595825,3,0.7980433702468872,9.168821334838867,1.8664824962615967,3.0,1.0,-577.6475724711836,3.0,3.8300373554229736,53.31496830343013,0.0,0.026042748242616653,-0.23832912743091583,-577.6475724711836,0.7093853950500488,0.7735470533370972,56.269376039505005,1000.0,9.601471900939941,4.217302322387695,3.8479886054992676,3.0,0.8389413356781006,14.414262771606445,-0.001545008271932602
-0.0681586042046547,-283.2449261963824,0.09203708190275892,-253.80756244162126,4000,-13.93719482421875,0.30203893780708313,4,0.7468881011009216,10.85634994506836,1.811262845993042,4.0,1.0,-480.15985461465465,4.0,4.755791187286377,53.43058795950562,0.0,0.005515397526323795,0.19087262451648712,-480.15985461465465,0.585387647151947,0.7681475281715393,74.86348462104797,1000.0,11.503171920776367,7.312381267547607,4.920467853546143,4.0,0.4980350732803345,18.80576515197754,0.2482256442308426
-0.08801723271608353,-301.42246717703784,0.07542848153938683,-374.13263109965976,5000,-18.5562801361084,0.47809329628944397,5,0.77736896276474,13.286775588989258,1.717962622642517,5.0,1.0,-413.02334191037346,5.0,5.5595316886901855,53.29809810944635,0.0,-0.004675697535276413,0.19678173959255219,-413.02334191037346,0.7388906478881836,0.7328822016716003,93.81197786331177,1000.0,13.960131645202637,9.6088285446167,5.73707914352417,5.0,0.3885844051837921,22.09065818786621,0.2556304931640625
-0.014702890999615192,-315.91169431137894,0.06181699495154324,-388.3578299830845,6000,-21.992372512817383,0.4786861538887024,6,0.7808284163475037,16.18797492980957,1.5986961126327515,6.0,1.0,-398.3938526999018,6.0,6.6482768058776855,53.30901344134341,0.0,0.012611692771315575,0.20390188694000244,-398.3938526999018,0.6762192249298096,0.7326645255088806,112.5513231754303,1000.0,16.847688674926758,11.234770774841309,6.825518608093262,6.0,0.4488227963447571,27.366008758544922,0.21038073301315308
-0.0869460180401802,-126.95285427685948,0.05066177638540577,1006.8001859302573,7000,-27.05218505859375,0.7802480459213257,7,0.751534640789032,21.34644317626953,1.4932185411453247,7.0,1.0,-393.14668493926723,7.0,5.944781303405762,53.33354201625552,0.0,-0.0036491630598902702,0.31001511216163635,-393.14668493926723,0.7000073194503784,0.7349978089332581,131.24948644638062,1000.0,22.373476028442383,13.428205490112305,6.300741672515869,7.0,0.35771045088768005,32.60721969604492,0.2664591372013092
-0.08885062485933304,-111.57668676753319,0.04151957869412388,-3.9435142022489105,8000,-32.60834503173828,0.8743482232093811,8,0.7016108632087708,26.93909454345703,1.6482861042022705,8.0,1.0,-283.4515542258795,8.0,4.651900291442871,53.40963022192689,0.0,-0.0024376437067985535,0.32737550139427185,-283.4515542258795,0.7084105014801025,0.721673309803009,149.78572154045105,1000.0,28.061603546142578,16.084503173828125,5.045206546783447,8.0,0.28352558612823486,34.832157135009766,0.270224392414093
-0.10084139555692673,-55.52012343417141,0.034027141129503384,392.9323832327228,9000,-37.78995895385742,0.9389281272888184,9,0.6329469084739685,32.18733215332031,1.7330418825149536,9.0,1.0,-245.671998762656,9.0,4.49912166595459,53.46022179540575,0.0,-0.003121378133073449,0.16063328087329865,-245.671998762656,0.6358418464660645,0.7158286571502686,168.34946990013123,1000.0,33.21768569946289,18.491790771484375,4.626287937164307,9.0,0.22929103672504425,42.30298614501953,0.23399557173252106
-0.1200152114033699,-33.45535700803441,0.029602352743226954,165.12754082719854,10000,-42.49497985839844,1.589644193649292,10,0.6115753054618835,35.90986633300781,1.6759955883026123,10.0,1.0,-222.44279395378143,10.0,5.437930583953857,53.52581772279036,0.0,-0.009229689836502075,0.3985072672367096,-222.44279395378143,0.6004062294960022,0.7011954188346863,186.82573056221008,1000.0,36.8455696105957,20.877811431884766,5.476258754730225,10.0,0.1997356414794922,45.909873962402344,0.39889803528785706
