reference_Q_std,eval/Q,reference_action_std,ret_rms_mean,reference_actor_Q_mean,total/duration,reference_perturbed_action_std,rollout/return_history,reference_actor_Q_std,train/loss_actor,obs_rms_mean,eval/episodes,train/loss_critic,total/episodes,total/steps_per_second,rollout/Q_mean,rollout/actions_std,rollout/actions_mean,obs_rms_std,reference_Q_mean,train/param_noise_distance,eval/return_history,param_noise_stddev,rollout/episodes,rollout/return,reference_action_mean,total/steps,rollout/episode_steps,eval/return,total/epochs,ret_rms_std,reference_perturbed_action_mean
0.7058212757110596,-0.6615498065948486,0.738143265247345,0.0,1.3212850093841553,13.165786981582642,0.5597368478775024,-37.12306662232213,0.5822640061378479,-1.2002623081207275,0.004203192889690399,1.0,0.040720731019973755,1.0,75.95444172071751,0.4610579311847687,0.511908233165741,0.11808528751134872,1.9004608392715454,1.044824481010437,0.778489351272583,-388.6736385003713,0.16720346283821505,1.0,-37.12306662232213,0.34861990809440613,1000,1000.0,-388.6736385003713,1,1.0,0.05950803682208061
0.7672660946846008,-0.20115740597248077,0.5259923338890076,0.0,3.447237968444824,25.926015853881836,0.4653213918209076,-107.76999419613384,0.5650602579116821,-3.0436813831329346,0.007733437232673168,2.0,0.04720311984419823,2.0,77.14258956223485,1.1642124652862549,0.5639054775238037,0.11337876319885254,1.5332221984863281,2.9660439491271973,0.524732768535614,-378.40186053359014,0.1370306733903066,2.0,-107.76999419613384,0.5167141556739807,2000,1000.0,-368.13008256680894,2,1.0,0.5293607115745544
0.6868394613265991,2.0509867668151855,0.515365481376648,0.0,6.398510456085205,38.66922855377197,0.1918504238128662,-148.7328616067985,0.46420180797576904,-3.8981075286865234,0.04468049854040146,3.0,0.04801411181688309,3.0,77.58106670859267,0.528328537940979,0.5624293684959412,0.1905374974012375,1.2991598844528198,5.961926460266113,0.39060109853744507,-399.163607250471,0.11230273064362171,3.0,-148.7328616067985,0.5629488825798035,3000,1000.0,-440.68710068423286,3,1.0,0.8360276222229004
0.6567226648330688,-1.4052515029907227,0.6542617678642273,0.0,9.201765060424805,51.427921295166016,0.6839163303375244,-246.33674643277453,0.4113568961620331,-3.899332046508789,0.08075902611017227,4.0,0.0798398032784462,4.0,77.77876101665383,0.41800248622894287,0.5886083841323853,0.38104116916656494,1.1578434705734253,8.726788520812988,0.4867691993713379,-444.3055636163505,0.09203708190275892,4.0,-246.33674643277453,0.4569930136203766,4000,1000.0,-579.7314327139891,4,1.0,0.46597054600715637
0.7159987688064575,5.751794338226318,0.7713313698768616,0.0,11.09300422668457,64.04556465148926,0.6877709031105042,-287.3290186311763,0.6185606122016907,-4.012103080749512,0.09779508411884308,5.0,0.10045389086008072,5.0,78.0694186585446,0.10170820355415344,0.5705132484436035,0.4622318744659424,1.1015729904174805,10.8509521484375,0.46343499422073364,-451.25593277819644,0.07694459401832851,5.0,-287.3290186311763,0.3481086492538452,5000,1000.0,-479.05740942557986,5,1.0,0.373800128698349
0.9680030345916748,-1.127427577972412,0.7420827150344849,0.0,11.828383445739746,76.72557854652405,0.7229614853858948,-305.3044632068006,0.9740134477615356,-3.8452625274658203,0.0943247452378273,6.0,0.08359874784946442,6.0,78.20077884928276,0.004128743428736925,0.6431226134300232,0.385327011346817,1.0259487628936768,11.841913223266602,0.1552954614162445,-457.7572706669188,0.06965693719894053,6.0,-305.3044632068006,0.422879695892334,6000,1000.0,-490.26396011053066,6,1.0,0.4568730890750885
0.798646092414856,11.346063613891602,0.6908152103424072,0.0,13.62441635131836,89.47023820877075,0.6101727485656738,-326.8287060585798,0.6477026343345642,-3.2926790714263916,0.09015722572803497,7.0,0.10539412498474121,7.0,78.23830739855782,-0.2974511384963989,0.7064270377159119,0.3124667704105377,0.9898666143417358,13.261524200439453,0.3127790093421936,-452.6729221639243,0.07105704163663924,7.0,-326.8287060585798,0.3776242733001709,7000,1000.0,-422.16683114595696,7,1.0,0.5115413665771484
0.887170135974884,13.449568748474121,0.7716389298439026,0.0,15.195358276367188,102.15868282318115,0.6357256770133972,-353.6457647974679,0.7846876978874207,-4.684239387512207,0.08699698746204376,8.0,0.15303295850753784,8.0,78.30954529676742,-0.42931318283081055,0.7323590517044067,0.27362027764320374,0.996063232421875,14.829140663146973,0.26062050461769104,-449.44163498693496,0.05940491710342653,8.0,-353.6457647974679,0.1379195898771286,8000,1000.0,-426.8226247480099,8,1.0,0.33484992384910583
0.995274007320404,16.213394165039062,0.7750565409660339,0.0,16.446115493774414,114.9745135307312,0.8061093688011169,-360.0977539245739,0.8819840550422668,-7.40673828125,0.09058617055416107,9.0,0.1539740115404129,9.0,78.27821769904176,0.28652265667915344,0.7205052971839905,0.3001765012741089,1.188876748085022,16.072097778320312,0.12726646661758423,-441.3812300051826,0.05940491710342653,9.0,-360.0977539245739,0.25006958842277527,9000,1000.0,-376.8979901511637,9,1.0,0.2547442615032196
1.3741123676300049,12.187342643737793,0.541344165802002,0.0,17.2213134765625,127.86655378341675,0.6219779849052429,-367.00613302967474,1.345339059829712,-8.461164474487305,0.0819205567240715,10.0,0.14118264615535736,10.0,78.20653411007092,1.845055103302002,0.7276361584663391,0.30060023069381714,1.1449304819107056,16.848068237304688,0.31665197014808655,-424.33877729992565,0.054859444277966955,10.0,-367.00613302967474,0.3983360826969147,10000,1000.0,-270.9567029526131,10,1.0,0.38800156116485596
