total/steps,reference_actor_Q_std,total/steps_per_second,total/epochs,rollout/Q_mean,train/param_noise_distance,reference_action_mean,reference_Q_mean,eval/return_history,eval/episodes,total/duration,rollout/episodes,rollout/return_history,reference_perturbed_action_mean,reference_action_std,rollout/return,total/episodes,eval/Q,rollout/actions_std,reference_Q_std,reference_actor_Q_mean,rollout/actions_mean,eval/return,ret_rms_mean,reference_perturbed_action_std,obs_rms_mean,param_noise_stddev,train/loss_critic,obs_rms_std,rollout/episode_steps,train/loss_actor,ret_rms_std
11000,5.9059038162231445,74.27842777299117,11,6.400374412536621,0.24653871357440948,-0.06174841895699501,16.04315757751465,-940.9216442550701,11.0,148.0914490222931,19.0,-500.59790240431465,-0.023829396814107895,0.555586040019989,-500.59790240431465,19.0,14.654013633728027,0.6873248815536499,6.050113201141357,16.915843963623047,0.009982417337596416,-296.8971649045134,0.0,0.5591856241226196,0.029742706567049026,0.03335667202186392,1.492171049118042,0.3582002520561218,572.0,-15.488646507263184,1.0
12000,5.968780994415283,73.70893393176253,12,6.6454386711120605,0.1870000809431076,-0.06624209880828857,18.81670379638672,-912.9258413881734,12.0,162.80251741409302,20.0,-517.16305647495,-0.11845885217189789,0.6189661026000977,-517.16305647495,20.0,23.08965301513672,0.6867780685424805,6.347527027130127,19.9951171875,0.01813972182571888,-604.9720098523088,0.0,0.5689502358436584,0.02977314218878746,0.034027141129503384,1.5748851299285889,0.3589932918548584,593.4,-17.62856101989746,1.0
13000,6.562551498413086,73.91602680273459,13,6.93895149230957,0.19065991044044495,-0.14587289094924927,22.30290985107422,-899.9308766456714,13.0,175.87525415420532,22.0,-502.49630941984293,-0.09526366740465164,0.5202494263648987,-502.49630941984293,22.0,11.379520416259766,0.6837565302848816,6.629979610443115,23.236438751220703,0.006059234496206045,-743.9912997356498,0.0,0.5046877264976501,0.027962543070316315,0.03269941380439557,2.068110466003418,0.3620326519012451,589.8181818181819,-19.573518753051758,1.0
14000,6.6356329917907715,74.35551078159956,14,7.309013366699219,0.19706839323043823,-0.047268345952034,24.88054656982422,-864.5112560300103,14.0,188.28463220596313,23.0,-501.25559788101054,-0.031019628047943115,0.5400866866111755,-501.25559788101054,23.0,14.263567924499512,0.6799077391624451,6.869375228881836,25.823078155517578,-0.005660192109644413,-404.05618802641465,0.0,0.5462668538093567,0.02647823840379715,0.032055106170371106,1.8199326992034912,0.3663085997104645,607.6521739130435,-20.49321937561035,1.0
15000,7.108394145965576,74.01247716159733,15,8.295021057128906,0.26180359721183777,-0.0712677389383316,27.46389389038086,-825.1155812947616,15.0,202.66853070259094,25.0,-469.4924823322048,-0.022901833057403564,0.5281209349632263,-469.4924823322048,25.0,24.061016082763672,0.6723004579544067,7.274979591369629,28.520828247070312,-0.008485320024192333,-273.5761350012808,0.0,0.5501561164855957,0.025821736082434654,0.03142349394213421,2.191882848739624,0.3721955120563507,596.28,-22.51697540283203,1.0
16000,8.153548240661621,74.16740033606214,16,8.909550666809082,0.19397138059139252,-0.01818746328353882,29.406885147094727,-760.3538749299919,16.0,215.7282030582428,29.0,-416.06992342729575,-0.03559574484825134,0.5268908143043518,-416.06992342729575,29.0,34.7371711730957,0.6675245761871338,8.161432266235352,30.503192901611328,-0.0038810682017356157,211.07172054155416,0.0,0.563730001449585,0.025003427639603615,0.030804326970036475,2.732914924621582,0.37743183970451355,549.9310344827586,-24.94513511657715,1.0
17000,9.18305492401123,73.73592788297228,17,9.967035293579102,0.23512081801891327,-0.0525631383061409,31.356815338134766,-790.3648235556129,17.0,230.55246591567993,30.0,-415.01285524136546,-0.04833938181400299,0.5499893426895142,-415.01285524136546,30.0,15.721062660217285,0.6645429134368896,9.235584259033203,32.48499298095703,-0.0034438776783645153,-1270.540001565549,0.0,0.550085723400116,0.025037266314029694,0.032055106170371106,2.712127685546875,0.37716758251190186,564.9333333333333,-27.537559509277344,1.0
18000,9.96914291381836,73.64194413840912,18,11.100924491882324,0.1889309138059616,-0.08626227080821991,34.32314682006836,-787.4775566220017,18.0,244.42592072486877,31.0,-416.37705761213,-0.17385970056056976,0.522301435470581,-416.37705761213,31.0,24.73487091064453,0.6616870164871216,10.268994331359863,35.52740478515625,-0.010048323310911655,-738.3940187506112,0.0,0.5385466814041138,0.02447749301791191,0.030804326970036475,3.1903018951416016,0.37773624062538147,578.9677419354839,-29.192466735839844,1.0
19000,10.612533569335938,73.6170714991586,19,12.382514953613281,0.2237783968448639,-0.09101507067680359,36.8215217590332,-755.1820745972454,19.0,258.09230947494507,32.0,-418.2095506794832,-0.09704743325710297,0.5083178281784058,-418.2095506794832,32.0,35.053035736083984,0.657884955406189,10.57703685760498,38.063995361328125,-0.019686542451381683,-173.8633981516347,0.0,0.5122628211975098,0.023690486326813698,0.030804326970036475,2.9632372856140137,0.3792286515235901,592.125,-31.061927795410156,1.0
20000,11.015273094177246,73.89421533878884,20,14.076876640319824,0.19960246980190277,-0.012228759005665779,38.88399887084961,-732.5749821843871,20.0,270.6571807861328,33.0,-392.12806413697353,0.02561914175748825,0.5580949187278748,-392.12806413697353,33.0,32.22030258178711,0.6476331353187561,11.224061012268066,40.276275634765625,-0.02578675001859665,-303.04022634007777,0.0,0.547764778137207,0.023044485598802567,0.029602352743226954,6.350585460662842,0.38001787662506104,604.4848484848485,-32.742889404296875,1.0
21000,10.638476371765137,73.6046082407544,21,14.162336349487305,0.18738268315792084,-0.08795694261789322,43.4877815246582,-718.7168753067344,21.0,285.3082232475281,34.0,-407.1029629909495,-0.08117381483316422,0.508611261844635,-407.1029629909495,34.0,34.12160110473633,0.6500822305679321,10.762401580810547,44.81202697753906,-0.023200735449790955,-441.5547377536832,0.0,0.49058008193969727,0.022397814318537712,0.029602352743226954,5.434449672698975,0.3825503885746002,616.1176470588235,-34.592533111572266,1.0
22000,10.890848159790039,73.30979415877296,22,15.23969554901123,0.20297397673130035,-0.17175020277500153,45.463661193847656,-694.3369053515125,22.0,300.09632754325867,35.0,-423.54343205981496,-0.15401142835617065,0.5011600852012634,-423.54343205981496,35.0,40.07975769042969,0.652752161026001,10.817803382873535,46.82556915283203,-0.016118112951517105,-182.3575362918529,0.0,0.47514626383781433,0.022747857496142387,0.02901906944733551,3.7468771934509277,0.3807644248008728,627.0857142857143,-36.63145446777344,1.0
23000,11.196938514709473,73.27495074868466,23,16.865333557128906,0.2138787806034088,-0.024063430726528168,48.62126541137695,-666.6467952132236,23.0,313.8862566947937,36.0,-405.58935265042993,-0.06851339340209961,0.47443997859954834,-405.58935265042993,36.0,38.182193756103516,0.644561767578125,11.187437057495117,49.95758056640625,-0.021477241069078445,-57.46437217086924,0.0,0.5150868892669678,0.022535325959324837,0.02901906944733551,5.7787675857543945,0.3811284601688385,628.4444444444445,-38.5888671875,1.0
24000,10.257536888122559,73.04508442146857,24,18.385337829589844,0.20806854963302612,0.004319585859775543,51.56151580810547,-669.3674626007172,24.0,328.56420373916626,37.0,-386.19865526322747,0.10427367687225342,0.46436581015586853,-386.19865526322747,37.0,30.368244171142578,0.6361467838287354,10.481961250305176,52.83094787597656,-0.021857677027583122,-731.9428125130602,0.0,0.4728909134864807,0.022555921226739883,0.030197360033365817,4.194821357727051,0.3811187744140625,638.4864864864865,-41.278167724609375,1.0
