ret_rms_std,train/param_noise_distance,rollout/return_history,train/loss_critic,total/epochs,reference_Q_std,eval/Q,param_noise_stddev,total/duration,eval/return_history,eval/episodes,rollout/episodes,reference_actor_Q_mean,train/loss_actor,rollout/return,reference_actor_Q_std,rollout/Q_mean,obs_rms_mean,reference_action_mean,reference_perturbed_action_std,rollout/actions_mean,rollout/actions_std,reference_action_std,reference_Q_mean,obs_rms_std,reference_perturbed_action_mean,ret_rms_mean,total/episodes,total/steps_per_second,total/steps,eval/return,rollout/episode_steps
1.0,0.3370034396648407,-470.75891999186905,0.02951641008257866,1,0.528328001499176,-0.2862285077571869,0.16720346283821505,17.248963117599487,-1263.6462003497738,1.0,1.0,0.18197345733642578,-0.1343754678964615,-470.75891999186905,0.22048597037792206,-0.44615593552589417,0.00844802986830473,0.04981321096420288,0.7141240239143372,-0.2025638073682785,0.5590260624885559,0.7717522382736206,-0.679702877998352,0.24620944261550903,-0.2705141305923462,0.0,1.0,57.97449928915893,1000,-1263.6462003497738,1000.0
1.0,0.39162296056747437,-940.9153783666097,0.05108664929866791,2,0.5244618654251099,0.7662408947944641,0.14259466822295333,34.017489194869995,-1404.3500407901547,2.0,2.0,0.9339285492897034,3.549229383468628,-940.9153783666097,0.33611541986465454,-3.106903553009033,0.017737165093421936,0.7512503862380981,0.17370377480983734,-0.26559317111968994,0.6383846402168274,0.23038822412490845,0.2838778495788574,0.23309235274791718,0.7338548898696899,0.0,2.0,58.79328684556795,2000,-1545.0538812305356,1000.0
1.0,0.6317165493965149,-965.0200883264739,0.08915475755929947,3,1.2587432861328125,-0.922380268573761,0.11686267184170265,50.701010942459106,-1217.689216578303,3.0,3.0,0.19216212630271912,3.896811008453369,-965.0200883264739,1.2568848133087158,-2.9089443683624268,0.03318282216787338,-0.1519204080104828,0.5200225114822388,0.045780353248119354,0.6958685517311096,0.6517618894577026,-0.15908141434192657,0.2305511236190796,0.17189347743988037,0.0,3.0,59.1704177931426,3000,-844.3675681546003,1000.0
1.0,0.4592290222644806,-811.3762500809516,0.08302012085914612,4,1.2878257036209106,-2.8828158378601074,0.09577415649670935,67.58653163909912,-1129.7855627422055,4.0,4.0,1.18114173412323,2.557823657989502,-811.3762500809516,1.228906512260437,-2.0574417114257812,0.03204923868179321,-0.3310229480266571,0.5451565384864807,0.08334608376026154,0.6649415493011475,0.6481828093528748,0.6438953876495361,0.23275014758110046,-0.38918980956077576,0.0,4.0,59.183389101238944,4000,-866.0746012339121,1000.0
1.0,0.4160275459289551,-844.5047359782506,0.1332060545682907,5,1.3332078456878662,-5.588394641876221,0.07849118035809692,83.25171113014221,-1072.9207263928693,5.0,5.0,1.694575309753418,1.3876867294311523,-844.5047359782506,1.1957083940505981,-1.6294552087783813,0.027862828224897385,-0.12066107988357544,0.5535196661949158,0.0075659239664673805,0.6733102202415466,0.6986799240112305,1.0562770366668701,0.25305578112602234,-0.2489679902791977,0.0,5.0,60.05882560400244,5000,-845.4613809955248,1000.0
1.0,0.24874253571033478,-773.0950476747048,0.13633310794830322,6,0.5118451118469238,1.2815124988555908,0.06432701283272566,98.29289364814758,-990.0377522990134,6.0,6.0,1.7678191661834717,0.6714254021644592,-773.0950476747048,0.4421486258506775,-1.7918412685394287,0.025790542364120483,-0.08222455531358719,0.590900182723999,-0.007442126050591469,0.6606278419494629,0.6054674386978149,1.2781670093536377,0.276839017868042,-0.15765835344791412,0.0,6.0,61.042052759966495,6000,-575.6228818297341,1000.0
1.0,0.28676143288612366,-754.2229643158852,0.16841934621334076,7,0.510571300983429,1.1062555313110352,0.052718847660376544,115.13078784942627,-962.7092811196044,7.0,7.0,2.3930680751800537,0.08021581918001175,-754.2229643158852,0.36403965950012207,-1.3383666276931763,0.02429877407848835,-0.1941407024860382,0.5475262999534607,0.005631411913782358,0.6592990159988403,0.5153329968452454,1.8339296579360962,0.28452786803245544,-0.2192140817642212,0.0,7.0,60.80041777491304,7000,-798.7384540431502,1000.0
1.0,0.2145746946334839,-863.8212612738191,0.1798362135887146,8,0.624244749546051,1.881075382232666,0.04495975420378481,131.92899107933044,-923.3119166269707,8.0,8.0,2.9690825939178467,0.11274194717407227,-863.8212612738191,0.5842136740684509,-1.7788410186767578,0.024949783459305763,-0.1278146505355835,0.6147170662879944,0.023375798016786575,0.6802148222923279,0.6280933022499084,2.279393196105957,0.2833586037158966,0.010740967467427254,0.0,8.0,60.63868096428863,8000,-647.5303651785346,1000.0
1.0,0.24476081132888794,-810.7998305854356,0.16710133850574493,9,1.0411096811294556,1.2283241748809814,0.039899499036260555,144.82889986038208,-819.1597159088107,9.0,9.0,3.0854737758636475,-0.3389286398887634,-810.7998305854356,1.0175870656967163,-1.3077492713928223,0.024922972545027733,-0.10396696627140045,0.39206427335739136,0.02389347180724144,0.6698110103607178,0.3813459277153015,2.5440831184387207,0.28465181589126587,-0.16655465960502625,0.0,9.0,62.14229348338748,9000,14.05788983647012,1000.0
1.0,0.24351583421230316,-692.2418631850744,0.21389934420585632,10,1.2313933372497559,4.890410900115967,0.034027141129503384,160.672954082489,-729.5610773481585,10.0,10.0,4.660480976104736,-2.250596761703491,-692.2418631850744,1.106714129447937,-0.7541335225105286,0.02638663910329342,-0.04631771892309189,0.4470314383506775,0.019987067207694054,0.6482852101325989,0.48738089203834534,3.8216776847839355,0.2853938937187195,-0.07638521492481232,0.0,10.0,62.23822831355942,10000,76.82666969771037,1000.0
