total/episodes,reference_action_mean,rollout/actions_std,train/param_noise_distance,ret_rms_std,obs_rms_std,reference_actor_Q_mean,reference_actor_Q_std,total/epochs,ret_rms_mean,train/loss_actor,rollout/actions_mean,rollout/episode_steps,eval/return_history,eval/episodes,reference_Q_mean,rollout/episodes,total/steps_per_second,rollout/return_history,rollout/Q_mean,obs_rms_mean,eval/Q,train/loss_critic,reference_action_std,eval/return,total/duration,rollout/return,reference_Q_std,total/steps
1.0,0.6928464770317078,0.4354049563407898,0.0,1.0,0.21099548041820526,-0.020302876830101013,0.2437565177679062,1,0.0,0.07669514417648315,0.0660843774676323,1000.0,-279.98959088182045,1.0,-0.1502991020679474,1.0,88.65896442251453,-107.86232798010126,-0.1260325312614441,0.0011430683080106974,0.1981600522994995,0.00936922151595354,0.14542202651500702,-279.98959088182045,11.279175281524658,-107.86232798010126,0.2483626902103424,1000
2.0,0.750821590423584,0.5000382661819458,0.0,1.0,0.2627097964286804,0.9700219631195068,0.5638169050216675,2,0.0,0.8242285251617432,0.4061514437198639,1000.0,-365.1375538488589,2.0,0.7676177620887756,2.0,89.19139654183193,-239.9505565621559,-0.81069415807724,0.09193198382854462,-2.814981698989868,0.016018597409129143,0.45246198773384094,-450.2855168158973,22.42368745803833,-239.9505565621559,0.49330395460128784,2000
3.0,0.024477189406752586,0.5567846894264221,0.0,1.0,0.4445740878582001,0.8442097902297974,0.7042157053947449,3,0.0,0.34710773825645447,0.3743346929550171,1000.0,-340.0634286254639,3.0,0.6159365773200989,3.0,89.67061031499867,-251.57122920038606,-0.7870979905128479,0.08938330411911011,1.6235833168029785,0.03463461250066757,0.7364552021026611,-289.91517817867407,33.455777645111084,-251.57122920038606,0.7108044028282166,3000
4.0,0.20473718643188477,0.6662559509277344,0.0,1.0,0.5173624753952026,0.7634447813034058,0.9582468271255493,4,0.0,-0.11468886584043503,0.21321769058704376,1000.0,-344.49449432280613,4.0,0.2685335874557495,4.0,89.94504925222834,-282.80147765337944,-0.31241291761398315,0.07626572251319885,-0.251115083694458,0.09873729944229126,0.8638508915901184,-357.7876914148327,44.47159719467163,-282.80147765337944,1.047554850578308,4000
5.0,0.6680323481559753,0.7232740521430969,0.0,1.0,0.5469557046890259,2.7450218200683594,0.3405630588531494,5,0.0,-0.559177577495575,0.14224191009998322,1000.0,-372.11200905335113,5.0,2.3104357719421387,5.0,90.0732748602721,-318.7105626171689,-0.5505827069282532,0.08623496443033218,-4.151879787445068,0.07871521264314651,0.7014117240905762,-482.5820679755311,55.51036095619202,-318.7105626171689,0.5089267492294312,5000
6.0,0.45155754685401917,0.7537773847579956,0.0,1.0,0.639715313911438,3.987128734588623,0.44443488121032715,6,0.0,-0.21388256549835205,0.08548770844936371,1000.0,-331.06372872627,6.0,3.6479759216308594,6.0,90.19734324637956,-336.4952228727994,-0.8754755854606628,0.09121818095445633,1.4864774942398071,0.11289864778518677,0.6222376823425293,-125.8223270908646,66.52080631256104,-336.4952228727994,0.3870502710342407,6000
7.0,0.0062307813204824924,0.740623950958252,0.0,1.0,0.8120105266571045,3.7984883785247803,0.6708993911743164,7,0.0,-1.2137056589126587,0.0960194543004036,1000.0,-297.8014202510663,7.0,3.697018623352051,7.0,90.31058289247443,-324.8764105414376,-0.6832997798919678,0.09570306539535522,3.5404415130615234,0.15909725427627563,0.6081326603889465,-98.22756939984383,77.51029586791992,-324.8764105414376,0.6783183217048645,7000
8.0,-0.357670396566391,0.7324692010879517,0.0,1.0,0.9262810945510864,4.386302471160889,0.7870699763298035,8,0.0,-1.9866669178009033,0.09877751022577286,1000.0,-303.3893270274027,8.0,4.178905963897705,8.0,90.24029195287326,-318.5171015575344,-0.25716927647590637,0.08550523966550827,2.833310127258301,0.14533452689647675,0.7625775933265686,-342.50467446175765,88.6521954536438,-318.5171015575344,0.8727046251296997,8000
9.0,0.5514137148857117,0.7499153017997742,0.0,1.0,0.9207107424736023,4.4336442947387695,0.7217739820480347,9,0.0,-1.763454556465149,0.016646642237901688,1000.0,-324.04199373070355,9.0,4.120828628540039,9.0,90.12881727840698,-327.3766187960658,-0.2618805468082428,0.07736358791589737,-1.3307349681854248,0.16724151372909546,0.6122358441352844,-489.26332735710986,99.85707426071167,-327.3766187960658,0.792533278465271,9000
10.0,0.517591655254364,0.7515411376953125,0.0,1.0,0.9077924489974976,5.120112419128418,0.6513153314590454,10,0.0,-1.8264209032058716,-0.028503764420747757,1000.0,-345.2285055841048,10.0,4.871793270111084,10.0,90.12860163561155,-325.41068889495966,-0.08620569109916687,0.07299727201461792,-4.064051151275635,0.19314642250537872,0.551857054233551,-535.9071122647163,110.95257019996643,-325.41068889495966,0.6838241219520569,10000
11.0,0.19884729385375977,0.7550821304321289,0.0,1.0,0.953134298324585,6.316111087799072,0.531342089176178,11,0.0,-2.226961612701416,-0.08174961060285568,1000.0,-251.5992872552998,11.0,5.94432258605957,11.0,90.13003797799126,-335.29941369884926,-0.41083261370658875,0.07026119530200958,10.400106430053711,0.24894432723522186,0.6599963307380676,684.6928960327507,122.04588222503662,-335.29941369884926,0.581734836101532,11000
12.0,0.39872264862060547,0.7504400610923767,0.0,1.0,1.0592296123504639,8.556601524353027,0.5493011474609375,12,0.0,-2.5266873836517334,-0.05462484434247017,1000.0,-275.828255605449,12.0,7.875238418579102,12.0,90.12644577008332,-333.9545820552734,-0.37469741702079773,0.07747428864240646,1.5176351070404053,0.21109884977340698,0.6874254941940308,-542.3469074570905,133.14626908302307,-333.9545820552734,0.5961224436759949,12000
