ret_rms_mean,rollout/episodes,reference_Q_std,eval/return_history,obs_rms_mean,reference_perturbed_action_std,train/loss_actor,total/steps_per_second,reference_perturbed_action_mean,reference_action_mean,reference_Q_mean,obs_rms_std,param_noise_stddev,rollout/actions_std,eval/episodes,total/epochs,train/loss_critic,rollout/episode_steps,rollout/actions_mean,rollout/return_history,eval/return,ret_rms_std,eval/Q,train/param_noise_distance,total/steps,reference_action_std,rollout/return,reference_actor_Q_mean,rollout/Q_mean,total/episodes,total/duration,reference_actor_Q_std
0.0,286.0,7.033318996429443,22.01720174358486,0.01818975806236267,0.48220306634902954,-176.03453063964844,62.50168035676804,-0.06431888043880463,-0.23222191631793976,199.2503662109375,0.36724159121513367,0.023313810312614223,0.5129125714302063,240.0,240,63.533226013183594,837.0034965034965,-0.04375367611646652,21.250110494926094,457.1856897114546,1.0,204.4055633544922,0.20751522481441498,240000,0.43615028262138367,-21.96384322455104,200.4405517578125,143.3866424560547,286.0,3839.8967616558075,7.261641979217529
0.0,288.0,6.796760559082031,24.120217426985363,0.018196076154708862,0.37198299169540405,-176.09046936035156,62.48740702605182,-0.36000877618789673,-0.18535718321800232,199.94253540039062,0.36730876564979553,0.02378241789989777,0.5127419829368591,241.0,241,30.9116153717041,835.7013888888889,-0.04347730055451393,16.88554487112695,145.9273282000209,1.0,201.01486206054688,0.19046351313591003,241000,0.462594598531723,-19.641445124221256,200.9631805419922,143.56336975097656,288.0,3856.777092695236,6.875091075897217
0.0,289.0,7.79135799407959,24.126469977287226,0.0181815754622221,0.5157079696655273,-174.65118408203125,62.46929883838115,-0.25642359256744385,-0.2774536609649658,199.34255981445312,0.3673449754714966,0.023313810312614223,0.5132123231887817,242.0,242,52.26569366455078,836.2698961937716,-0.04309561848640442,11.013938777023487,-278.6440184878287,1.0,195.09115600585938,0.19861872494220734,242000,0.4220760762691498,-20.624457195082872,202.2149658203125,143.62905883789062,289.0,3873.9029331207275,6.965799808502197
0.0,290.0,6.772995471954346,25.931562246979478,0.01820901222527027,0.38442644476890564,-176.9970245361328,62.45319066621504,-0.2772045135498047,-0.3305036127567291,199.391845703125,0.3672170639038086,0.024260444499685715,0.5135049819946289,243.0,243,17.682479858398438,836.8344827586207,-0.04396555945277214,10.018664708027753,489.78470201161855,1.0,193.11700439453125,0.20451638102531433,243000,0.3259125351905823,-22.69863873568994,200.98426818847656,143.82928466796875,290.0,3890.914097547531,7.134584426879883
0.0,291.0,7.373690128326416,31.492051241037906,0.018190860748291016,0.33513492345809937,-174.1422882080078,62.45101552897217,-0.14920556545257568,-0.13074567914009094,200.57215881347656,0.36744987964630127,0.02378241789989777,0.5129368305206299,244.0,244,38.07895278930664,837.3951890034364,-0.04422338306903839,11.711183882702041,549.951132896917,1.0,216.06930541992188,0.19300344586372375,244000,0.3283393383026123,-21.087713640088136,201.6637725830078,144.08370971679688,291.0,3907.0621659755707,7.38270378112793
0.0,292.0,7.6079254150390625,33.46729469404242,0.018178431317210197,0.36285850405693054,-174.7760009765625,62.43721175013712,-0.28068310022354126,0.1401059329509735,200.86862182617188,0.3675230145454407,0.02378241789989777,0.5122868418693542,245.0,245,65.01923370361328,837.9520547945206,-0.04429817944765091,17.36863372442958,581.4629331763037,1.0,219.81500244140625,0.21176350116729736,245000,0.31196722388267517,-18.994521773189796,201.3676300048828,144.35948181152344,292.0,3923.9420392513275,7.588198661804199
0.0,293.0,6.958688259124756,34.85770735346114,0.018154146149754524,0.390874981880188,-176.38885498046875,62.423716516195114,-0.15966056287288666,-0.2365439534187317,198.36825561523438,0.36750802397727966,0.023313810312614223,0.5116132497787476,246.0,246,76.92301940917969,838.5051194539249,-0.04446214810013771,19.94400249520938,620.454105631922,1.0,208.59759521484375,0.23779278993606567,246000,0.4435233473777771,-16.76063081441232,199.69644165039062,144.66793823242188,293.0,3940.809899330139,6.809728145599365
0.0,294.0,6.946071624755859,38.14139063483197,0.018140248954296112,0.4167146384716034,-175.97772216796875,62.424158084858874,-0.03618237376213074,-0.09081310778856277,199.02243041992188,0.3676433861255646,0.024260444499685715,0.5110592842102051,247.0,247,24.62002944946289,839.0544217687075,-0.04457327350974083,39.87867560996458,439.06886140068974,1.0,213.4622344970703,0.21288180351257324,247000,0.40176644921302795,-14.577575291092105,200.7193603515625,144.95620727539062,294.0,3956.8014624118805,7.307149410247803
0.0,295.0,6.999344825744629,40.51202918551072,0.018134143203496933,0.4220568537712097,-176.11537170410156,62.435070363665204,-0.03453116863965988,-0.02771592140197754,198.96630859375,0.36771664023399353,0.021962663920618613,0.5104253888130188,248.0,248,72.70372772216797,839.6,-0.04445521906018257,44.613385363247474,40.235809104541985,1.0,182.08079528808594,0.21202777326107025,248000,0.41348886489868164,-12.44867200598485,199.95974731445312,145.24234008789062,295.0,3972.126539707184,7.207104206085205
0.0,296.0,6.871250152587891,42.6298735061336,0.01811748929321766,0.35326462984085083,-178.18035888671875,62.445051920417875,0.02219829335808754,-0.19695919752120972,198.7231903076172,0.36774906516075134,0.02378241789989777,0.50982266664505,249.0,249,70.08268737792969,840.1418918918919,-0.04457331448793411,61.57466270867134,-367.3298444276869,1.0,121.67523193359375,0.19215765595436096,249000,0.354603111743927,-10.340986057846601,199.9714813232422,145.5456085205078,296.0,3987.5056924819946,7.133509635925293
0.0,297.0,6.90810489654541,45.01064543090765,0.018102729693055153,0.36038097739219666,-176.59597778320312,62.457682659682256,-0.24541287124156952,-0.03362897038459778,199.1075897216797,0.36790767312049866,0.02378241789989777,0.5093307495117188,250.0,250,30.08804702758789,840.6801346801346,-0.044828396290540695,65.03666607781362,61.3788866489817,1.0,202.22604370117188,0.18057550489902496,250000,0.3467704653739929,-8.802490328402916,200.18865966796875,145.82040405273438,297.0,4002.7101447582245,7.171835422515869
0.0,298.0,7.465174674987793,46.945457853618954,0.018087591975927353,0.35462650656700134,-176.8318328857422,62.44183361782158,-0.1431502401828766,-0.1988283395767212,199.15077209472656,0.3679358959197998,0.024260444499685715,0.5089121460914612,251.0,251,23.967992782592773,839.1879194630873,-0.045331910252571106,63.93570388312674,584.7173058134459,1.0,225.283447265625,0.2147093117237091,251000,0.3698648512363434,-8.738566411330336,200.34878540039062,146.10179138183594,298.0,4019.741020679474,7.540125846862793
