reference_Q_std,ret_rms_mean,reference_perturbed_action_std,reference_Q_mean,obs_rms_std,eval/return,rollout/episodes,total/duration,param_noise_stddev,reference_actor_Q_std,rollout/return,rollout/Q_mean,total/steps_per_second,total/steps,obs_rms_mean,rollout/episode_steps,reference_actor_Q_mean,train/loss_critic,eval/Q,total/epochs,rollout/actions_mean,ret_rms_std,eval/return_history,total/episodes,eval/episodes,rollout/return_history,train/param_noise_distance,train/loss_actor,reference_action_std,reference_perturbed_action_mean,reference_action_mean,rollout/actions_std
3.130950689315796,0.0,0.7418062090873718,19.247804641723633,7.200655460357666,157.68622718111098,38.0,11.159379959106445,0.16720346283821505,2.26924467086792,126.0778666310215,9.136941909790039,89.61071346835583,1000,0.8235035538673401,26.236842105263158,19.518888473510742,1.773835301399231,18.0736026763916,1,-0.05022723972797394,1.0,157.68622718111098,38.0,1.0,126.0778666310215,0.6561804413795471,-18.954477310180664,0.6790918111801147,-0.11401402205228806,-0.12920323014259338,0.661104679107666
8.186800956726074,0.0,0.672832190990448,38.826255798339844,7.178396701812744,325.88109244362096,69.0,22.320760011672974,0.1370306733903066,6.480026721954346,136.9902121833045,18.631793975830078,89.60268373272551,2000,1.0042275190353394,28.507246376811594,39.595794677734375,4.026325225830078,41.050392150878906,2,-0.04810912534594536,1.0,241.78365981236595,69.0,2.0,136.9902121833045,0.6500888466835022,-38.230037689208984,0.6835642457008362,-0.0768236294388771,-0.11219031363725662,0.6725250482559204
14.083139419555664,0.0,0.7157151103019714,57.996185302734375,7.347469329833984,147.27114386720754,95.0,33.33950138092041,0.11230273064362171,11.429311752319336,151.20102334509644,28.586063385009766,89.98334935257446,3000,1.0948909521102905,31.16842105263158,59.707000732421875,4.645911693572998,53.1689567565918,3,-0.03626646101474762,1.0,210.2794878306465,95.0,3.0,151.20102334509644,0.711688220500946,-58.14582061767578,0.7352554798126221,0.15781095623970032,-0.12074438482522964,0.681888222694397
22.321819305419922,0.0,0.7258045077323914,75.79661560058594,7.179172515869141,258.99926892268377,120.0,44.41375255584717,0.09203708190275892,20.316516876220703,159.88359229562477,38.19814682006836,90.06219402358046,4000,1.1620546579360962,32.96666666666667,77.70103454589844,5.934942722320557,82.09877014160156,4,-0.04625023156404495,1.0,222.4594331036558,120.0,4.0,167.50315348578778,0.5737974643707275,-76.17493438720703,0.7544538378715515,0.016816509887576103,0.037074968218803406,0.6887242794036865
33.53164291381836,0.0,0.798017144203186,90.96365356445312,7.0832953453063965,282.6584149642837,142.0,55.57296347618103,0.07542848153938683,32.43072509765625,169.8929054072883,47.51288604736328,89.97180800233977,5000,1.2892405986785889,35.014084507042256,93.24447631835938,7.74696159362793,96.33338165283203,5,-0.020700877532362938,1.0,234.4992294757814,142.0,5.0,186.50718615668447,0.46844202280044556,-92.42847442626953,0.7884232401847839,-0.011384336277842522,0.018760964274406433,0.7001092433929443
44.920196533203125,0.0,0.7514944076538086,105.43904876708984,7.002260684967041,277.82192790682495,162.0,66.75443768501282,0.06181699495154324,43.79049301147461,180.96473169088765,57.002166748046875,89.88166492108843,6000,1.3838227987289429,36.99382716049383,108.63209533691406,10.573561668395996,117.31487274169922,6,-0.006945439148694277,1.0,241.71967921428867,162.0,6.0,208.48269971334997,0.4292924404144287,-107.308349609375,0.7716560959815979,0.07898768782615662,0.11847797781229019,0.7140926718711853
55.99214172363281,0.0,0.7350265383720398,118.60699462890625,6.822041034698486,269.0474212832886,179.0,77.89979267120361,0.05066177638540577,53.98025131225586,191.61296719310815,66.26400756835938,89.85903248222142,7000,1.4828482866287231,38.88826815642458,123.59912109375,16.707740783691406,133.45101928710938,7,0.013230320997536182,1.0,245.62364236700296,179.0,7.0,231.19850968244035,0.42079415917396545,-124.75788116455078,0.763741672039032,0.17863178253173828,0.14949092268943787,0.721994161605835
64.93661499023438,0.0,0.7290316820144653,132.72882080078125,6.825263977050781,303.8389546655072,195.0,89.10526418685913,0.04151957869412388,62.895172119140625,199.8942075285261,74.3161849975586,89.78145200516454,8000,1.5248960256576538,41.02051282051282,138.595703125,22.313770294189453,158.3204345703125,8,0.025179773569107056,1.0,252.90055640431598,195.0,8.0,246.15273250278426,0.34915316104888916,-140.16188049316406,0.7538357377052307,0.23738639056682587,0.1770741492509842,0.7265864014625549
72.68132781982422,0.0,0.7957181334495544,151.06045532226562,7.0346999168396,156.71178131495722,213.0,100.0911180973053,0.034027141129503384,68.74774169921875,204.51497752681834,82.78414916992188,89.91806836697035,9000,1.5807651281356812,41.95774647887324,158.9878387451172,32.28657150268555,165.95574951171875,9,0.03751256316900253,1.0,242.21291472772054,213.0,9.0,257.9502226114531,0.2815575897693634,-156.70669555664062,0.7865922451019287,0.08448609709739685,0.12975771725177765,0.7339072227478027
78.23503875732422,0.0,0.7206096053123474,169.8487091064453,7.042524814605713,248.96544582208412,229.0,111.29643821716309,0.027886755354071244,74.77225494384766,212.2152335263716,90.91097259521484,89.85013501050112,10000,1.629112720489502,43.55021834061135,179.881103515625,31.253480911254883,138.60867309570312,10,0.0508032850921154,1.0,242.8881678371569,229.0,10.0,272.64367279082813,0.2466583549976349,-170.91648864746094,0.7310295701026917,0.2610989212989807,0.2576789855957031,0.7393284440040588
