eval/return,obs_rms_mean,rollout/episode_steps,rollout/return,eval/return_history,total/steps,param_noise_stddev,reference_actor_Q_std,rollout/actions_mean,reference_action_mean,train/loss_critic,reference_perturbed_action_mean,rollout/episodes,eval/episodes,rollout/return_history,ret_rms_std,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,obs_rms_std,reference_Q_mean,ret_rms_mean,train/loss_actor,reference_perturbed_action_std,reference_Q_std,total/episodes,rollout/Q_mean,eval/Q,reference_action_std,total/steps_per_second,total/epochs,total/duration
-440.1960838527043,0.027914516627788544,1000.0,-229.48285331932706,-440.1960838527043,1000,0.16720346283821505,0.7552765607833862,0.30741578340530396,0.2927643954753876,0.031025594100356102,0.02998264692723751,1.0,1.0,-229.48285331932706,1.0,0.6812734603881836,0.528922975063324,0.8044999241828918,1.5993680953979492,0.17977605760097504,0.0,-0.6649834513664246,0.8116000294685364,0.8284148573875427,1.0,0.12520478665828705,-0.48903194069862366,0.8188377022743225,86.4372904578293,1,11.569080829620361
-494.4951761595257,0.0514785535633564,1000.0,-294.272514797012,-467.345630006115,2000,0.1370306733903066,1.1020052433013916,0.1317613124847412,0.2113923281431198,0.036858901381492615,0.223122239112854,2.0,2.0,-294.272514797012,1.0,2.429778575897217,0.690727710723877,0.2464921474456787,1.2188653945922852,1.931421160697937,0.0,-0.14628708362579346,0.6884364485740662,1.2676445245742798,2.0,-0.7069726586341858,-2.1725449562072754,0.8017697930335999,87.40674502347505,2,22.881529331207275
-631.407377148384,0.06740302592515945,1000.0,-320.41069613534296,-522.0328790535381,3000,0.11230273064362171,0.9372579455375671,0.1660640984773636,-0.03283276781439781,0.04804769158363342,0.07510427385568619,3.0,3.0,-320.41069613534296,1.0,4.0400543212890625,0.6922400593757629,0.4006415903568268,1.1068260669708252,3.519806385040283,0.0,-0.2314182072877884,0.7219051122665405,1.1401073932647705,3.0,-1.0533570051193237,2.4568610191345215,0.6912506222724915,87.90919446969541,3,34.12612318992615
-363.6111700795138,0.04610219597816467,1000.0,-429.0609682859224,-482.427451810032,4000,0.09203708190275892,1.0377062559127808,0.1357978731393814,0.20629656314849854,0.04868946224451065,0.32423916459083557,4.0,4.0,-429.0609682859224,1.0,4.783067226409912,0.7120158076286316,0.39265450835227966,1.192921757698059,4.445245265960693,0.0,-1.4961154460906982,0.6705496311187744,1.1414761543273926,4.0,-0.3906283378601074,3.6313090324401855,0.6542824506759644,88.27453693650934,4,45.31318020820618
-377.68135371960216,0.045110467821359634,1000.0,-438.2120531210621,-461.47823219194595,5000,0.07694459401832851,1.5723118782043457,0.17001496255397797,0.4093192517757416,0.0701141357421875,0.1948234587907791,5.0,5.0,-438.2120531210621,1.0,5.313989639282227,0.7417365908622742,0.19277776777744293,1.091529369354248,4.980457305908203,0.0,-1.6765731573104858,0.6490902900695801,1.7006105184555054,5.0,0.22593443095684052,2.6275336742401123,0.5810823440551758,88.52044353876956,5,56.48412728309631
-525.025156711685,0.048282165080308914,1000.0,-414.6195644223074,-472.0693862785691,6000,0.06305951655006926,2.019939422607422,0.20130158960819244,0.25666922330856323,0.12407373636960983,0.2764137387275696,6.0,6.0,-414.6195644223074,1.0,6.523484230041504,0.7359427809715271,0.3312228322029114,1.0694278478622437,6.082656383514404,0.0,-2.1098008155822754,0.7261359691619873,2.1432950496673584,6.0,0.6946744918823242,0.6275009512901306,0.7193478941917419,88.7078770875701,6,67.6377363204956
-435.7510860066159,0.059158310294151306,1000.0,-419.3322620948067,-466.88105766829005,7000,0.051680078090752424,2.0265276432037354,0.23592838644981384,0.1315181702375412,0.17058207094669342,0.09780210256576538,7.0,7.0,-419.3322620948067,1.0,7.841670513153076,0.7384985685348511,0.21837256848812103,1.0917667150497437,7.269896984100342,0.0,-3.7541658878326416,0.7840945720672607,2.189539909362793,7.0,0.6821306943893433,-1.0987051725387573,0.8191434144973755,88.77799375121157,7,78.84836888313293
-385.773758974961,0.060568951070308685,1000.0,-370.3024659171665,-456.742645331624,8000,0.04235412222587577,1.6210910081863403,0.2291332334280014,0.0032121140975505114,0.10221371799707413,-0.07928141206502914,8.0,8.0,-370.3024659171665,1.0,9.041421890258789,0.7365803718566895,0.2714700698852539,1.0836400985717773,8.577537536621094,0.0,-4.8693623542785645,0.8571996688842773,1.697124719619751,8.0,1.5623879432678223,0.2860736846923828,0.8453164100646973,88.85263838771859,8,90.03671860694885
-405.70083700068454,0.059525784105062485,1000.0,-317.569352306456,-451.07133329485293,9000,0.039113321278561465,1.3470370769500732,0.22116973996162415,-0.059666674584150314,0.09645311534404755,-0.031792860478162766,9.0,9.0,-317.569352306456,1.0,10.122834205627441,0.7351092100143433,0.20855794847011566,1.160291075706482,9.59047794342041,0.0,-6.061215877532959,0.8785554766654968,1.506820797920227,9.0,2.4696788787841797,0.6249980330467224,0.88779616355896,88.80242058615272,9,101.34858870506287
-391.0827768218902,0.05939958244562149,1000.0,-310.1182888992558,-445.07247764755664,10000,0.039899499036260555,1.3111274242401123,0.21710163354873657,0.08302399516105652,0.23480498790740967,0.09833696484565735,10.0,10.0,-310.1182888992558,1.0,11.211801528930664,0.7426359057426453,0.2168622612953186,1.1545889377593994,10.547372817993164,0.0,-7.183229923248291,0.8093637824058533,1.459898829460144,10.0,3.211050510406494,6.779003143310547,0.8336651921272278,88.86910471603817,10,112.5250449180603
