rollout/return,reference_perturbed_action_std,eval/return_history,reference_perturbed_action_mean,rollout/episode_steps,reference_Q_std,obs_rms_std,reference_actor_Q_std,eval/Q,rollout/actions_std,total/steps,ret_rms_mean,total/duration,eval/episodes,ret_rms_std,rollout/Q_mean,rollout/return_history,train/loss_critic,reference_action_std,reference_actor_Q_mean,eval/return,total/epochs,rollout/episodes,train/param_noise_distance,total/episodes,total/steps_per_second,rollout/actions_mean,reference_Q_mean,param_noise_stddev,train/loss_actor,reference_action_mean,obs_rms_mean
105.06038060395578,0.7562454342842102,72.9217194791942,0.20638054609298706,22.08888888888889,3.3896541595458984,8.283684730529785,2.6494905948638916,18.619646072387695,0.7474666237831116,1000,0.0,11.105668783187866,1.0,1.0,9.065996170043945,105.06038060395578,1.768523097038269,0.6142544150352478,19.267141342163086,72.9217194791942,1,45.0,0.6843842267990112,45.0,90.04410445896185,0.044335972517728806,18.87774085998535,0.16720346283821505,-18.836162567138672,0.08098802715539932,0.8803459405899048
93.92559740740715,0.79588782787323,67.7939505716817,0.07045359909534454,19.95,10.058116912841797,9.110852241516113,8.635065078735352,33.796451568603516,0.7516389489173889,2000,0.0,22.12447452545166,2.0,1.0,18.023733139038086,93.92559740740715,4.705408096313477,0.6634177565574646,38.54771041870117,62.66618166416922,2,100.0,0.8379173874855042,100.0,90.39762719332522,0.05298455432057381,37.616859436035156,0.1370306733903066,-37.101524353027344,0.03129502385854721,0.7287954688072205
94.06976495334574,0.7003228068351746,83.61036384890775,0.15448147058486938,20.2027027027027,16.8382625579834,9.427023887634277,15.442413330078125,57.488059997558594,0.7495169639587402,3000,0.0,33.20774483680725,3.0,1.0,26.91089630126953,89.95153228496457,6.81257438659668,0.6483964920043945,57.05219268798828,115.24319040335983,3,148.0,0.7368884086608887,148.0,90.34037134237491,0.060893069952726364,55.48280334472656,0.11230273064362171,-53.53179168701172,0.1851438283920288,0.7236651182174683
102.73536233819001,0.7805117964744568,133.5999242576899,0.07884262502193451,21.994475138121548,26.69301986694336,9.145781517028809,25.240991592407227,87.38615417480469,0.7436197400093079,4000,0.0,44.47772812843323,4.0,1.0,35.710365295410156,106.1487886480278,10.317754745483398,0.6818565726280212,73.18811798095703,283.5686054840364,4,181.0,0.6858335137367249,181.0,89.93265097645408,0.08772283792495728,70.64942169189453,0.09203708190275892,-68.88208770751953,0.16632455587387085,0.8618279099464417
115.72801343883013,0.7314744591712952,150.09612732114638,0.25763410329818726,24.601990049751244,35.60977554321289,8.824539184570312,33.60464859008789,107.72667694091797,0.7388904094696045,5000,0.0,55.706955432891846,5.0,1.0,46.07298278808594,138.02248693373204,14.55634880065918,0.7158312797546387,89.3599624633789,216.08093957497232,5,201.0,0.5537784099578857,201.0,89.75539878540516,0.10865175724029541,85.25016784667969,0.07542848153938683,-88.79316711425781,0.206642746925354,1.060441493988037
125.97726284078378,0.6793261766433716,165.6459736454211,0.40878990292549133,26.660714285714285,42.27425003051758,8.655007362365723,38.46418380737305,116.41799926757812,0.7348030805587769,6000,0.0,67.0830659866333,6.0,1.0,56.158443450927734,169.0402810167964,17.157316207885742,0.7003473043441772,109.68161010742188,243.39520526679476,6,224.0,0.5012861490249634,224.0,89.44135023875528,0.13249652087688446,103.7566909790039,0.06181699495154324,-106.97236633300781,0.3140905797481537,1.2189902067184448
137.19517193640846,0.7174400687217712,177.7706767612033,0.2627345323562622,28.6900826446281,48.048030853271484,8.440821647644043,44.67930221557617,133.4609832763672,0.7353261709213257,7000,0.0,78.42139005661011,7.0,1.0,65.51878356933594,198.96217469693315,18.223949432373047,0.7018826007843018,127.18156433105469,250.51889545589643,7,242.0,0.44985431432724,242.0,89.26136089843479,0.1676953136920929,120.42868041992188,0.05066177638540577,-124.98213195800781,0.2626088261604309,1.3738003969192505
148.67531876779736,0.7110206484794617,186.4412216911225,0.1957072615623474,30.77992277992278,58.5804557800293,8.217284202575684,55.42892074584961,149.4520721435547,0.7327834963798523,8000,0.0,89.77708196640015,8.0,1.0,74.72431182861328,230.24233187901103,21.002668380737305,0.7389613389968872,141.55982971191406,247.1350362005569,8,259.0,0.435019314289093,259.0,89.1096015238507,0.19295471906661987,134.13064575195312,0.04151957869412388,-141.79827880859375,0.20447121560573578,1.488611102104187
158.20110465273214,0.7495031356811523,194.34783816269046,0.2717708945274353,32.58181818181818,67.73937225341797,8.070995330810547,64.87626647949219,157.74029541015625,0.732269823551178,9000,0.0,101.10384106636047,9.0,1.0,83.92151641845703,257.4603221938823,25.26449203491211,0.7604820132255554,156.3177490234375,257.6007699352342,9,275.0,0.2858922481536865,275.0,89.01738949851335,0.20324639976024628,147.52035522460938,0.034027141129503384,-156.54360961914062,0.22821900248527527,1.557248830795288
166.05763268461183,0.7625417709350586,198.32755870382832,0.249946728348732,33.925170068027214,75.1941909790039,7.975401401519775,69.8751220703125,158.42384338378906,0.7354000210762024,10000,0.0,112.43501710891724,10.0,1.0,91.80133819580078,270.6009921996133,34.17939758300781,0.7521827816963196,172.77789306640625,234.14504357406895,10,294.0,0.25975513458251953,294.0,88.94026307047093,0.2121197134256363,161.44790649414062,0.027886755354071244,-172.25418090820312,0.25227510929107666,1.6329054832458496
