eval/episodes,obs_rms_std,eval/return_history,rollout/episodes,total/steps,rollout/actions_mean,reference_action_std,eval/return,rollout/Q_mean,param_noise_stddev,reference_perturbed_action_std,total/episodes,reference_Q_mean,reference_actor_Q_mean,train/loss_critic,rollout/return,obs_rms_mean,train/loss_actor,ret_rms_mean,total/epochs,reference_action_mean,reference_perturbed_action_mean,rollout/episode_steps,total/steps_per_second,ret_rms_std,total/duration,reference_actor_Q_std,train/param_noise_distance,rollout/actions_std,eval/Q,reference_Q_std,rollout/return_history
1.0,2.1943717002868652,-494.4166524561484,1.0,1000,0.20473738014698029,0.7256863713264465,-494.4166524561484,-0.3411494195461273,0.16720346283821505,0.7028139233589172,1.0,-0.7453224658966064,-0.26090025901794434,0.13995341956615448,-520.7771557305864,0.053570810705423355,0.3805985152721405,0.0,1,0.5247231125831604,0.40820321440696716,1000.0,79.70432257623402,1.0,12.54637098312378,1.3657547235488892,0.8687072396278381,0.6757504940032959,-0.25770634412765503,1.5152493715286255,-520.7771557305864
2.0,1.9290443658828735,-472.41883870948254,2.0,2000,0.289421021938324,0.7488022446632385,-450.42102496281666,-0.5455358624458313,0.1370306733903066,0.7801757454872131,2.0,-0.17664261162281036,0.4918064475059509,0.12240897864103317,-538.4872038630515,0.06727378815412521,-0.30370327830314636,0.0,2,0.21585607528686523,0.11738430708646774,1000.0,81.24541157227561,1.0,24.616774797439575,1.694580316543579,0.5247570872306824,0.6778210401535034,2.000891923904419,1.9392191171646118,-538.4872038630515
3.0,1.6667732000350952,-455.7744718897396,3.0,3000,0.23562264442443848,0.7795944213867188,-422.4857382502537,0.38113802671432495,0.11230273064362171,0.7630340456962585,3.0,0.5366896390914917,1.1951067447662354,0.07122473418712616,-469.94859441364065,0.06536263227462769,-1.3112530708312988,0.0,3,0.1813776046037674,0.08546576648950577,1000.0,82.04957690115654,1.0,36.5632598400116,1.5841093063354492,0.7071872353553772,0.7215924859046936,2.3515779972076416,1.8877861499786377,-469.94859441364065
4.0,1.740247368812561,-409.5435539375692,4.0,4000,0.23747892677783966,0.790207028388977,-270.85080008105786,0.6874028444290161,0.09203708190275892,0.7953841686248779,4.0,0.9598778486251831,1.4603838920593262,0.09073462337255478,-489.3863724013936,0.08632957190275192,-1.4245359897613525,0.0,4,-0.09623052924871445,0.06730017811059952,1000.0,81.96310346762534,1.0,48.8024468421936,1.329237937927246,0.5038359761238098,0.7287656664848328,1.8133214712142944,1.6508605480194092,-489.3863724013936
5.0,1.685177206993103,-423.70889666420624,5.0,5000,0.20393045246601105,0.7445701360702515,-480.37026757075444,0.9038275480270386,0.07542848153938683,0.6591212153434753,5.0,1.1357921361923218,1.7324426174163818,0.15690799057483673,-443.70846673672105,0.08422117680311203,-2.020890235900879,0.0,5,-0.011086921207606792,-0.01085837185382843,1000.0,81.46022544124538,1.0,61.37964844703674,1.685715913772583,0.5466739535331726,0.7278053164482117,3.429624557495117,1.9059648513793945,-443.70846673672105
6.0,1.607541799545288,-431.7640427519115,6.0,6000,0.2064993530511856,0.7472512722015381,-472.0397731904378,1.1549205780029297,0.06181699495154324,0.7054095268249512,6.0,1.9495233297348022,2.676276683807373,0.2299334853887558,-434.0422577385823,0.10064882785081863,-3.3552627563476562,0.0,6,0.09320025891065598,0.20843935012817383,1000.0,81.80875633596037,1.0,73.34178233146667,2.2206459045410156,0.3531706631183624,0.7372872829437256,2.884340286254883,2.4410948753356934,-434.0422577385823
7.0,1.537407636642456,-441.6513868747864,7.0,7000,0.18144072592258453,0.7305632829666138,-500.97545161203544,1.8408763408660889,0.05066177638540577,0.71321040391922,7.0,2.8766212463378906,3.692195177078247,0.20065075159072876,-418.97571715429467,0.0946560800075531,-4.324213027954102,0.0,7,0.07564785331487656,0.1355452835559845,1000.0,81.8040687528103,1.0,85.57031583786011,2.2358574867248535,0.38889265060424805,0.7404959201812744,2.127107620239258,2.405024290084839,-418.97571715429467
8.0,1.5437383651733398,-425.11347422789464,8.0,8000,0.16382603347301483,0.757232129573822,-309.3480856996527,2.5491347312927246,0.04151957869412388,0.7838834524154663,8.0,4.536977291107178,5.300592422485352,0.19741488993167877,-374.98828609097575,0.09800180792808533,-5.845552921295166,0.0,8,0.1236959770321846,0.08477932214736938,1000.0,82.03779694300846,1.0,97.51602673530579,2.1370279788970947,0.26163509488105774,0.7474470138549805,4.896107196807861,2.310506582260132,-374.98828609097575
9.0,1.4849746227264404,-394.818290224893,9.0,9000,0.18312165141105652,0.7439244389533997,-152.45681820088004,2.4470274448394775,0.03612049597631193,0.720670223236084,9.0,5.696245193481445,6.5332136154174805,0.22683273255825043,-387.9620653780295,0.11347754299640656,-6.159264087677002,0.0,9,0.1271493285894394,0.10810303688049316,1000.0,81.74499404395775,1.0,110.09848499298096,2.3410754203796387,0.2854519188404083,0.7628527879714966,7.2095513343811035,2.3114237785339355,-387.9620653780295
10.0,1.5206881761550903,-388.35111788904857,10.0,10000,0.1687801033258438,0.7096531987190247,-330.14656686644827,2.9994490146636963,0.03335667202186392,0.7179831862449646,10.0,6.999880790710449,7.64005184173584,0.19941622018814087,-359.949121547619,0.11231397837400436,-6.693353176116943,0.0,10,0.13201023638248444,0.19388531148433685,1000.0,81.76257191670523,1.0,122.3053503036499,2.819016456604004,0.20821283757686615,0.7570057511329651,6.291872024536133,2.7117929458618164,-359.949121547619
11.0,1.5096298456192017,-355.24662675610386,11.0,11000,0.14736346900463104,0.6927486062049866,-24.20171542665697,3.4037768840789795,0.029602352743226958,0.6993871927261353,11.0,7.82344913482666,8.573209762573242,0.18765050172805786,-352.1421736432384,0.10972660779953003,-7.179704189300537,0.0,11,0.10530539602041245,0.10392358899116516,1000.0,81.953068616137,1.0,134.22316193580627,3.4302539825439453,0.24153995513916016,0.7550725936889648,9.979801177978516,3.3493435382843018,-352.1421736432384
