rollout/Q_mean,reference_perturbed_action_mean,rollout/actions_mean,reference_action_std,rollout/episodes,reference_Q_std,param_noise_stddev,reference_actor_Q_mean,total/episodes,reference_Q_mean,obs_rms_mean,reference_actor_Q_std,eval/Q,rollout/episode_steps,ret_rms_mean,ret_rms_std,total/epochs,eval/return_history,total/steps_per_second,rollout/actions_std,total/duration,train/param_noise_distance,rollout/return_history,train/loss_critic,reference_perturbed_action_std,train/loss_actor,total/steps,reference_action_mean,obs_rms_std,eval/return,rollout/return,eval/episodes
2.66865873336792,-0.11363569647073746,-0.029101921245455742,0.833283007144928,1.0,2.2278330326080322,0.13978498992545177,5.978608131408691,1.0,5.4682512283325195,0.1000208780169487,1.9836465120315552,6.8509016036987305,1000.0,0.0,1.0,1,-482.5674473972488,28.81618705425701,0.5664123296737671,34.702717542648315,0.6797781735658646,-41.73201433949986,0.09380462020635605,0.8280376195907593,-5.778482437133789,1000,-0.2702791690826416,1.8881357908248901,-482.5674473972488,-41.73201433949986,1.0
5.584096908569336,-0.12079315632581711,-0.10074733197689056,0.6947615742683411,2.0,1.3927361965179443,0.09388702724900437,11.606338500976562,2.0,11.173808097839355,0.07516881823539734,1.1513313055038452,12.91928482055664,1000.0,0.0,1.0,2,-651.2165291900403,29.357563910368068,0.691681981086731,68.12554359436035,0.5284384787082672,-183.88134229782213,0.06830158084630966,0.7452585101127625,-11.524853706359863,2000,-0.28682395815849304,1.5924999713897705,-819.8656109828319,-183.88134229782213,2.0
8.550957679748535,0.07520688325166702,-0.15637923777103424,0.6468212604522705,3.0,2.2166478633880615,0.06305951655006926,16.184722900390625,3.0,15.811380386352539,0.02571842260658741,2.0606653690338135,15.118213653564453,1000.0,0.0,1.0,3,-499.8425654600175,29.442847070358667,0.7077779173851013,101.89232015609741,0.37003493309020996,-292.7826398397124,0.23643876612186432,0.66953045129776,-16.304397583007812,3000,-0.008968922309577465,1.717491626739502,-197.09463799997195,-292.7826398397124,3.0
10.867502212524414,-0.025455569848418236,-0.08906897157430649,0.6361780762672424,4.0,2.305877685546875,0.04235412222587577,22.23804473876953,4.0,21.710678100585938,0.05283455550670624,1.9620205163955688,18.72620964050293,1000.0,0.0,1.0,4,-433.30761668359514,29.391197552497534,0.6905354857444763,136.0951690673828,0.34367160499095917,-257.9999367456362,0.3080531060695648,0.5914357900619507,-21.802343368530273,4000,-0.03911170735955238,1.7274401187896729,-233.702770354328,-257.9999367456362,4.0
13.510095596313477,-0.1571570187807083,-0.08854325115680695,0.5478795170783997,5.0,2.669926404953003,0.028447279136688076,28.551002502441406,5.0,28.021583557128906,0.06816688179969788,2.336376428604126,28.640106201171875,1000.0,0.0,1.0,5,-461.7409787593826,28.912776721765862,0.687824010848999,172.93392634391785,0.24909953027963638,-253.54668481483026,0.5082672238349915,0.5482810139656067,-28.426664352416992,5000,-0.17987994849681854,1.6478171348571777,-575.4744270625326,-253.54668481483026,5.0
16.41042137145996,-0.15616008639335632,-0.09694191813468933,0.5220666527748108,6.0,2.6892716884613037,0.02575295069895359,33.391387939453125,6.0,32.88550567626953,0.05142906308174133,2.4150593280792236,33.623451232910156,1000.0,0.0,1.0,6,-374.9000506789143,28.83267698625632,0.6727690100669861,208.09722256660461,0.21796075999736786,-249.48562968563508,0.7159541845321655,0.5245270729064941,-32.927154541015625,6000,-0.1605558544397354,1.6996188163757324,59.304589723427455,-249.48562968563508,6.0
19.191213607788086,-0.28060173988342285,-0.08240731060504913,0.5195450782775879,7.0,2.93825364112854,0.02575295069895359,37.6073112487793,7.0,37.10930633544922,0.05324927717447281,2.098944902420044,37.204586029052734,1000.0,0.0,1.0,7,-329.42279396826,28.715422626432023,0.6550158262252808,243.77144265174866,0.19817762076854706,-203.2628358350698,0.5947260856628418,0.5366504192352295,-37.296390533447266,7000,-0.3208025097846985,1.7790931463241577,-56.55925370433439,-203.2628358350698,7.0
21.75331687927246,-0.3566000461578369,-0.07426881790161133,0.49335527420043945,8.0,2.9775021076202393,0.02426044449968572,42.05357360839844,8.0,41.5108757019043,0.04974614828824997,2.453972816467285,40.228248596191406,1000.0,0.0,1.0,8,-314.6956691561496,28.776253937207898,0.6483216881752014,278.0069990158081,0.2029995396733284,-182.78300648985993,1.483200192451477,0.4931779205799103,-41.68284606933594,8000,-0.26238998770713806,1.8545860052108765,-211.60579547137672,-182.78300648985993,8.0
24.250110626220703,-0.11464659124612808,-0.08088931441307068,0.634685754776001,9.0,2.422626495361328,0.026270585008002556,48.81370544433594,9.0,48.0247917175293,0.050537675619125366,1.512174367904663,45.99992370605469,1000.0,0.0,1.0,9,-322.0788525380433,28.855000971028137,0.6503345966339111,311.9043388366699,0.21558432281017303,-162.24122672718616,1.7650288343429565,0.621612548828125,-48.620548248291016,9000,-0.1588926762342453,1.8466651439666748,-381.14431959319273,-162.24122672718616,9.0
26.5041561126709,-0.0238559041172266,-0.12281478941440582,0.6414417028427124,10.0,3.302243232727051,0.026798623766663407,56.41571044921875,10.0,55.567237854003906,0.05137960612773895,2.605137825012207,53.11875534057617,1000.0,0.0,1.0,10,-324.916544963581,28.937351335042607,0.6646071672439575,345.5741295814514,0.20025554299354553,-185.71558999250527,2.055717706680298,0.6619886159896851,-55.63181686401367,10000,-0.049070220440626144,1.781911849975586,-350.45577679341966,-185.71558999250527,10.0
