eval/return_history,total/steps,total/steps_per_second,param_noise_stddev,eval/return,total/episodes,ret_rms_mean,obs_rms_std,reference_perturbed_action_mean,reference_Q_mean,train/loss_actor,reference_action_std,total/epochs,total/duration,rollout/return,rollout/episode_steps,reference_Q_std,reference_perturbed_action_std,train/loss_critic,rollout/actions_std,ret_rms_std,rollout/return_history,rollout/episodes,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,eval/episodes,reference_action_mean,reference_actor_Q_mean,obs_rms_mean,eval/Q,rollout/Q_mean
-662.8585574367047,1000,29.752175179289793,0.13978498992545177,-662.8585574367047,1.0,0.0,2.1866917610168457,0.018838822841644287,1.2630997896194458,-1.9826754331588745,0.8354924321174622,1,33.61098790168762,-459.85883704693885,1000.0,2.3428709506988525,0.849955141544342,0.0881706178188324,0.5923993587493896,1.0,-459.85883704693885,1.0,1.907794713973999,-0.005637812428176403,0.5907976627349854,1.0,0.27554452419281006,2.259591579437256,-0.010379815474152565,2.9858367443084717,-0.591421902179718
-258.67943428886167,2000,29.909219867451505,0.09388702724900437,145.49968885898141,2.0,0.0,1.826099157333374,0.14114607870578766,8.311490058898926,-10.482583045959473,0.7710186243057251,2,66.86901259422302,-304.7836620372731,1000.0,2.872745990753174,0.770010769367218,0.10050283372402191,0.7273823022842407,1.0,-304.7836620372731,2.0,2.5879151821136475,-0.03267586603760719,0.5859168469905853,2.0,0.11013250797986984,9.325780868530273,-0.011161192320287228,12.511601448059082,3.505385160446167
-90.9607483030591,3000,29.940163416615366,0.06305951655006926,244.47662366854607,3.0,0.0,1.6960173845291138,0.2632708251476288,15.8418607711792,-17.41736602783203,0.6744301915168762,3,100.19985389709473,-303.59185393122743,1000.0,2.742521286010742,0.6198408603668213,0.23980052769184113,0.7218860983848572,1.0,-303.59185393122743,3.0,2.437068223953247,0.033014606684446335,0.531876802444458,3.0,0.1899743527173996,16.616989135742188,-0.0015444597229361534,19.74715232849121,6.612771987915039
-126.77811632665801,4000,29.791288228183593,0.04235412222587577,-234.23022039745473,4.0,0.0,1.7586158514022827,0.33290985226631165,22.051490783691406,-24.152816772460938,0.6296825408935547,4,134.26743984222412,-285.29926649221693,1000.0,3.074019432067871,0.6544020771980286,0.7241445183753967,0.6991596221923828,1.0,-285.29926649221693,4.0,2.8945741653442383,0.09230425953865051,0.35637301206588745,4.0,0.22129206359386444,22.9945068359375,0.011528624221682549,23.780471801757812,9.803321838378906
-165.84132665554404,5000,29.715519124806413,0.02901906944733551,-322.09416797108815,5.0,0.0,1.6052519083023071,0.25511693954467773,30.77733039855957,-31.2618408203125,0.6287099719047546,5,168.26224637031555,-284.0667565294353,1000.0,2.5254037380218506,0.6793244481086731,0.7831864953041077,0.6958829760551453,1.0,-284.0667565294353,5.0,2.3888707160949707,0.0955214649438858,0.22150563448667526,5.0,0.32769206166267395,31.641494750976562,0.02519025281071663,29.541168212890625,12.703418731689453
-147.1161637419278,6000,29.666560709095503,0.029602352743226954,-53.49034917384678,6.0,0.0,1.4896965026855469,0.2930130064487457,36.58282470703125,-34.2596321105957,0.666010856628418,6,202.2479133605957,-292.4905400862749,1000.0,2.514286518096924,0.6534909009933472,0.8178852796554565,0.711371123790741,1.0,-292.4905400862749,6.0,2.4598894119262695,0.0201956108212471,0.17079952359199524,6.0,0.2843969166278839,37.45219421386719,0.02461724914610386,38.094886779785156,15.106645584106445
-145.28444649929259,7000,29.683937247977294,0.026798623766663407,-134.29414304348117,7.0,0.0,1.4781266450881958,0.2905082702636719,43.611106872558594,-41.895904541015625,0.5876906514167786,7,235.81777381896973,-281.9031894871811,1000.0,2.951807737350464,0.5552390813827515,1.2242792844772339,0.7167933583259583,1.0,-281.9031894871811,7.0,2.8036162853240967,0.07818110287189484,0.2226381078362465,7.0,0.14800925552845,44.55221176147461,0.036371901631355286,46.05868911743164,18.48697853088379
-72.07976525115347,8000,29.72565034379052,0.024748079434129402,440.3530034858203,8.0,0.0,1.4515103101730347,0.2968311011791229,48.3806266784668,-48.9732780456543,0.6250479817390442,8,269.12783765792847,-245.84912053010197,1000.0,2.4252641201019287,0.6443845629692078,2.361156702041626,0.6866925358772278,1.0,-245.84912053010197,8.0,2.2323057651519775,0.07450404763221741,0.19285579770803452,8.0,0.29616132378578186,49.24261474609375,0.03113628551363945,52.840362548828125,22.29438591003418
-73.1591235539484,9000,29.75532256281654,0.02426044449968572,-81.79398997630784,9.0,0.0,1.4742374420166016,0.3962366282939911,51.52124786376953,-52.30607986450195,0.6687318682670593,9,302.4668941497803,-202.07868251526918,1000.0,1.9224445819854736,0.6568513512611389,2.2766058444976807,0.6737138032913208,1.0,-202.07868251526918,9.0,1.7617908716201782,0.09091648459434509,0.19056635349988937,9.0,0.3404795825481415,52.323184967041016,0.033652324229478836,52.22593688964844,25.68202018737793
-39.200835342811615,10000,29.78640370160242,0.023313810312614227,266.42375855741943,10.0,0.0,1.5263237953186035,0.25939345359802246,54.90447998046875,-55.640052795410156,0.6801642179489136,10,335.7236442565918,-158.14698556143864,1000.0,2.9764821529388428,0.6792799234390259,2.0325958728790283,0.6607391834259033,1.0,-158.14698556143864,10.0,2.8331246376037598,0.11153456568717957,0.1689595729112625,10.0,0.17285990715026855,55.81988525390625,0.03611963614821434,58.87689208984375,28.86733055114746
