eval/return,eval/Q,obs_rms_std,reference_action_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,total/steps,train/loss_actor,reference_perturbed_action_mean,total/duration,rollout/episode_steps,reference_perturbed_action_std,reference_action_mean,ret_rms_std,rollout/return,rollout/actions_mean,train/param_noise_distance,rollout/episodes,ret_rms_mean,eval/episodes,train/loss_critic,total/steps_per_second,total/episodes,reference_Q_std,reference_Q_mean,obs_rms_mean,reference_actor_Q_std,total/epochs,rollout/actions_std,param_noise_stddev,eval/return_history
-1181.5857622191752,-2.4805610179901123,0.11864607781171799,0.7232150435447693,-1.7317514419555664,-835.3250761736538,-2.376742124557495,1000,2.37977933883667,-0.6450837850570679,15.828011989593506,1000.0,0.4018554091453552,-0.1705024540424347,1.0,-835.3250761736538,-0.2920878529548645,0.13109029829502106,1.0,0.0,1.0,0.008944235742092133,63.17912828581841,1.0,0.17942243814468384,-3.091035842895508,0.038507040590047836,0.26069679856300354,1,0.6109952330589294,0.17399259391533256,-1181.5857622191752
-956.887371918809,-9.566240310668945,0.16959793865680695,0.19361576437950134,-4.160719871520996,-1003.3051572911143,-5.809008598327637,2000,7.518031597137451,-0.5611283183097839,30.987318754196167,1000.0,0.40939074754714966,-0.6858752965927124,1.0,-1003.3051572911143,-0.44375550746917725,0.14571012556552887,2.0,0.0,2.0,0.05004473775625229,64.54253160348598,2.0,0.29954662919044495,-6.376221656799316,0.019635993987321854,0.5704056620597839,2,0.5505533814430237,0.1454608210542347,-1069.2365670689921
-1376.1046191961811,-5.818875789642334,0.2265852987766266,0.7536073327064514,-5.297469139099121,-969.6943620727835,-5.10816764831543,3000,5.849550247192383,-0.34818780422210693,44.02590036392212,1000.0,0.5501891374588013,-0.3183988928794861,1.0,-969.6943620727835,-0.49810171127319336,0.634250283241272,3.0,0.0,3.0,0.12389244884252548,68.14170693164083,3.0,0.11054927855730057,-5.771055221557617,0.010512285865843296,0.20083540678024292,3,0.49453479051589966,0.11921161154572088,-1171.5259177780551
-67.2978089627737,-7.336122512817383,0.21790041029453278,0.8118312954902649,-6.410707473754883,-925.0177061616824,-5.948329448699951,4000,7.902005672454834,-0.11384829878807068,54.00184369087219,1000.0,0.7747247815132141,-0.19893276691436768,1.0,-925.0177061616824,-0.4609296917915344,0.757405698299408,4.0,0.0,4.0,0.05713304504752159,74.07154509200787,4.0,0.09027648717164993,-6.681947708129883,0.015159623697400093,0.1255301535129547,4,0.5183667540550232,0.09769921704229322,-895.4688905742347
-2049.271309170359,-16.533767700195312,0.26574039459228516,0.901292085647583,-7.481266975402832,-1014.4782853299736,-7.338498592376709,5000,13.37678337097168,-0.11523692309856415,68.21212601661682,1000.0,0.8569615483283997,-0.0751306414604187,1.0,-1014.4782853299736,-0.3873283565044403,0.8128977417945862,5.0,0.0,5.0,0.31151407957077026,73.30075005699096,5.0,0.17102031409740448,-8.101034164428711,0.012763597071170807,0.2893035113811493,5,0.5929233431816101,0.08006885308329467,-1126.2293742934594
-1527.4738699069917,-22.10479736328125,0.2626858651638031,0.844631552696228,-9.577532768249512,-1132.7630326368355,-11.991292953491211,6000,20.235288619995117,-0.4218977093696594,83.36000394821167,1000.0,0.7448065876960754,-0.2643161416053772,1.0,-1132.7630326368355,-0.35030996799468994,0.6293419003486633,6.0,0.0,6.0,0.6072404384613037,71.9769639613689,6.0,0.4212890863418579,-11.05937671661377,0.017043694853782654,0.5622988939285278,6,0.6385483741760254,0.06561998579066344,-1193.1034568957148
-1929.2262437246402,-25.255361557006836,0.29705706238746643,0.26945221424102783,-11.82559585571289,-900.7189011092539,-20.989238739013672,7000,25.95380210876465,-0.6060935258865356,98.44790387153625,791.375,0.5798161029815674,-0.8106421828269958,1.0,-900.7189011092539,-0.3896898627281189,0.2199954390525818,8.0,0.0,7.0,0.767952024936676,71.10359616324827,8.0,0.2375202476978302,-20.736909866333008,0.013949981890618801,0.42406487464904785,7,0.6371777653694153,0.06432701283272566,-1298.2638550141328
-2717.640843148075,-33.21040725708008,0.29136452078819275,0.6385998725891113,-14.12662124633789,-1048.315857841225,-17.483715057373047,8000,29.04730796813965,-0.7358362674713135,113.67532968521118,814.5555555555555,0.4638166129589081,-0.7256485223770142,1.0,-1048.315857841225,-0.4273376762866974,0.290365993976593,9.0,0.0,8.0,1.161790132522583,70.37586802830074,9.0,0.8847687840461731,-19.35960578918457,0.014324544928967953,0.9609018564224243,8,0.6296719312667847,0.05940491710342653,-1475.6859785308757
-1845.3417772706748,-35.987640380859375,0.28183943033218384,0.6762651801109314,-16.70074462890625,-1123.4446990371866,-10.919625282287598,9000,32.46867752075195,-0.6950227618217468,127.90584468841553,833.1,0.5754497051239014,-0.5540513396263123,1.0,-1123.4446990371866,-0.45487335324287415,0.5025843381881714,10.0,0.0,9.0,1.1367347240447998,70.36425913080369,10.0,0.5994552969932556,-13.64621639251709,0.016699956730008125,0.6480628848075867,9,0.6268446445465088,0.055962119107954095,-1516.75884505752
-2781.664835949444,-38.77933120727539,0.2876669466495514,0.9813410043716431,-18.84364128112793,-1185.2340803927998,-7.136407375335693,10000,31.25359535217285,-0.0055343955755233765,143.00980877876282,812.6666666666666,0.97818922996521,0.05949363112449646,1.0,-1185.2340803927998,-0.4463352560997009,0.3458726704120636,12.0,0.0,10.0,2.817983388900757,69.92527355567667,12.0,1.0223497152328491,-7.2386016845703125,0.017217455431818962,1.0163469314575195,10,0.6459506750106812,0.045863445263280886,-1643.2494441467122
