eval/return_history,train/param_noise_distance,rollout/actions_mean,reference_perturbed_action_mean,total/epochs,obs_rms_std,obs_rms_mean,ret_rms_std,reference_actor_Q_std,eval/episodes,ret_rms_mean,param_noise_stddev,rollout/return_history,total/duration,eval/Q,total/steps_per_second,rollout/episodes,rollout/return,eval/return,train/loss_actor,reference_perturbed_action_std,reference_Q_std,reference_Q_mean,reference_action_std,rollout/episode_steps,total/episodes,train/loss_critic,total/steps,rollout/Q_mean,reference_action_mean,rollout/actions_std,reference_actor_Q_mean
-290.22343806511145,0.4519144594669342,-0.03707502782344818,0.682682454586029,1,2.134730339050293,-0.00997873954474926,1.0,0.5476036071777344,1.0,0.0,0.16720346283821505,-44.073080435899996,18.996963500976562,3.5158820152282715,52.6399916464857,1.0,-44.073080435899996,-290.22343806511145,-5.428833484649658,0.48497360944747925,0.6159864068031311,5.097846031188965,0.4708839952945709,1000.0,1.0,0.02482554130256176,1000,2.630535125732422,0.5466340184211731,0.6730650067329407,5.564553260803223
-313.14370498332624,0.42862462997436523,0.376100093126297,0.22323296964168549,2,1.74178147315979,0.0759863629937172,1.0,0.38331303000450134,2.0,0.0,0.1370306733903066,-244.30329772898966,37.5719735622406,11.20172119140625,53.23116702099399,2.0,-244.30329772898966,-336.06397190154104,-11.14551067352295,0.7284060120582581,0.8812370896339417,12.630949974060059,0.7889159321784973,1000.0,2.0,0.05261918902397156,2000,3.902381658554077,0.1829555779695511,0.6796025633811951,13.493162155151367
-299.43013541567893,0.4863950312137604,0.25758931040763855,0.363206148147583,3,1.5720759630203247,0.058996494859457016,1.0,0.723075807094574,3.0,0.0,0.11230273064362171,-239.3372874763306,56.09269595146179,14.069965362548828,53.4828991388819,3.0,-239.3372874763306,-272.0029962803843,-14.38586711883545,0.5821121335029602,0.9047436118125916,18.75701904296875,0.5564996600151062,1000.0,3.0,0.14728957414627075,3000,6.402620315551758,0.4236227571964264,0.7280178666114807,19.322006225585938
-279.29698360253144,0.5392177104949951,0.28273144364356995,0.23153798282146454,4,1.5021896362304688,0.07706787437200546,1.0,0.9859806895256042,4.0,0.0,0.09203708190275892,-198.15878757704945,74.61213541030884,17.21369743347168,53.610581951623615,4.0,-198.15878757704945,-218.89752816308902,-17.371166229248047,0.5723422169685364,1.8764524459838867,22.516220092773438,0.5815616250038147,1000.0,4.0,0.27507662773132324,4000,9.014263153076172,0.3993149697780609,0.6819088459014893,22.971811294555664
-312.25243475441533,0.35805413126945496,0.24499475955963135,-0.0023167431354522705,5,1.6967623233795166,0.081051766872406,1.0,0.5835172533988953,5.0,0.0,0.07542848153938683,-224.06710785756053,93.24900794029236,25.290756225585938,53.61987339534503,5.0,-224.06710785756053,-444.0742393619509,-20.861766815185547,0.7965332865715027,0.8478292226791382,25.849788665771484,0.7986505031585693,1000.0,5.0,0.3530862331390381,5000,11.329691886901855,0.0560356080532074,0.6930398941040039,26.368444442749023
-226.63924030406656,0.33690279722213745,0.19817911088466644,0.06998143345117569,6,1.5801478624343872,0.0631253570318222,1.0,0.8647798895835876,6.0,0.0,0.06181699495154324,-258.5948443865677,111.67586398124695,28.977413177490234,53.72691811909817,6.0,-258.5948443865677,201.4267319476774,-24.555858612060547,0.7064136266708374,1.3532006740570068,29.112274169921875,0.7380444407463074,1000.0,6.0,0.5646331310272217,6000,13.474950790405273,0.14016388356685638,0.7305147051811218,29.570886611938477
-192.7288725801518,0.2582149803638458,0.17565850913524628,0.18284356594085693,7,1.7112040519714355,0.05676645040512085,1.0,1.0541439056396484,7.0,0.0,0.05066177638540577,-185.30060425673452,130.08669686317444,31.38210678100586,53.81026783517011,7.0,-185.30060425673452,10.733333763336768,-28.68817138671875,0.7014893889427185,1.2022489309310913,31.75432586669922,0.7066567540168762,1000.0,7.0,0.7643520832061768,7000,15.916712760925293,0.3406318724155426,0.7300129532814026,32.241050720214844
-6.573897733263834,0.2524724304676056,0.15767036378383636,0.12155052274465561,8,1.788622260093689,0.05014960467815399,1.0,1.1889452934265137,8.0,0.0,0.04320544008261588,-141.3149101397472,148.4641661643982,37.66731262207031,53.88505662128189,8.0,-141.3149101397472,1296.510926194952,-32.20897674560547,0.7064834237098694,2.0029006004333496,35.2802619934082,0.7013741731643677,1000.0,8.0,1.0534818172454834,8000,18.105037689208984,0.22465862333774567,0.7305951118469238,35.90229797363281
15.280711937659852,0.202717587351799,0.14614684879779816,0.28378769755363464,9,1.845144271850586,0.04859566688537598,1.0,1.1750376224517822,9.0,0.0,0.037587132956139066,-67.67880747362027,166.91701817512512,39.837345123291016,53.91900777042055,9.0,-67.67880747362027,190.11758930504934,-36.58131408691406,0.6973989605903625,1.6776155233383179,39.150108337402344,0.6928269267082214,1000.0,9.0,1.8521004915237427,9000,20.39698600769043,0.28099194169044495,0.7260822057723999,39.77996826171875
-20.20890542682997,0.2555693984031677,0.14876917004585266,0.15298044681549072,10,1.8831390142440796,0.04841489717364311,1.0,1.4401392936706543,10.0,0.0,0.034027141129503384,-46.41424530384615,185.42702913284302,38.15504837036133,53.929570283067164,10.0,-46.41424530384615,-339.61546170723835,-40.1868782043457,0.7187538743019104,1.6223169565200806,42.43755340576172,0.6810922622680664,1000.0,10.0,1.7966086864471436,10000,22.414220809936523,0.1311417669057846,0.719105064868927,43.080963134765625
