rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,rollout/Q_mean,eval/return,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
11.0,43.56114196777344,50.60780334472656,11.0,11000,11.0,0.38792645931243896,199.09599018096924,0.4217257499694824,1.8407139778137207,0.06702175736427307,0.13159270584583282,1000.0,8.168828964233398,8.65563678741455,-214.08658831756193,-197.49691368440415,11,0.0,7.905526638031006,0.7040620446205139,2.1455156803131104,-24.605182647705078,-239.9231594123761,-197.49691368440415,55.249731498868954,42.617698669433594,0.0,1.0
12.0,47.71002197265625,52.036651611328125,12.0,12000,12.0,0.35987716913223267,217.124897480011,0.44546496868133545,0.8201670050621033,0.09224259108304977,0.13154564797878265,1000.0,6.581340789794922,11.607572555541992,-228.74226458202665,-192.8718410936182,12,0.0,6.483840465545654,0.6923806667327881,2.0839085578918457,-28.249635696411133,-238.99141817651363,-192.8718410936182,55.26772903188013,47.01023864746094,0.0,1.0
13.0,48.402381896972656,56.35418701171875,13.0,13000,13.0,0.40318039059638977,235.04686498641968,0.18698424100875854,1.3077353239059448,0.08911170065402985,0.12116676568984985,1000.0,5.757035732269287,14.903285026550293,288.38364092902833,-196.9392702088546,13,0.0,5.656581878662109,0.6894577145576477,2.0152103900909424,-31.334396362304688,-198.42410593762577,-196.9392702088546,55.30811908829799,47.949363708496094,0.0,1.0
14.0,49.924278259277344,56.73331069946289,14.0,14000,14.0,0.3917143642902374,253.02178692817688,0.11875391751527786,3.003373384475708,0.09228785336017609,0.11483986675739288,1000.0,5.16865348815918,17.82683563232422,57.55249313650366,-171.27982781679478,14,0.0,5.161789894104004,0.672389030456543,1.9649806022644043,-34.560577392578125,-180.14006314661654,-171.27982781679478,55.33120356933555,49.309593200683594,0.0,1.0
15.0,50.13689422607422,57.40715026855469,15.0,15000,15.0,0.40162450075149536,270.97858786582947,0.14517663419246674,1.181492567062378,0.09429258108139038,0.10778039693832397,1000.0,5.402771472930908,20.370859146118164,128.15222011585308,-161.05817199915435,15,0.0,5.453582763671875,0.659053385257721,1.9193249940872192,-38.31064987182617,-159.5872442624519,-161.05817199915435,55.35492718497375,49.73210906982422,0.0,1.0
16.0,51.55577850341797,53.014888763427734,16.0,16000,16.0,0.30277976393699646,289.0424864292145,-0.05430467426776886,1.4174751043319702,0.10143255442380905,0.10505906492471695,1000.0,4.849759578704834,22.38069725036621,-19.21134755874678,-153.1567338685229,16,0.0,4.736395359039307,0.6470291018486023,1.8825961351394653,-41.008113861083984,-150.81375071847035,-153.1567338685229,55.35518393043697,50.9643669128418,0.0,1.0
17.0,54.05474090576172,54.66731262207031,17.0,17000,17.0,0.43671801686286926,307.1526770591736,0.08404245227575302,1.3370050191879272,0.10269518941640854,0.10558758676052094,1000.0,4.396331787109375,24.077268600463867,-29.418143262880836,-141.995260388816,17,0.0,4.4056572914123535,0.6385535001754761,1.8744535446166992,-44.725006103515625,-143.67283263284742,-141.995260388816,55.3470676627862,53.44817352294922,0.0,1.0
18.0,55.85717010498047,58.626792907714844,18.0,18000,18.0,0.34719833731651306,325.1838307380676,-0.08576057106256485,3.442730188369751,0.09352432936429977,0.09887497872114182,1000.0,4.354099273681641,26.225854873657227,127.12537785689373,-134.18086054828817,18,0.0,4.108898162841797,0.6349693536758423,1.8414593935012817,-48.617733001708984,-128.62848760563958,-134.18086054828817,55.35330572601201,55.04723358154297,0.0,1.0
19.0,58.043556213378906,57.71281433105469,19.0,19000,19.0,0.40892139077186584,343.16844940185547,0.0024985570926219225,3.5549488067626953,0.10227985680103302,0.09982972592115402,1000.0,4.0612406730651855,27.814023971557617,4.75481866090711,-135.74117375811053,19,0.0,3.904147148132324,0.6332933902740479,1.806896448135376,-51.525203704833984,-121.60831359161081,-135.74117375811053,55.36639522985609,57.38829040527344,0.0,1.0
20.0,59.00790786743164,67.6052474975586,20.0,20000,20.0,0.4650444984436035,361.3259825706482,-0.08360618352890015,2.870584487915039,0.1058049127459526,0.1004534363746643,1000.0,4.225294589996338,29.305755615234375,236.10425554075323,-134.14323546089446,20,0.0,4.174448013305664,0.6277608871459961,1.7998123168945312,-53.72818374633789,-103.72268513499262,-134.14323546089446,55.35167954906067,58.68046188354492,0.0,1.0
