eval/episodes,ret_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/episode_steps,total/duration,total/steps_per_second,reference_Q_std,rollout/actions_mean,total/epochs,rollout/episodes,rollout/actions_std,total/steps,reference_actor_Q_mean,ret_rms_std,eval/Q,rollout/return_history,rollout/return,train/loss_actor,reference_action_std,reference_action_mean,rollout/Q_mean,reference_Q_mean,obs_rms_mean,eval/return_history,eval/return,train/param_noise_distance,total/episodes,obs_rms_std
11.0,0.0,7.961953639984131,1.8487492799758911,1000.0,199.24531888961792,55.20832339400661,7.902276039123535,-0.11281933635473251,11,11.0,0.6563127040863037,11000,48.249176025390625,1.0,66.72073364257812,-16.878793062734086,-16.878793062734086,-52.629669189453125,0.6397823095321655,-0.04945222660899162,22.94939422607422,47.50242614746094,0.05664779990911484,130.21355700549785,401.5877351206258,0.0,11.0,2.2778000831604004
12.0,0.0,10.236591339111328,3.591183662414551,1000.0,217.36745166778564,55.206057337141004,10.198371887207031,-0.11915735900402069,12,12.0,0.6513276696205139,12000,50.7443733215332,1.0,76.99886322021484,11.482123837156314,11.482123837156314,-58.77494812011719,0.625991940498352,0.016278386116027832,26.91521644592285,49.723663330078125,0.0511116199195385,177.39626262105023,696.4060243921264,0.0,12.0,2.2526161670684814
13.0,0.0,11.12152099609375,3.924201250076294,1000.0,235.45649600028992,55.211897827546,11.260380744934082,-0.1256236732006073,13,13.0,0.6392461061477661,13000,53.8240966796875,1.0,79.76567840576172,34.22768515793921,34.22768515793921,-64.94754791259766,0.6952514052391052,0.16289640963077545,30.965801239013672,52.66118621826172,0.044628601521253586,207.10002442762897,563.5451661065738,0.0,13.0,2.2076539993286133
14.0,0.0,11.812076568603516,5.60837459564209,1000.0,253.57447361946106,55.21060460135189,11.852577209472656,-0.1188497394323349,14,14.0,0.6326354146003723,14000,61.550384521484375,1.0,89.71500396728516,76.95346905214471,76.95346905214471,-72.23248291015625,0.6776069402694702,0.13189242780208588,34.92079544067383,59.904319763183594,0.04338706284761429,230.1269593428197,529.4771132402992,0.0,14.0,2.1881890296936035
15.0,0.0,13.666293144226074,3.081303596496582,1000.0,271.78736209869385,55.19020415140961,13.563465118408203,-0.10142973065376282,15,15.0,0.638276994228363,15000,65.13156127929688,1.0,98.89677429199219,61.93594189701195,61.93594189701195,-78.0821762084961,0.6856002807617188,0.1558784395456314,37.10352325439453,64.13487243652344,0.04628297686576843,254.08744050835085,589.5341768257869,0.0,15.0,2.1476681232452393
16.0,0.0,14.782485961914062,6.8985395431518555,1000.0,289.91818714141846,55.18798305742509,14.901887893676758,-0.10091732442378998,16,16.0,0.6334509253501892,16000,66.642822265625,1.0,105.59795379638672,82.75930999982376,82.75930999982376,-84.35049438476562,0.6908953785896301,0.17883093655109406,41.047523498535156,65.71238708496094,0.04342491924762726,270.52936272246586,517.1581959341914,0.0,16.0,2.1184728145599365
17.0,0.0,14.702437400817871,9.673322677612305,1000.0,308.0657567977905,55.18302383461116,15.050127029418945,-0.09833284467458725,17,17.0,0.6353086829185486,17000,72.88487243652344,1.0,111.62467193603516,101.49279548169545,101.49279548169545,-90.49059295654297,0.7295820713043213,0.10625831037759781,44.91474533081055,70.93672180175781,0.04194382578134537,293.19881851309583,655.9101111631755,0.0,17.0,2.1038215160369873
18.0,0.0,14.682785987854004,7.161882400512695,1000.0,326.16586565971375,55.186645492754465,15.02628231048584,-0.1033007800579071,18,18.0,0.6271607875823975,18000,79.24080657958984,1.0,117.7124252319336,128.08328698086768,128.08328698086768,-97.29129028320312,0.7460935115814209,0.21799057722091675,48.74403381347656,77.74691009521484,0.03905182331800461,314.42106175834306,675.1991969275463,0.0,18.0,2.0900206565856934
19.0,0.0,14.959636688232422,14.473333358764648,1000.0,344.2678484916687,55.18958590889094,15.300320625305176,-0.10678227245807648,19,19.0,0.6239539384841919,19000,88.93498992919922,1.0,123.72544860839844,147.19536483650322,147.19536483650322,-104.1044921875,0.821945071220398,0.24718236923217773,52.46342849731445,87.26701354980469,0.03693154826760292,336.7211212096843,738.1221913338271,0.0,19.0,2.0780975818634033
20.0,0.0,14.666070938110352,8.996437072753906,1000.0,362.5163872241974,55.16991977422264,14.561010360717773,-0.0965404063463211,20,20.0,0.6308838129043579,20000,94.64392852783203,1.0,125.77957153320312,142.79022089633588,142.79022089633588,-110.05390930175781,0.7874963283538818,0.3126366436481476,55.325225830078125,93.7939453125,0.038537874817848206,339.118370904822,384.6661151124385,0.0,20.0,2.055239677429199
