total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_Q_mean,rollout/Q_mean,eval/return_history,train/loss_actor,total/steps,rollout/episode_steps,rollout/actions_mean,eval/Q,total/duration,total/steps_per_second,train/param_noise_distance,ret_rms_std,rollout/return_history,eval/return,reference_actor_Q_std,reference_action_std,rollout/actions_std,param_noise_stddev,reference_perturbed_action_mean,reference_Q_std,obs_rms_std,eval/episodes,train/loss_critic,rollout/return,obs_rms_mean,total/epochs,rollout/episodes,ret_rms_mean,reference_action_mean
16.0,0.37852030992507935,2.9142768383026123,2.3909754753112793,1.6090223789215088,93.10265075903304,-2.8569774627685547,1000,47.75,0.4538237750530243,1.8671194314956665,10.54732632637024,94.81075763246442,0.4475487768650055,1.0,7.467474243425361,93.10265075903304,3.622976779937744,0.058996930718421936,0.5414441227912903,0.17399259391533256,0.6262483596801758,3.8152785301208496,1.6958882808685303,1.0,0.15517809987068176,7.467474243425361,-0.21234744787216187,1,16.0,0.0,0.92076176404953
19.0,0.22702980041503906,5.7759881019592285,5.266784191131592,4.52286958694458,50.09145347085721,-8.328356742858887,2000,95.78947368421052,0.5821232795715332,1.3227559328079224,20.736086130142212,96.45021666324857,0.6235505938529968,1.0,82.06530825615877,7.080256182681379,6.242786884307861,0.46845757961273193,0.4658675789833069,0.1454608210542347,0.8118740916252136,6.375842571258545,1.2835732698440552,2.0,0.5387347936630249,82.06530825615877,-0.009490050375461578,2,19.0,0.0,0.7835472226142883
25.0,0.5408617258071899,11.525443077087402,10.833269119262695,4.307431697845459,370.3218167227151,-12.419075965881348,3000,115.08,0.5903036594390869,20.436237335205078,35.36135935783386,84.83836748587517,0.5416133999824524,1.0,74.73131802161018,1010.7825432264308,9.660268783569336,0.4995386302471161,0.46284112334251404,0.11921161154572088,0.30812013149261475,9.726513862609863,1.1949024200439453,3.0,0.5564108490943909,74.73131802161018,0.0018830331973731518,3,25.0,0.0,0.7010936737060547
27.0,0.5629534721374512,15.50655746459961,14.424151420593262,7.310490131378174,487.9386347012001,-16.48248863220215,4000,119.37037037037037,0.612694263458252,21.00180435180664,47.715819358825684,83.8296408559973,0.2597200274467468,1.0,82.20817138954405,840.7890886366552,11.995389938354492,0.6135996580123901,0.4422852098941803,0.09769921704229322,0.5401365756988525,12.262561798095703,1.079880952835083,4.0,1.2023594379425049,82.20817138954405,0.02658357284963131,4,27.0,0.0,0.6095728874206543
31.0,0.598791778087616,19.691204071044922,18.81936264038086,8.54860782623291,456.9461273832244,-20.98965072631836,5000,156.19354838709677,0.6243923306465149,36.401336669921875,57.35645914077759,87.17414001669515,0.46869686245918274,1.0,115.67869410577903,332.97609811132156,13.964860916137695,0.6721870303153992,0.4408639371395111,0.08006885308329467,0.5077294111251831,14.245232582092285,1.0201584100723267,5.0,2.1106369495391846,115.67869410577903,0.0342056006193161,5,31.0,0.0,0.4389798641204834
38.0,0.5308263897895813,23.330829620361328,22.169588088989258,11.892915725708008,501.92348537768413,-26.269624710083008,6000,152.6315789473684,0.6246001124382019,37.6754035949707,68.79389023780823,87.21704760784814,0.3710120618343353,1.0,116.8185502555235,726.8102753499827,15.703959465026855,0.6810205578804016,0.4448111951351166,0.06561998579066344,0.601921021938324,15.85059928894043,1.0156716108322144,6.0,0.8071024417877197,116.8185502555235,0.04351945221424103,6,38.0,0.0,0.42127180099487305
43.0,0.5953747034072876,26.39376449584961,25.200084686279297,15.442814826965332,469.0213971733964,-31.335329055786133,7000,155.7906976744186,0.6161125302314758,52.06300354003906,78.26674246788025,89.43773280040008,0.3152298927307129,1.0,132.55767119932804,271.6088679476695,17.783573150634766,0.6711182594299316,0.4506920278072357,0.05377849649835011,0.5788212418556213,18.075651168823242,1.0445528030395508,7.0,3.632725238800049,132.55767119932804,0.04947677627205849,7,43.0,0.0,0.4551432430744171
50.0,0.6938867568969727,30.468196868896484,28.913135528564453,19.38913345336914,446.2391239816209,-36.419898986816406,8000,158.88,0.6198728680610657,55.74264144897461,88.38659572601318,90.51146199587716,0.3249879479408264,1.0,145.6560343053534,286.7632116391925,18.69318389892578,0.6824232339859009,0.4481707513332367,0.04407386942827646,0.3915674686431885,19.150102615356445,1.0352016687393188,8.0,3.5728399753570557,145.6560343053534,0.06655365973711014,8,50.0,0.0,0.445402055978775
56.0,0.5889813899993896,33.7674674987793,32.109718322753906,22.941682815551758,396.9234246749941,-43.26414489746094,9000,159.125,0.6150789856910706,25.447587966918945,98.24060082435608,91.61181756299575,0.2185981720685959,1.0,156.0515302252079,2.3978302219803296,20.517980575561523,0.7413037419319153,0.4559060335159302,0.037587132956139066,0.5092066526412964,20.89234733581543,1.049960970878601,9.0,3.457090139389038,156.0515302252079,0.07738544046878815,9,56.0,0.0,0.28547579050064087
65.0,0.5808668732643127,39.718528747558594,38.11281967163086,23.791608810424805,383.04269813079407,-47.746971130371094,10000,152.52307692307693,0.6027871370315552,69.9043960571289,108.0904893875122,92.5150774750337,0.24063585698604584,1.0,137.76151871451515,258.116159232993,23.716672897338867,0.5528704524040222,0.469635933637619,0.03269941380439557,0.5206246972084045,23.909465789794922,1.1801663637161255,10.0,3.507322311401367,137.76151871451515,0.062386590987443924,10,65.0,0.0,0.5645965933799744
72.0,0.5777882933616638,41.30970764160156,39.73268508911133,27.871965408325195,359.22222400786836,-51.926795959472656,11000,151.97222222222223,0.607357382774353,39.54071044921875,118.12245178222656,93.12370200611709,0.2149176448583603,1.0,149.83504347597292,121.01748277861141,25.873262405395508,0.6459432244300842,0.46091169118881226,0.03019736003336582,0.5137856006622314,26.12580108642578,1.1584100723266602,11.0,3.7759642601013184,149.83504347597292,0.08035217225551605,11,72.0,0.0,0.3891860544681549
77.0,0.54993736743927,43.70315933227539,41.98734664916992,30.849895477294922,351.16840493442305,-57.146095275878906,12000,153.27272727272728,0.6009777188301086,88.3919906616211,128.01963114738464,93.73562392305918,0.20485292375087738,1.0,153.32886992516612,262.5763951265251,28.084623336791992,0.5587326288223267,0.46513304114341736,0.030197360033365817,0.5655686259269714,28.59153938293457,1.1793876886367798,12.0,4.7699294090271,153.32886992516612,0.07953619956970215,12,77.0,0.0,0.520673930644989
85.0,0.6158106327056885,44.5526008605957,42.998741149902344,34.11457443237305,335.15804026758644,-61.7768440246582,13000,152.04705882352943,0.5973113179206848,85.06147766113281,137.67427349090576,94.42577520380908,0.24034695327281952,1.0,155.24823602655985,143.0336642655471,29.807283401489258,0.5872767567634583,0.46968555450439453,0.030804326970036468,0.5030412673950195,30.39232063293457,1.2042951583862305,13.0,6.3101325035095215,155.24823602655985,0.07704682648181915,13,85.0,0.0,0.5288708209991455
91.0,0.4803863763809204,47.14863967895508,45.70539855957031,36.393314361572266,325.2414007363195,-66.46063232421875,14000,152.8901098901099,0.5914470553398132,91.3398208618164,147.83534264564514,94.69995299809592,0.1721697598695755,1.0,154.0123770808543,196.32508682984943,33.28925704956055,0.5028214454650879,0.47729170322418213,0.0320551061703711,0.6675208210945129,33.603546142578125,1.2555811405181885,14.0,10.776084899902344,154.0123770808543,0.06967329233884811,14,91.0,0.0,0.6453106999397278
94.0,0.4749433100223541,52.89265060424805,50.770660400390625,39.649471282958984,312.8789284015671,-71.0452880859375,15000,153.17021276595744,0.5934290289878845,99.49629211425781,158.47636485099792,94.65133816076136,0.23237930238246918,1.0,157.77433372924094,139.8043157150329,35.14073181152344,0.5534144043922424,0.4771413803100586,0.03269941380439556,0.6753721237182617,35.282745361328125,1.259549856185913,15.0,13.38599967956543,157.77433372924094,0.06888128817081451,15,94.0,0.0,0.632763683795929
