rollout/actions_mean,reference_action_std,rollout/episode_steps,eval/return_history,obs_rms_std,obs_rms_mean,train/loss_critic,total/steps_per_second,reference_perturbed_action_std,total/duration,reference_Q_std,rollout/actions_std,eval/Q,reference_actor_Q_mean,total/episodes,eval/return,train/param_noise_distance,total/steps,train/loss_actor,ret_rms_std,eval/episodes,reference_Q_mean,reference_action_mean,rollout/episodes,param_noise_stddev,total/epochs,reference_actor_Q_std,rollout/Q_mean,reference_perturbed_action_mean,rollout/return,ret_rms_mean,rollout/return_history
0.10005467385053635,0.4662879407405853,34.37931034482759,271.30800437700105,5.620292663574219,1.4235516786575317,2.4336228370666504,83.8883449853146,0.5541114807128906,11.920607089996338,2.63385009765625,0.5435042381286621,20.84758186340332,20.278369903564453,29.0,271.30800437700105,0.5889431834220886,1000,-19.62561798095703,1.0,1.0,19.99514389038086,0.2040485143661499,29.0,0.16720346283821505,1,2.0216784477233887,9.463921546936035,0.2682974338531494,169.69821122124588,0.0,169.69821122124588
0.16535931825637817,0.5918000936508179,40.354166666666664,297.34631494990435,5.413093566894531,1.7339160442352295,2.296844720840454,85.05435170270415,0.5605579018592834,23.514375925064087,6.856813430786133,0.567677915096283,40.79857635498047,42.34142303466797,48.0,323.3846255228076,0.5377858877182007,2000,-41.41854476928711,1.0,2.0,41.6193733215332,0.40378251671791077,48.0,0.1370306733903066,2,5.448631763458252,20.049463272094727,0.28730833530426025,204.08589423054005,0.0,204.08589423054005
0.2246319055557251,0.6371950507164001,43.64705882352941,297.7012285031622,5.34356689453125,1.9317630529403687,5.123000621795654,85.54518494888876,0.5778558254241943,35.069185972213745,11.063814163208008,0.5872747898101807,62.54287338256836,65.36197662353516,68.0,298.41105560967793,0.4792664647102356,3000,-62.554805755615234,1.0,3.0,64.01893615722656,0.35450759530067444,68.0,0.11230273064362171,3,8.221367835998535,30.36979103088379,0.523657500743866,223.4290882478556,0.0,223.4290882478556
0.24739493429660797,0.6396988034248352,43.41304347826087,276.87870041030857,5.590793132781982,1.9929194450378418,6.179970741271973,86.05187798176215,0.6386802792549133,46.48358750343323,19.58441925048828,0.6028698682785034,80.74746704101562,85.8905029296875,92.0,214.41111613174758,0.4406077563762665,4000,-82.53516387939453,1.0,4.0,84.52137756347656,0.1381155252456665,92.0,0.09203708190275892,4,17.920499801635742,40.50059509277344,0.2254551649093628,221.73545571290146,0.0,221.73545571290146
0.24371211230754852,0.6896666884422302,45.018181818181816,269.6247013548046,5.715088367462158,2.000981330871582,16.756511688232422,86.22997738154675,0.6947588324546814,57.9844753742218,29.006324768066406,0.6107321381568909,107.21401977539062,104.55648803710938,110.0,240.60870513278866,0.47901788353919983,5000,-100.9909896850586,1.0,5.0,102.3785629272461,0.06453868746757507,110.0,0.07542848153938683,5,27.598669052124023,50.9543342590332,0.06472311913967133,229.09664602667152,0.0,236.95268266216152
0.2379845827817917,0.7357466220855713,46.224806201550386,263.7909002790678,5.805880069732666,2.0115435123443604,10.93712043762207,86.36178863783474,0.7177188396453857,69.4751706123352,37.818931579589844,0.614628255367279,130.89920043945312,124.11628723144531,129.0,234.62189490038404,0.3863678276538849,6000,-120.8336410522461,1.0,6.0,120.89506530761719,0.11544057726860046,129.0,0.06181699495154324,6,36.21597671508789,61.95457458496094,0.1318880319595337,234.20931918452808,0.0,252.91754049387993
0.2420971542596817,0.7346298098564148,47.76027397260274,272.5158269140021,5.860925674438477,2.0355677604675293,15.374298095703125,86.3212693524952,0.7308861017227173,81.09241271018982,47.24176788330078,0.621105968952179,147.08529663085938,142.1163330078125,146.0,324.86538672360797,0.3467895984649658,7000,-139.22613525390625,1.0,7.0,137.31739807128906,0.20824754238128662,146.0,0.05066177638540577,7,43.987701416015625,72.4609375,0.2220683991909027,241.16620566331648,0.0,258.46630366625607
0.257016658782959,0.711332380771637,48.71341463414634,271.69677655277917,5.995842933654785,2.0490221977233887,20.253162384033203,86.44589086716486,0.6791562438011169,92.54343867301941,55.40187072753906,0.6270224452018738,147.2834930419922,158.88095092773438,164.0,265.96342402421874,0.35661447048187256,8000,-156.24317932128906,1.0,8.0,154.12161254882812,0.3003178536891937,164.0,0.04151957869412388,8,52.023372650146484,81.58963775634766,0.34236738085746765,245.75906328387822,0.0,261.0600012086049
0.28583699464797974,0.7053513526916504,50.22346368715084,297.4896770943799,5.956192493438721,2.0965771675109863,17.403804779052734,86.15709879637812,0.6945299506187439,104.4603419303894,63.91996383666992,0.6327611207962036,147.17129516601562,175.79676818847656,179.0,503.83288142718555,0.2601046562194824,9000,-172.5298309326172,1.0,9.0,170.38800048828125,0.3175489902496338,179.0,0.034027141129503384,9,60.58171844482422,89.56100463867188,0.3586747348308563,252.17693837225053,0.0,274.08018528510615
0.30372974276542664,0.682819664478302,51.947916666666664,291.50808160796106,5.865901947021484,2.1387672424316406,19.615970611572266,86.23702407788545,0.6719685196876526,115.95947456359863,71.25513458251953,0.638266384601593,180.7207794189453,192.3055419921875,192.0,237.67372223019166,0.2357594221830368,10000,-183.9339599609375,1.0,10.0,187.13088989257812,0.32467034459114075,192.0,0.027886755354071244,10,68.53004455566406,98.38631439208984,0.36162519454956055,259.88681158679583,0.0,294.9860589907787
