eval/return,obs_rms_mean,rollout/episode_steps,rollout/return,eval/return_history,total/steps,param_noise_stddev,reference_actor_Q_std,rollout/actions_mean,reference_action_mean,train/loss_critic,reference_perturbed_action_mean,rollout/episodes,eval/episodes,rollout/return_history,ret_rms_std,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,obs_rms_std,reference_Q_mean,ret_rms_mean,train/loss_actor,reference_perturbed_action_std,reference_Q_std,total/episodes,rollout/Q_mean,eval/Q,reference_action_std,total/steps_per_second,total/epochs,total/duration
-396.592941495025,0.14894701540470123,1000.0,-186.40488547866465,-396.592941495025,1000,0.16720346283821505,0.9389112591743469,0.3827802836894989,-0.2702926695346832,0.04173193499445915,-0.3757524788379669,1.0,1.0,-186.40488547866465,1.0,-0.10030678659677505,0.5652273893356323,0.7402796149253845,1.971051812171936,-0.2258351445198059,0.0,0.07659315317869186,0.7162454724311829,0.9494820237159729,1.0,-0.11397645622491837,-1.069531798362732,0.7605772614479065,79.73572697059201,1,12.54142951965332
-371.7887635447654,0.03761192038655281,1000.0,-314.2761892450055,-384.1908525198952,2000,0.1370306733903066,0.753888726234436,0.10382358729839325,-0.09271260350942612,0.03068363480269909,0.10866604000329971,2.0,2.0,-314.2761892450055,1.0,1.4104597568511963,0.7665591239929199,0.800632894039154,1.4766374826431274,1.0008913278579712,0.0,-1.2386009693145752,0.6198696494102478,0.9938899874687195,2.0,-0.14745007455348969,1.4223899841308594,0.7404247522354126,79.8715072185403,2,25.040218591690063
-250.97370245751313,0.02964681014418602,1000.0,-325.0801797435368,-339.7851358324345,3000,0.11230273064362171,0.7499759793281555,0.13969866931438446,-0.0469539575278759,0.023980984464287758,0.09306919574737549,3.0,3.0,-325.0801797435368,1.0,2.3411381244659424,0.721152126789093,0.5261994004249573,1.3997247219085693,1.9230057001113892,0.0,-1.8400921821594238,0.6888055801391602,0.9392379522323608,3.0,0.24368835985660553,1.4076848030090332,0.7906018495559692,82.63059514434194,3,36.30616474151611
-477.8801751041563,0.030819924548268318,1000.0,-264.5984284831276,-374.30889565036495,4000,0.09203708190275892,0.9987010955810547,0.16618259251117706,0.1007210835814476,0.05902307108044624,0.33287766575813293,4.0,4.0,-264.5984284831276,1.0,3.016106605529785,0.7125158905982971,0.5997276306152344,1.4783726930618286,2.6331262588500977,0.0,-3.343475341796875,0.7178386449813843,1.1584415435791016,4.0,0.9519776105880737,2.1310009956359863,0.8318129777908325,84.07592596310246,4,47.57604455947876
-509.76110029611647,0.0602000392973423,1000.0,-285.0410514842467,-401.39933657951525,5000,0.07542848153938683,1.1280828714370728,0.21648164093494415,0.2635536193847656,0.059119246900081635,0.2923089265823364,5.0,5.0,-285.0410514842467,1.0,4.475439548492432,0.715786874294281,0.46054935455322266,1.3533844947814941,4.063924789428711,0.0,-4.684942245483398,0.6716926097869873,1.227862000465393,5.0,1.449808955192566,4.477516174316406,0.7905201315879822,84.58598435917241,5,59.11144781112671
-447.36695181526795,0.07858916372060776,1000.0,-284.5189866658229,-409.060605785474,6000,0.06181699495154324,0.9621672630310059,0.1947004646062851,0.22130517661571503,0.0847976878285408,0.24688680469989777,6.0,6.0,-284.5189866658229,1.0,5.829252243041992,0.7221087217330933,0.31012406945228577,1.308564305305481,5.4329400062561035,0.0,-5.7183356285095215,0.7339634299278259,1.1145540475845337,6.0,1.7715537548065186,5.672882080078125,0.7572150826454163,84.97670100580959,6,70.60758924484253
-456.14332084994356,0.08318059146404266,1000.0,-297.19600265408525,-415.78670793754105,7000,0.05066177638540577,1.3089178800582886,0.19069316983222961,0.326509565114975,0.0740598514676094,0.29740920662879944,7.0,7.0,-297.19600265408525,1.0,6.706810474395752,0.7311960458755493,0.26354166865348816,1.227522850036621,6.371647834777832,0.0,-6.577707290649414,0.6428487300872803,1.414011001586914,7.0,2.266291379928589,1.7644253969192505,0.6827574968338013,85.21282716329755,7,82.14725685119629
-192.9778823220637,0.0929361879825592,1000.0,-321.100691599967,-387.93560473560643,8000,0.04320544008261588,1.2596960067749023,0.1738480180501938,0.2908411920070648,0.12227360904216766,0.27931326627731323,8.0,8.0,-321.100691599967,1.0,7.641505718231201,0.7602208852767944,0.2749444544315338,1.1819567680358887,7.222786903381348,0.0,-7.100757598876953,0.724237859249115,1.4023624658584595,8.0,2.182105541229248,5.617272853851318,0.7307608127593994,85.40025839290242,8,93.67653155326843
-275.1486732982767,0.09814228117465973,1000.0,-298.4432728107626,-375.403723464792,9000,0.040701478966889394,1.397470474243164,0.1499844491481781,0.3722420930862427,0.06796359270811081,0.36847737431526184,9.0,9.0,-298.4432728107626,1.0,8.676291465759277,0.765124499797821,0.2264465093612671,1.2316365242004395,8.194337844848633,0.0,-7.844637870788574,0.6119281649589539,1.527925729751587,9.0,2.6029462814331055,5.535838603973389,0.6173816323280334,85.58740721172667,9,105.15565657615662
-426.823894161177,0.10132665932178497,1000.0,-294.1654917762362,-380.54574053443054,10000,0.0368465179454358,1.4268890619277954,0.12431253492832184,0.29658111929893494,0.18236257135868073,0.2366819977760315,10.0,10.0,-294.1654917762362,1.0,9.702713966369629,0.7615723013877869,0.19125834107398987,1.3125118017196655,9.370140075683594,0.0,-8.456494331359863,0.6763215661048889,1.5553569793701172,10.0,2.9143571853637695,6.328677177429199,0.6346068978309631,85.73292863210727,10,116.64129710197449
