obs_rms_mean,total/duration,reference_actor_Q_mean,train/loss_actor,eval/return_history,rollout/actions_std,eval/return,eval/Q,train/loss_critic,rollout/episodes,rollout/actions_mean,rollout/episode_steps,reference_Q_mean,ret_rms_mean,reference_actor_Q_std,total/steps_per_second,ret_rms_std,total/steps,rollout/return,train/param_noise_distance,reference_Q_std,total/episodes,rollout/return_history,reference_action_std,rollout/Q_mean,reference_action_mean,eval/episodes,obs_rms_std,total/epochs
0.0008255998254753649,23.730296850204468,0.06742784380912781,0.004026530310511589,-511.4290781840994,0.6798522472381592,-511.4290781840994,-1.5465728044509888,0.011501690372824669,1.0,0.06534627079963684,1000.0,-0.198495015501976,0.0,0.9250778555870056,42.14022295264223,1.0,1000,-273.24921585199655,0.0,0.9379874467849731,1.0,-273.24921585199655,0.7604622840881348,-0.6205658316612244,0.5036113262176514,1.0,0.30946171283721924,1
0.044584453105926514,46.556456565856934,0.6595064401626587,0.029989538714289665,-489.40498390189236,0.7498621940612793,-467.38088961968526,-0.12877105176448822,0.028890365734696388,2.0,0.07942230999469757,1000.0,0.2635120153427124,0.0,0.5488699078559875,42.958595810892064,1.0,2000,-332.96924079841256,0.0,0.6798977255821228,2.0,-332.96924079841256,0.858279287815094,-0.5482082962989807,0.1050332561135292,2.0,0.7204573750495911,2
0.07434865087270737,69.90233182907104,1.7630467414855957,-0.6729456186294556,-551.813904947578,0.7661763429641724,-676.6317470389492,1.5702221393585205,0.09553239494562149,3.0,0.03796939179301262,1000.0,1.1859045028686523,0.0,1.7956786155700684,42.91702324517245,1.0,3000,-346.4178703109849,0.0,1.776275634765625,3.0,-346.4178703109849,0.9252826571464539,-0.8270586133003235,-0.06762818247079849,3.0,1.0402956008911133,3
0.06443177908658981,93.89588141441345,3.0797691345214844,-2.2045328617095947,-548.6024653726288,0.76959228515625,-538.968146647781,2.273197889328003,0.12587133049964905,4.0,-0.006209347862750292,1000.0,2.773111343383789,0.0,0.9988324642181396,42.60037756444109,1.0,4000,-354.640958930333,0.0,1.1538927555084229,4.0,-354.640958930333,0.8044925332069397,-0.1616952270269394,0.44940781593322754,4.0,1.2796001434326172,4
0.061203256249427795,117.32807302474976,6.121804237365723,-4.881198883056641,-537.0665032851646,0.7574549913406372,-490.9226549353076,0.4782889187335968,0.1298186033964157,5.0,-0.05833536759018898,1000.0,5.4285478591918945,0.0,1.0212256908416748,42.61554691131146,1.0,5000,-334.76616059454153,0.0,1.1683610677719116,5.0,-334.76616059454153,0.5994970798492432,0.8101208806037903,0.47791242599487305,5.0,1.3783799409866333,5
0.06890853494405746,141.78247380256653,10.864225387573242,-7.412336826324463,-555.7395897964858,0.7483982443809509,-649.1050223530925,-1.6270782947540283,0.21457521617412567,6.0,-0.0985502228140831,1000.0,10.113502502441406,0.0,1.0705358982086182,42.31834752971695,1.0,6000,-354.4207203459985,0.0,1.1246447563171387,6.0,-354.4207203459985,0.6063953042030334,0.6530939340591431,0.4094831049442291,6.0,1.8199399709701538,6
0.08629316836595535,166.73512077331543,16.225383758544922,-8.40157413482666,-543.5089060430024,0.7659407258033752,-470.12480352210196,-1.720033049583435,0.24972477555274963,7.0,-0.05111077427864075,1000.0,15.498128890991211,0.0,1.0527586936950684,41.982756647394304,1.0,7000,-403.8013599221819,0.0,1.1863569021224976,7.0,-403.8013599221819,0.6871305108070374,0.2745516300201416,0.3232080042362213,7.0,1.9188947677612305,7
0.09801480174064636,191.03094911575317,20.867698669433594,-9.775604248046875,-471.99137836979116,0.7742684483528137,28.63131534268818,23.546550750732422,0.5744261741638184,8.0,-0.03940140828490257,1000.0,19.89105796813965,0.0,1.1865310668945312,41.878030952735756,1.0,8000,-401.90793716386577,0.0,1.4565834999084473,8.0,-401.90793716386577,0.6405268311500549,-0.010513870045542717,0.24870754778385162,8.0,1.8317277431488037,8
0.10528191179037094,214.16692090034485,26.268030166625977,-13.18907356262207,-428.12710317157183,0.7684032320976257,-77.21290158581733,26.760774612426758,0.5086617469787598,9.0,-0.034494027495384216,1000.0,25.43990707397461,0.0,0.8500823378562927,42.02329641834762,1.0,9000,-377.76487266753526,0.0,0.9275187849998474,9.0,-377.76487266753526,0.5693266987800598,0.8068320155143738,0.32911086082458496,9.0,1.9035621881484985,9
0.10259290784597397,238.6295247077942,29.61861801147461,-16.835363388061523,-407.122526987383,0.747268557548523,-218.08134132968362,11.087844848632812,0.43974658846855164,10.0,-0.03650824353098869,1000.0,28.954387664794922,0.0,1.088281273841858,41.90596286123926,1.0,10000,-348.690040905009,0.0,1.221901774406433,10.0,-348.690040905009,0.5412558317184448,3.448108196258545,0.38449200987815857,10.0,1.8507134914398193,10
0.10705216974020004,262.0869474411011,31.707870483398438,-17.2670841217041,-401.41423102736223,0.752419650554657,-344.3312714271546,6.3502092361450195,0.6861588954925537,11.0,-0.04325380548834801,1000.0,30.968721389770508,0.0,1.156819224357605,41.970804373888306,1.0,11000,-343.937009709073,0.0,1.3217990398406982,11.0,-343.937009709073,0.597062885761261,3.846465587615967,0.2794356048107147,11.0,2.093238115310669,11
0.10479965060949326,285.364999294281,33.49794006347656,-17.94091033935547,-386.80789129541876,0.7452353835105896,-226.13815424403998,7.296520233154297,0.5000739693641663,12.0,-0.04813624918460846,1000.0,33.06202697753906,0.0,1.116478681564331,42.05140795008665,1.0,12000,-323.91007037758794,0.0,1.2122210264205933,12.0,-323.91007037758794,0.6417136192321777,5.413520336151123,0.31213244795799255,12.0,2.0892703533172607,12
