rollout/episodes,train/loss_critic,rollout/return_history,reference_perturbed_action_std,total/steps_per_second,rollout/Q_mean,train/param_noise_distance,param_noise_stddev,rollout/episode_steps,reference_action_mean,rollout/return,reference_actor_Q_std,eval/return,total/epochs,rollout/actions_std,reference_Q_mean,obs_rms_mean,reference_action_std,ret_rms_std,reference_actor_Q_mean,total/episodes,rollout/actions_mean,reference_Q_std,ret_rms_mean,eval/Q,total/steps,eval/episodes,train/loss_actor,total/duration,obs_rms_std,reference_perturbed_action_mean,eval/return_history
23.0,1.9461942911148071,78.14709631824344,0.7552105188369751,91.60341844436374,20.640514373779297,0.20777848362922668,0.024748079434129402,1000.0,-0.09192260354757309,78.14709631824344,4.33526086807251,905.1899353289504,23,0.6941390633583069,40.35934829711914,0.0496533177793026,0.7345274090766907,1.0,41.57060623168945,23.0,0.10392379015684128,4.330236911773682,0.0,52.87116241455078,23000,23.0,-45.50493240356445,251.08233284950256,1.4613615274429321,-0.06328167766332626,187.71616732418929
24.0,3.4088757038116455,92.88064323568555,0.7309547662734985,91.61422288940157,21.955093383789062,0.21078155934810638,0.024748079434129402,1000.0,-0.042542461305856705,92.88064323568555,4.2687458992004395,557.7708227457655,24,0.6932495832443237,43.48511505126953,0.0499773845076561,0.7652774453163147,1.0,44.63569259643555,24.0,0.10405272245407104,4.344141960144043,0.0,49.54159164428711,24000,24.0,-48.26704025268555,261.9680573940277,1.4638433456420898,-0.011581997387111187,203.13511130008828
25.0,3.9855268001556396,113.91983011206118,0.7430289387702942,91.62612323988827,23.310697555541992,0.19758453965187073,0.025245515830755405,1000.0,-0.05160492658615112,113.91983011206118,4.378983020782471,914.9142860782,25,0.6896077394485474,45.683067321777344,0.05109654739499092,0.7663125991821289,1.0,47.13063049316406,25.0,0.10871697962284088,4.630360126495361,0.0,58.71352005004883,25000,25.0,-51.056156158447266,272.84795117378235,1.47652268409729,-0.05150473117828369,231.60627829121276
26.0,3.1888391971588135,139.00511773103986,0.7436800003051758,91.62832768687929,24.71063232421875,0.20433156192302704,0.02426044449968572,1000.0,-0.032989706844091415,139.00511773103986,4.380589485168457,991.322361458064,26,0.6890488862991333,48.44656753540039,0.05136853829026222,0.759302020072937,1.0,49.909332275390625,26.0,0.10721646994352341,4.523237705230713,0.0,62.20102310180664,26000,26.0,-54.37074661254883,283.7550423145294,1.4750010967254639,-0.047488559037446976,260.82612764378393
27.0,1.8815864324569702,168.40493728397576,0.7614380121231079,91.63943958310587,26.13478660583496,0.20121698081493378,0.024748079434129402,1000.0,-0.03397577628493309,168.40493728397576,4.782045364379883,823.0800128758513,27,0.6859384775161743,50.804595947265625,0.052433211356401443,0.7656416296958923,1.0,52.291107177734375,27.0,0.11065909266471863,5.071252346038818,0.0,64.88551330566406,27000,27.0,-57.238555908203125,294.63296723365784,1.4940049648284912,-0.029199307784438133,281.650345615342
28.0,3.1830246448516846,186.92840487140958,0.7523027062416077,91.66779929190555,27.524940490722656,0.19119247794151306,0.024748079434129402,1000.0,0.024141846224665642,186.92840487140958,5.578426361083984,715.6833056156987,28,0.6847888231277466,53.605926513671875,0.053651172667741776,0.7530136108398438,1.0,55.0765495300293,28.0,0.1111297681927681,5.4650983810424805,0.0,61.70853042602539,28000,28.0,-60.862186431884766,305.4507713317871,1.4989347457885742,-0.012000123970210552,297.15152275821185
29.0,0.8645844459533691,171.51705920375852,0.7457403540611267,91.69675135321572,27.95352554321289,0.20544923841953278,0.025245515830755405,1000.0,-0.05395795777440071,171.51705920375852,5.610945224761963,787.0162431525134,29,0.6904279589653015,57.32231140136719,0.05855812132358551,0.747119128704071,1.0,58.51166534423828,29.0,0.1141754761338234,5.533074378967285,0.0,71.37136840820312,29000,29.0,-63.111270904541016,316.259840965271,1.492077350616455,-0.027603380382061005,314.0434096683602
30.0,7.507418632507324,176.75201973746297,0.715566098690033,91.68458424984767,29.362102508544922,0.2380647212266922,0.02575295069895359,1000.0,0.018089478835463524,176.75201973746297,6.386574745178223,988.3530818181155,30,0.6891484260559082,59.723426818847656,0.05749473720788956,0.7350965738296509,1.0,60.8837890625,30.0,0.11021895706653595,6.195388317108154,0.0,74.92182159423828,30000,30.0,-66.4082260131836,327.20876955986023,1.4924778938293457,0.08863698691129684,336.5203987400187
31.0,3.1813461780548096,153.79344941558583,0.7539677619934082,91.6993400788376,30.124835968017578,0.23888711631298065,0.025245515830755405,1000.0,-0.020198052749037743,153.79344941558583,6.530161380767822,1229.003986686883,31,0.6899697184562683,63.577701568603516,0.05870388448238373,0.7570981383323669,1.0,64.79974365234375,31.0,0.10834819078445435,6.372403144836426,0.0,78.25040435791016,31000,31.0,-68.82243347167969,338.0613205432892,1.5234125852584839,-0.009746904484927654,365.31019189959494
32.0,6.032238960266113,179.1509741890003,0.7516273856163025,91.6757392600412,31.630775451660156,0.19237737357616425,0.024748079434129402,1000.0,0.02429964579641819,179.1509741890003,7.25895357131958,1205.541725523474,32,0.6884567737579346,65.42811584472656,0.05993035435676575,0.746022641658783,1.0,66.59568786621094,32.0,0.11222348362207413,7.155240535736084,0.0,81.13018798828125,32000,32.0,-71.10308837890625,349.05636167526245,1.5304639339447021,-0.006611342076212168,391.5674273253412
