total/episodes,train/param_noise_distance,rollout/episode_steps,rollout/Q_mean,total/epochs,eval/return,total/steps,eval/return_history,rollout/actions_mean,reference_Q_std,ret_rms_mean,ret_rms_std,rollout/episodes,train/loss_actor,eval/episodes,reference_action_mean,reference_action_std,reference_actor_Q_std,rollout/actions_std,obs_rms_std,reference_actor_Q_mean,eval/Q,rollout/return,obs_rms_mean,total/steps_per_second,reference_Q_mean,rollout/return_history,train/loss_critic,total/duration
1.0,0.0,1000.0,-0.2774159014225006,1,-491.82887456005284,1000,-491.82887456005284,0.18053892254829407,0.7467877268791199,0.0,1.0,1.0,-0.1186477392911911,1.0,0.11704659461975098,0.9049365520477295,0.7641894817352295,0.6092577576637268,0.4247572422027588,0.17613810300827026,0.20879557728767395,-210.7330447793634,0.09578689932823181,83.66544752164961,-0.18267609179019928,-210.7330447793634,0.014464497566223145,11.952365398406982
2.0,0.0,1000.0,-0.27368029952049255,2,-280.4609421549303,2000,-386.14490835749154,0.1584344059228897,1.3300504684448242,0.0,1.0,2.0,-0.03731980174779892,2.0,0.0909663736820221,0.7687188386917114,1.3517029285430908,0.6840983629226685,0.5058533549308777,0.24012646079063416,-0.2734578549861908,-276.3577216802398,0.06358696520328522,84.38943173621679,0.060081325471401215,-276.3577216802398,0.05845576897263527,23.699650049209595
3.0,0.0,1000.0,-0.6058407425880432,3,-388.33990749644556,3000,-386.8765747371429,0.016167188063263893,1.319398283958435,0.0,1.0,3.0,-0.6827577352523804,3.0,-0.2684679925441742,0.7957286238670349,1.2282400131225586,0.696265697479248,1.1839540004730225,1.5113943815231323,1.8780970573425293,-264.93080497805994,0.07912340760231018,84.78697210189256,1.0592787265777588,-264.93080497805994,0.03893479332327843,35.38279438018799
4.0,0.0,1000.0,-0.24676233530044556,4,-467.6727395879831,4000,-407.07561594985293,-0.028188714757561684,2.141357421875,0.0,1.0,4.0,-0.8439165353775024,4.0,-0.3523654043674469,0.8733315467834473,2.2523021697998047,0.7291128039360046,1.4843984842300415,2.7017574310302734,3.0550878047943115,-295.49924291320815,0.0006177124450914562,85.04002983443812,2.029376745223999,-295.49924291320815,0.07462843507528305,47.03667211532593
5.0,0.0,1000.0,0.4327459931373596,5,-434.19651237043456,5000,-412.4997952339692,-0.0716283917427063,2.175398588180542,0.0,1.0,5.0,-1.6673622131347656,5.0,-0.49110761284828186,0.6212034225463867,2.1332032680511475,0.7396486401557922,1.3960840702056885,3.4312219619750977,-0.0924857035279274,-311.1695184311102,0.0011739813489839435,85.08550069352235,2.9410243034362793,-311.1695184311102,0.14384682476520538,58.764418840408325
6.0,0.0,1000.0,0.3773335814476013,6,-291.64893279180603,6000,-392.3579848269421,-0.0498386025428772,2.6903727054595947,0.0,1.0,6.0,-2.499523639678955,6.0,0.025213196873664856,0.7456191778182983,2.7477309703826904,0.742348849773407,1.586707353591919,5.755629539489746,4.037376403808594,-299.9713647746745,0.034126490354537964,85.23318336024337,5.099159240722656,-299.9713647746745,0.14381174743175507,70.39511799812317
7.0,0.0,1000.0,1.1293652057647705,7,-316.35679942024217,7000,-381.5006726259849,-0.06214636191725731,2.5396058559417725,0.0,1.0,7.0,-4.65078067779541,7.0,0.209883451461792,0.6559712290763855,2.2819366455078125,0.7304732799530029,1.5827512741088867,7.070098876953125,4.185825347900391,-296.3171983836724,0.04071863368153572,85.30454047242912,6.5880351066589355,-296.3171983836724,0.13210684061050415,82.05893802642822
8.0,0.0,1000.0,1.9138176441192627,8,-156.2467726198927,8000,-353.3439351252234,-0.02525308169424534,2.3851802349090576,0.0,1.0,8.0,-6.6392903327941895,8.0,0.1133984699845314,0.7018749713897705,2.3383679389953613,0.725519061088562,1.5663459300994873,8.23410701751709,8.146912574768066,-278.60469543353275,0.04524946212768555,85.3499602703263,7.819279670715332,-278.60469543353275,0.19783133268356323,93.73173666000366
9.0,0.0,1000.0,2.3787894248962402,9,-387.45010016157573,9000,-357.13350901815147,-0.03602437674999237,3.2457571029663086,0.0,1.0,9.0,-7.533373832702637,9.0,0.06829947978258133,0.6860787272453308,3.237121820449829,0.7186587452888489,1.7292380332946777,9.43960189819336,6.477261543273926,-284.2665735978911,0.050417933613061905,85.33927934947398,8.929245948791504,-284.2665735978911,0.24204154312610626,105.46140146255493
10.0,0.0,1000.0,2.685021162033081,10,-304.7645902527071,10000,-351.896617141607,-0.05302848294377327,3.5921921730041504,0.0,1.0,10.0,-8.482122421264648,10.0,-0.05916958674788475,0.6864369511604309,3.4834392070770264,0.7211205363273621,1.8614801168441772,11.060609817504883,10.611337661743164,-295.9960087299087,0.051832426339387894,85.35938729264033,10.379151344299316,-295.9960087299087,0.22771714627742767,117.15173125267029
11.0,0.0,1000.0,3.4404454231262207,11,-265.3252697628447,11000,-344.0264946526286,-0.07659605145454407,4.101794242858887,0.0,1.0,11.0,-9.5595064163208,11.0,0.2210990935564041,0.733109712600708,4.132183074951172,0.7104071378707886,1.788163185119629,13.203460693359375,11.662729263305664,-288.06243385751753,0.05079817771911621,85.2517220656634,12.553529739379883,-288.06243385751753,0.23827792704105377,129.0296516418457
12.0,0.0,1000.0,4.008917808532715,12,-383.59456198394366,12000,-347.3238335969049,-0.09806079417467117,4.438951015472412,0.0,1.0,12.0,-10.474925994873047,12.0,0.12010583281517029,0.644669234752655,4.411657333374023,0.7050881385803223,1.727707028388977,14.488429069519043,8.268986701965332,-287.63033965275554,0.04952351003885269,85.22555758887592,13.987479209899902,-287.63033965275554,0.31392085552215576,140.8028335571289
13.0,0.0,1000.0,4.311890125274658,13,-126.37656121536426,13000,-330.32788956755553,-0.09202685207128525,4.7115302085876465,0.0,1.0,13.0,-11.410506248474121,13.0,0.02433914877474308,0.5895570516586304,4.652247428894043,0.7066166996955872,1.7265630960464478,15.681047439575195,17.755020141601562,-301.17539844401597,0.05467819795012474,85.10794012952233,15.349258422851562,-301.17539844401597,0.5488121509552002,152.74720525741577
14.0,0.0,1000.0,5.354910850524902,14,-197.2352585405263,14000,-320.8212730656249,-0.08312385529279709,5.228303909301758,0.0,1.0,14.0,-12.38614273071289,14.0,0.09048956632614136,0.5652108788490295,5.325743675231934,0.6994898319244385,1.6806092262268066,16.445371627807617,18.88413429260254,-292.16344531528864,0.05715062841773033,85.06491530783747,16.013710021972656,-292.16344531528864,0.346114844083786,164.58019089698792
15.0,0.0,1000.0,5.65972375869751,15,-145.70963657724465,15000,-309.14716396639955,-0.07668566703796387,5.845098972320557,0.0,1.0,15.0,-12.86330795288086,15.0,0.0738750472664833,0.5703557729721069,5.8237996101379395,0.701005220413208,1.644392967224121,17.381437301635742,20.39322853088379,-291.48705690351323,0.06288176774978638,84.98648317105383,16.95578384399414,-291.48705690351323,0.4800361692905426,176.49865531921387
