reference_Q_std,total/epochs,obs_rms_mean,total/duration,rollout/return_history,reference_Q_mean,eval/Q,reference_action_mean,eval/return_history,reference_action_std,total/steps_per_second,rollout/actions_mean,obs_rms_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/Q_mean,ret_rms_mean,train/loss_actor,ret_rms_std,total/episodes,rollout/episode_steps,train/param_noise_distance,rollout/actions_std,rollout/return,total/steps,train/loss_critic,eval/episodes,rollout/episodes,eval/return
1.2974509000778198,1,0.015228348784148693,20.48448657989502,-307.1309342395506,-0.7669069766998291,-2.1788179874420166,0.6462220549583435,-440.3540450206402,0.5517687201499939,48.81743050282127,0.16529439389705658,0.25193655490875244,-0.5978021621704102,1.2841808795928955,-0.7459824681282043,0.0,0.7077711224555969,1.0,1.0,1000.0,0.0,0.7002091407775879,-307.1309342395506,1000,0.01531929336488247,1.0,1.0,-440.3540450206402
0.9666724801063538,2,0.04393494501709938,40.39151978492737,-313.84756621502765,-0.03131387382745743,2.037410020828247,-0.380420058965683,-273.2272505738463,0.8009346127510071,49.51534407839555,0.007898355834186077,0.694652259349823,0.4521680176258087,0.8921734690666199,-0.8220449686050415,0.0,-0.3470734655857086,1.0,2.0,1000.0,0.0,0.7442177534103394,-313.84756621502765,2000,0.027134384959936142,2.0,2.0,-106.1004561270523
1.2095346450805664,3,0.03241213038563728,59.916133642196655,-305.81046863727636,-0.013752952218055725,0.3724536895751953,0.24861712753772736,-463.5543291227964,0.8287147879600525,50.06998645665637,-0.08088304102420807,0.8761882185935974,0.4728531241416931,1.1197105646133423,-0.18848706781864166,0.0,-1.2771307229995728,1.0,3.0,1000.0,0.0,0.7264307141304016,-305.81046863727636,3000,0.05854830890893936,3.0,3.0,-844.2084862206966
1.3651989698410034,4,0.07367649674415588,79.4303150177002,-346.4872957435108,2.3827481269836426,-1.59222412109375,0.1268078088760376,-446.82528708779785,0.8905615210533142,50.35860677511656,-0.024702798575162888,0.9875892400741577,3.039551258087158,1.213380217552185,-0.2940867245197296,0.0,-2.2507975101470947,1.0,4.0,1000.0,0.0,0.7574860453605652,-346.4872957435108,4000,0.08686330169439316,4.0,4.0,-396.6381609828022
1.552435040473938,5,0.10497700423002243,99.83944582939148,-352.4025776270964,5.55641508102417,1.5556038618087769,0.25474223494529724,-393.7843065175376,0.8180906772613525,50.08040618078093,0.0547977015376091,1.0076247453689575,6.240578651428223,1.4797227382659912,-0.6581413149833679,0.0,-2.8546571731567383,1.0,5.0,1000.0,0.0,0.7687190771102905,-352.4025776270964,5000,0.1186448261141777,5.0,5.0,-181.62038423649648
1.1217873096466064,6,0.11230772733688354,119.81857943534851,-335.22041739708635,9.904745101928711,-2.6802258491516113,0.13795435428619385,-375.47263375959943,0.8676533102989197,50.07570635768945,0.0433085672557354,1.0855547189712524,10.633325576782227,1.0279622077941895,-0.8599728345870972,0.0,-3.742422580718994,1.0,6.0,1000.0,0.0,0.7589399218559265,-335.22041739708635,6000,0.1614411473274231,6.0,6.0,-283.914269969909
1.0782643556594849,7,0.11943616718053818,139.35921621322632,-332.4148180330663,15.791889190673828,17.022388458251953,-0.01550049614161253,-369.95840773303087,0.8230969309806824,50.22990362754095,0.04754486680030823,1.2313936948776245,16.524736404418945,0.9914899468421936,-1.067129135131836,0.0,-3.8480563163757324,1.0,7.0,1000.0,0.0,0.7611916065216064,-332.4148180330663,7000,0.17837700247764587,7.0,7.0,-336.8730515736193
0.8024167418479919,8,0.10727115720510483,158.904283285141,-327.2674238987828,18.686662673950195,0.19227255880832672,0.16778826713562012,-385.93383857209255,0.8149308562278748,50.34477255496406,-0.011132863350212574,1.2237740755081177,19.296466827392578,0.6229199767112732,1.3657430410385132,0.0,-5.487626552581787,1.0,8.0,1000.0,0.0,0.7526565790176392,-327.2674238987828,8000,0.3406287431716919,8.0,8.0,-497.76185444552436
0.7400511503219604,9,0.10517290979623795,178.44822907447815,-335.55173444263954,21.015422821044922,-7.587040424346924,0.12038954347372055,-399.1399934745393,0.8156918883323669,50.434795832261855,-0.051170725375413895,1.2137948274612427,21.602359771728516,0.6657618880271912,0.28814128041267395,0.0,-3.968076229095459,1.0,9.0,1000.0,0.0,0.7649149894714355,-335.55173444263954,9000,0.39865878224372864,9.0,9.0,-504.78923269411325
0.6348922848701477,10,0.10182662308216095,198.00656628608704,-324.258207256126,23.338924407958984,-5.5314717292785645,0.17085778713226318,-398.9008418104984,0.8282757997512817,50.50337565852053,-0.06446997821331024,1.220664620399475,23.95893669128418,0.5187370181083679,2.076489210128784,0.0,-4.889088153839111,1.0,10.0,1000.0,0.0,0.7536142468452454,-324.258207256126,10000,0.41202983260154724,10.0,10.0,-396.74847683413014
1.138147234916687,11,0.09980159997940063,217.62129712104797,-294.0312390366999,24.500595092773438,23.87201499938965,0.22655709087848663,-354.2742201864769,0.7671402096748352,50.54652345850804,-0.07051758468151093,1.2942264080047607,24.98855209350586,1.1177417039871216,4.12030029296875,0.0,-7.261631965637207,1.0,11.0,1000.0,0.0,0.7376772165298462,-294.0312390366999,11000,0.40427935123443604,11.0,11.0,91.99199605373808
1.435787558555603,12,0.10329824686050415,237.15576362609863,-291.62427827748246,26.33794403076172,-8.614998817443848,0.1564663052558899,-366.30704937738284,0.7694839835166931,50.5996557558655,-0.07230070978403091,1.2925326824188232,27.042308807373047,1.277623176574707,3.780576229095459,0.0,-6.650506496429443,1.0,12.0,1000.0,0.0,0.738326370716095,-291.62427827748246,12000,0.7968910336494446,12.0,12.0,-498.66817047734867
