reference_Q_mean,total/steps,param_noise_stddev,total/episodes,reference_perturbed_action_mean,ret_rms_mean,reference_actor_Q_std,obs_rms_mean,reference_action_std,rollout/actions_std,total/epochs,train/loss_actor,rollout/actions_mean,reference_actor_Q_mean,eval/Q,train/loss_critic,eval/return_history,total/steps_per_second,eval/return,total/duration,rollout/return,reference_perturbed_action_std,rollout/return_history,eval/episodes,obs_rms_std,reference_Q_std,rollout/episodes,ret_rms_std,rollout/episode_steps,train/param_noise_distance,reference_action_mean,rollout/Q_mean
1295.6923828125,2314000,0.011388705069074755,13220.0,0.25890424847602844,0.0,949.37744140625,1.932273030281067,0.8977406024932861,0.8411099910736084,2314,-2127.4609375,0.20917896926403046,1417.4931640625,1878.6461181640625,10608.537109375,868.7566430023486,71.01687923579834,333.09475455462956,32583.802962064743,828.9432714093888,0.9017934203147888,663.7131494489171,2314.0,6.715803623199463,969.4185791015625,13220.0,1.0,175.03464447806354,0.21441316604614258,0.2538140118122101,2036.6280517578125
1296.18212890625,2315000,0.011164302587074557,13223.0,0.11259393393993378,0.0,980.7681884765625,1.9322280883789062,0.9308380484580994,0.8411346673965454,2315,-2131.5078125,0.20917174220085144,1415.6197509765625,2025.6502685546875,12410.4765625,871.4839767737654,71.01462406752273,927.9624171882584,32598.91931271553,829.0418272106856,0.9268878698348999,679.1253111121072,2315.0,6.716254234313965,999.6044921875,13223.0,1.0,175.05800499130302,0.21493138372898102,0.08819246292114258,2036.7388916015625
1289.0771484375,2316000,0.011388705069074755,13230.0,0.070856474339962,0.0,981.1060180664062,1.932194471359253,0.9374226927757263,0.8411756157875061,2316,-2137.18115234375,0.20911303162574768,1410.686767578125,2181.155517578125,11016.419921875,869.7815033166501,71.01159355832402,911.0687933362253,32614.392720222473,828.9777720804524,0.9331954717636108,681.3857539622176,2316.0,6.716496467590332,999.5206298828125,13230.0,1.0,175.0469387755102,0.23140288889408112,0.03811504691839218,2036.70068359375
1288.91259765625,2317000,0.01185113216358652,13236.0,0.13197503983974457,0.0,1006.97216796875,1.9321224689483643,0.9125503301620483,0.8412145972251892,2317,-2139.698974609375,0.2090560793876648,1411.17822265625,2102.4765625,11470.083984375,871.8502952190101,71.00934967158825,923.1142209280379,32629.50598359108,828.9551268621632,0.929167628288269,693.4764279754521,2317.0,6.71657133102417,1025.2547607421875,13236.0,1.0,175.0471441523119,0.21210181713104248,0.21660587191581726,2036.6376953125
1270.057861328125,2318000,0.01161761804096316,13242.0,0.23796984553337097,0.0,994.2381591796875,1.9320883750915527,0.9077801704406738,0.8412379026412964,2318,-2143.478759765625,0.20906683802604675,1397.052734375,2050.63720703125,9270.4765625,876.0495433161306,71.00725882083871,715.4081041325669,32644.549845933914,828.9402362007799,0.9113536477088928,699.9221555145176,2318.0,6.717290878295898,1012.8040771484375,13242.0,1.0,175.04546141066305,0.20390328764915466,0.23758821189403534,2036.62841796875
1279.968017578125,2319000,0.010944321720492653,13247.0,0.2810862064361572,0.0,988.3860473632812,1.9320801496505737,0.9007525444030762,0.8412527441978455,2319,-2145.82666015625,0.20908291637897491,1402.038330078125,1384.05322265625,10307.541015625,869.6353101911913,71.00718417438034,273.3538938131843,32658.66724562645,828.8974798206444,0.8917866945266724,688.5349102264695,2319.0,6.718558311462402,1005.2252197265625,13247.0,1.0,175.03668755189855,0.20294621586799622,0.2433452010154724,2036.6214599609375
1267.505126953125,2320000,0.010944321720492653,13253.0,0.13107770681381226,0.0,983.8018188476562,1.932045578956604,0.919568657875061,0.8412703275680542,2320,-2127.794677734375,0.20908690989017487,1389.387451171875,1958.7330322265625,12089.5576171875,868.5413440641039,71.00480584696487,1028.6270688169154,32673.84471130371,828.9280244449354,0.9282280802726746,704.9937137768396,2320.0,6.719743251800537,1000.0426635742188,13253.0,1.0,175.04217912925375,0.21202395856380463,0.1573423594236374,2036.5335693359375
1265.464599609375,2321000,0.010728675346037303,13260.0,0.10207369178533554,0.0,971.7623901367188,1.9320143461227417,0.9341301321983337,0.8412878513336182,2321,-2141.9208984375,0.2090853899717331,1395.339111328125,2113.27294921875,9234.1826171875,871.3975129099397,71.00250062300042,782.3593839830112,32688.989537477493,828.8442935032062,0.9377108216285706,698.9930713987217,2321.0,6.72081995010376,997.6954956054688,13260.0,1.0,175.02292609351434,0.20096348226070404,0.12844866514205933,2036.4683837890625
1277.349609375,2322000,0.011164302587074557,13267.0,0.1397143006324768,0.0,950.2327270507812,1.9319907426834106,0.9333274364471436,0.8413183689117432,2322,-2119.3779296875,0.20904217660427094,1407.087890625,1998.438232421875,8189.2451171875,872.5215968885246,71.00008552438574,901.7249443626206,32704.18595767021,828.8329921081456,0.9319233894348145,714.0525006707929,2322.0,6.721091270446777,976.204345703125,13267.0,1.0,175.01831612271047,0.2092735767364502,0.16465386748313904,2036.498291015625
1250.188232421875,2323000,0.011388705069074755,13274.0,0.16918370127677917,0.0,990.8944091796875,1.9319695234298706,0.9217215776443481,0.8413434624671936,2323,-2102.384033203125,0.20902879536151886,1362.431396484375,1902.785888671875,9583.30078125,870.0263813692414,70.99867857893962,610.4593141868737,32718.91880941391,828.7560414537724,0.927973747253418,725.0660450451525,2323.0,6.721462726593018,1000.4378051757812,13274.0,1.0,175.00120536386922,0.19935566186904907,0.18870651721954346,2036.42919921875
1249.25146484375,2324000,0.010728675346037303,13277.0,0.13906069099903107,0.0,976.1815185546875,1.9319039583206177,0.9331219792366028,0.8413732647895813,2324,-2117.873291015625,0.2089792639017105,1363.21337890625,2050.647705078125,9347.6552734375,870.124934229098,70.9954553232861,1196.9647180181996,32734.48968553543,828.8811025865269,0.92726069688797,755.3252232643586,2324.0,6.721848964691162,988.412109375,13277.0,1.0,175.02417714845222,0.20925702154636383,0.09492325037717819,2036.4478759765625
1247.065185546875,2325000,0.011164302587074557,13284.0,0.11590102314949036,0.0,964.71875,1.9318550825119019,0.9277940392494202,0.8414043188095093,2325,-2105.123046875,0.20894300937652588,1370.3681640625,2062.301513671875,8991.36328125,871.9730801263503,70.99255525561865,926.2445993871091,32749.912883520126,828.8602462139822,0.9266680479049683,760.3988949969649,2325.0,6.722009658813477,983.4927978515625,13284.0,1.0,175.0187443541102,0.18089301884174347,0.11059989780187607,2036.38916015625
