ret_rms_std,rollout/return_history,train/loss_critic,train/loss_actor,eval/episodes,reference_perturbed_action_std,eval/return_history,reference_perturbed_action_mean,reference_action_std,train/param_noise_distance,reference_actor_Q_std,reference_actor_Q_mean,rollout/episodes,total/duration,eval/Q,total/episodes,obs_rms_mean,total/steps,total/steps_per_second,rollout/Q_mean,reference_action_mean,reference_Q_mean,total/epochs,rollout/actions_std,rollout/episode_steps,ret_rms_mean,reference_Q_std,param_noise_stddev,rollout/actions_mean,obs_rms_std,eval/return,rollout/return
1.0,-244.06348728938053,0.07138432562351227,-0.7740244269371033,1.0,0.7196030616760254,-475.59558994365653,0.020055368542671204,0.83046954870224,0.6001474261283875,0.8731842041015625,0.7652217149734497,1.0,12.097792863845825,0.6367459893226624,1.0,0.1274770200252533,1000,82.659705886393,0.2739236354827881,-0.2839552164077759,0.2828364968299866,1,0.5517645478248596,1000.0,0.0,1.1983369588851929,0.16720346283821505,0.3623368442058563,1.7371574640274048,-475.59558994365653,-244.06348728938053
1.0,-440.03292316206324,0.11543755233287811,-1.090491771697998,2.0,0.7389132380485535,-438.40379337977697,-0.005539933685213327,0.7292226552963257,0.9007563591003418,1.2411696910858154,1.9434576034545898,2.0,23.729586124420166,0.9814393520355225,2.0,0.05115315690636635,2000,84.28297019229493,-0.14629727602005005,-0.033368226140737534,1.1594696044921875,2,0.6746301054954529,1000.0,0.0,1.594057559967041,0.1370306733903066,0.14132638275623322,1.5979896783828735,-401.21199681589735,-440.03292316206324
1.0,-434.10922037521703,0.09418177604675293,-2.7251944541931152,3.0,0.6780054569244385,-354.89759089385274,0.14268355071544647,0.6138718724250793,0.5182304382324219,2.0981087684631348,3.2778899669647217,3.0,35.44255328178406,3.012777805328369,3.0,0.03956179693341255,3000,84.64401467209956,0.6141029000282288,-0.10196304321289062,2.6555871963500977,3,0.7279285788536072,1000.0,0.0,2.4015591144561768,0.11230273064362171,0.14974530041217804,1.3591253757476807,-187.88518592200424,-434.10922037521703
1.0,-371.3971203384203,0.10725317150354385,-4.519960880279541,4.0,0.577802300453186,-305.660300312894,0.3192651569843292,0.6628482341766357,0.42804601788520813,2.0255918502807617,5.031574726104736,4.0,47.153648853302,3.9181652069091797,4.0,0.05906131863594055,4000,84.82906619685475,1.5622475147247314,-0.06814952939748764,4.162928581237793,4,0.7118164300918579,1000.0,0.0,2.6246602535247803,0.09203708190275892,0.1498395949602127,1.3961337804794312,-157.94842857001782,-371.3971203384203
1.0,-353.6739526527286,0.10682783275842667,-6.455582141876221,5.0,0.7340385317802429,-289.8597443766672,0.029225030913949013,0.6898905634880066,0.4139154553413391,1.9019646644592285,6.878363609313965,5.0,58.77627921104431,5.975715160369873,5.0,0.07711152732372284,5000,85.06833142749326,2.566915512084961,-0.015827571973204613,6.16461706161499,5,0.6985546350479126,1000.0,0.0,2.304555892944336,0.07542848153938683,0.17853981256484985,1.3160425424575806,-226.65752063176,-353.6739526527286
1.0,-333.19029547343615,0.1488722264766693,-8.335846900939941,6.0,0.6908372640609741,-300.0963160859109,0.10396667569875717,0.6759347915649414,0.29203277826309204,2.2643635272979736,8.609272003173828,6.0,70.45755076408386,8.287055969238281,6.0,0.09164024889469147,6000,85.15765783698707,3.2936484813690186,0.08331923931837082,7.762371063232422,6,0.6977856755256653,1000.0,0.0,2.7037720680236816,0.06181699495154324,0.16131410002708435,1.296751856803894,-351.2791746321296,-333.19029547343615
1.0,-337.2602045369809,0.15456056594848633,-10.208099365234375,7.0,0.6780705451965332,-324.40243627054866,-0.13477180898189545,0.6884070038795471,0.22174914181232452,1.9442458152770996,11.54635238647461,7.0,82.13520550727844,9.030561447143555,7.0,0.0897776260972023,7000,85.22533007334708,3.9427683353424072,0.06744923442602158,10.648711204528809,7,0.7256212830543518,1000.0,0.0,2.46415638923645,0.05066177638540577,0.08174221217632294,1.2376313209533691,-470.2391573783754,-337.2602045369809
1.0,-353.66155845262944,0.22602695226669312,-10.93389892578125,8.0,0.6850988268852234,-336.6812936347335,0.09337401390075684,0.6760385632514954,0.23807606101036072,1.950406789779663,13.933540344238281,8.0,93.81177568435669,5.586277961730957,8.0,0.09540142118930817,8000,85.2771407602086,4.383923053741455,0.11633691936731339,13.219661712646484,8,0.7520081996917725,1000.0,0.0,2.365994691848755,0.04235412222587577,0.06321296840906143,1.1911604404449463,-422.6332951840267,-353.66155845262944
1.0,-325.8596519809129,0.24810659885406494,-13.372026443481445,9.0,0.634868860244751,-355.28715212405683,0.22393830120563507,0.7061256170272827,0.1768886297941208,2.008103132247925,16.18475341796875,9.0,105.53614163398743,9.053860664367676,9.0,0.09889575839042664,9000,85.27884249561755,5.602402687072754,0.13490621745586395,15.42296028137207,9,0.7376211881637573,1000.0,0.0,2.5176401138305664,0.040701478966889394,0.06712185591459274,1.3005821704864502,-504.1340200386435,-325.8596519809129
1.0,-340.5637723802161,0.3482164144515991,-14.426860809326172,10.0,0.6636173129081726,-347.83254124841824,0.13913796842098236,0.6973685622215271,0.2543026804924011,1.8764759302139282,18.367334365844727,10.0,117.22353744506836,15.490175247192383,10.0,0.1033216342329979,10000,85.30709973401083,5.842698574066162,0.20315289497375488,17.626182556152344,10,0.7585922479629517,1000.0,0.0,2.28450345993042,0.04320544008261588,0.056013789027929306,1.2518887519836426,-280.74104336767107,-340.5637723802161
