eval/episodes,rollout/return_history,reference_action_std,obs_rms_std,reference_perturbed_action_std,eval/return,ret_rms_mean,param_noise_stddev,reference_actor_Q_mean,total/episodes,rollout/Q_mean,train/loss_actor,obs_rms_mean,reference_actor_Q_std,rollout/episodes,rollout/episode_steps,eval/return_history,rollout/actions_mean,total/epochs,eval/Q,train/param_noise_distance,rollout/actions_std,train/loss_critic,total/steps,reference_Q_mean,ret_rms_std,total/duration,reference_action_mean,reference_perturbed_action_mean,rollout/return,total/steps_per_second,reference_Q_std
823.0,1242.1629178223163,0.8328436017036438,2.0267815589904785,0.7908691167831421,1594.7795643221402,0.0,0.015350253774398782,617.26025390625,2254.0,489.6675109863281,-691.2321166992188,-0.03210477903485298,198.82818603515625,2254.0,365.0984915705413,1397.6335436799352,0.45239534974098206,823,723.498291015625,0.19946132600307465,0.6292129755020142,457.8905029296875,823000,602.7963256835938,1.0,9111.666253089905,0.23414500057697296,0.24886596202850342,674.6233409822164,90.32376484607391,211.73475646972656
824.0,1250.9350328425921,0.7174059152603149,2.026859998703003,0.7293093204498291,442.15148924107837,0.0,0.015047793132436803,619.5147094726562,2256.0,489.9481201171875,-691.482421875,-0.032043684273958206,192.14186096191406,2256.0,365.1281028368794,1387.6730036346626,0.45229414105415344,824,584.212646484375,0.19998210668563843,0.6293060779571533,432.38055419921875,824000,605.517822265625,1.0,9122.33512377739,0.41780826449394226,0.37821459770202637,674.9148715698467,90.3277492900082,207.24244689941406
825.0,1259.0835525682396,0.7686560750007629,2.0271434783935547,0.768691897392273,1316.3866524417067,0.0,0.014460633428115275,620.7010498046875,2260.0,490.1492614746094,-691.692138671875,-0.032108210027217865,195.49313354492188,2260.0,364.94646017699114,1377.5112045344752,0.4521868824958801,825,713.5585327148438,0.2004338800907135,0.629414439201355,555.0740966796875,825000,605.7850952148438,1.0,9133.948748588562,0.3240244686603546,0.3234300911426544,674.9565301045494,90.32238111993834,211.13821411132812
826.0,1269.5919256873228,0.7485681772232056,2.0272316932678223,0.7286530137062073,993.6925658805472,0.0,0.015350253774398782,629.3006591796875,2262.0,490.46771240234375,-694.847900390625,-0.031987667083740234,185.11903381347656,2262.0,365.1286472148541,1373.972308972651,0.4520045518875122,826,671.5653686523438,0.15732112526893616,0.6295290589332581,312.89129638671875,826000,611.71630859375,1.0,9145.689832925797,0.47060537338256836,0.4760099947452545,675.9230053479963,90.31576787420468,202.08523559570312
827.0,1276.1372740765544,0.8195310831069946,2.0273072719573975,0.8240461945533752,2865.8175791436283,0.0,0.015350253774398782,633.9517822265625,2264.0,490.7188720703125,-697.5888061523438,-0.03191268816590309,188.5726776123047,2264.0,365.24779151943466,1391.7611975292893,0.4519912898540497,827,759.2822875976562,0.19500720500946045,0.629575252532959,279.73583984375,827000,619.3728637695312,1.0,9158.295827627182,0.33927085995674133,0.39031097292900085,676.4873605828811,90.3006427795494,198.8019256591797
828.0,1284.6129963268406,0.7496044039726257,2.027177333831787,0.6940315365791321,896.6450589389433,0.0,0.014751292160020392,630.484619140625,2266.0,490.9631652832031,-696.7554931640625,-0.03179255127906799,193.08187866210938,2266.0,365.34510150044133,1399.354385803749,0.4518589973449707,828,718.451171875,0.20621025562286377,0.6297135949134827,566.4578857421875,828000,617.266357421875,1.0,9169.700835227966,0.43960902094841003,0.5427042841911316,677.2683936899659,90.29738427441458,208.10018920898438
829.0,1288.2367206763893,0.7559280395507812,2.026898145675659,0.7324769496917725,1740.3525718965448,0.0,0.014751292160020392,629.03173828125,2269.0,491.16082763671875,-697.81884765625,-0.03173474967479706,196.72537231445312,2269.0,365.3402379903041,1400.4075405512904,0.4518689215183258,829,749.4290771484375,0.2078648805618286,0.6297435164451599,572.8661499023438,829000,616.8336181640625,1.0,9182.053163051605,0.3946214020252228,0.4190399646759033,677.1957427874956,90.28481814240405,209.01690673828125
830.0,1264.8239995541733,0.5939268469810486,2.0269572734832764,0.58649742603302,2066.0748370948613,0.0,0.014751292160020392,623.2400512695312,2271.0,491.4385681152344,-697.9078369140625,-0.031701743602752686,195.80499267578125,2271.0,365.3575517393219,1412.6885256847427,0.45188453793525696,830,757.9249877929688,0.20320840179920197,0.6297762989997864,535.4119873046875,830000,610.693603515625,1.0,9194.644525527954,0.6125654578208923,0.5359367728233337,677.3491040247471,90.26993895148345,209.39532470703125
831.0,1279.1033052638115,0.7378978729248047,2.027003049850464,0.723861575126648,1949.7532555866703,0.0,0.014751292160020392,627.6243896484375,2272.0,491.8028869628906,-702.7400512695312,-0.03165867552161217,191.86155700683594,2272.0,365.6368838028169,1425.5374634173706,0.45172789692878723,831,739.9721069335938,0.21616268157958984,0.6298949718475342,478.0285949707031,831000,614.2862548828125,1.0,9206.820076942444,0.4370291233062744,0.39373090863227844,678.4507099474187,90.25917668155111,205.1533203125
832.0,1297.1388728263455,0.7818092107772827,2.027056932449341,0.7919366955757141,736.1679482538407,0.0,0.014751292160020392,627.3677978515625,2273.0,492.140380859375,-700.271728515625,-0.03169064596295357,197.3431396484375,2273.0,365.8886933567972,1425.0792453258412,0.4514448642730713,832,670.6874389648438,0.21180199086666107,0.6301178932189941,396.2333984375,832000,614.0889282226562,1.0,9217.980795145035,0.3123525381088257,0.3074040114879608,679.3204404461237,90.25837854188211,209.68121337890625
833.0,1226.6805644131084,0.7725623250007629,2.0271952152252197,0.7514845728874207,1444.9729529176077,0.0,0.014460633428115275,637.0526123046875,2276.0,492.3651428222656,-702.7306518554688,-0.031734224408864975,191.71768188476562,2276.0,365.9793497363796,1426.8947398816003,0.4512627124786377,833,761.1568603515625,0.2095022350549698,0.6302584409713745,598.4191284179688,833000,624.1890869140625,1.0,9229.781380653381,0.2212742567062378,0.2786470949649811,679.8591115588972,90.25132510137867,204.50888061523438
834.0,1238.8938928001155,0.7230291366577148,2.0274486541748047,0.7225399613380432,1051.2655510708566,0.0,0.014751292160020392,634.963134765625,2277.0,492.6731262207031,-703.9609985351562,-0.03174550458788872,182.1833038330078,2277.0,366.02635046113306,1420.263501333543,0.4510927200317383,834,746.873291015625,0.1831652969121933,0.630358099937439,768.0023193359375,834000,621.511474609375,1.0,9241.115039348602,0.3547642230987549,0.28956523537635803,680.1210636585091,90.2488494568928,196.03944396972656
