reference_actor_Q_std,train/param_noise_distance,total/steps,rollout/return_history,reference_Q_std,rollout/episode_steps,ret_rms_mean,reference_action_std,eval/episodes,ret_rms_std,reference_action_mean,rollout/return,train/loss_actor,rollout/actions_mean,total/steps_per_second,total/episodes,eval/return_history,train/loss_critic,eval/Q,total/duration,reference_Q_mean,total/epochs,obs_rms_std,rollout/actions_std,rollout/Q_mean,obs_rms_mean,rollout/episodes,eval/return,reference_actor_Q_mean
0.6766971945762634,0.0,1000,-170.96787590114215,0.5757259130477905,1000.0,0.0,0.08083301037549973,1.0,1.0,0.8819721341133118,-170.96787590114215,-0.03638478368520737,0.25862085819244385,87.99966850405637,1.0,-464.9230944468733,0.010456190444529057,-1.0402331352233887,11.36367917060852,-0.1575571596622467,1,0.24814192950725555,0.49422940611839294,-0.29557642340660095,0.04710732400417328,1.0,-464.9230944468733,0.061044804751873016
1.1620771884918213,0.0,2000,-294.7699508784236,1.5526467561721802,1000.0,0.0,0.596125066280365,2.0,1.0,-0.13961194455623627,-294.7699508784236,0.5725518465042114,0.4573834538459778,88.99614049125321,2.0,-170.42147422261425,0.026838861405849457,1.4708361625671387,22.47288465499878,-0.009327404201030731,2,0.3085295557975769,0.5506647229194641,-0.8719592094421387,0.09734250605106354,2.0,124.08014600164479,0.3480173945426941
1.2805900573730469,0.0,3000,-258.1486668947014,1.2633968591690063,1000.0,0.0,0.8195403218269348,3.0,1.0,-0.23453615605831146,-258.1486668947014,-0.4362141788005829,0.24385304749011993,89.41757837099078,3.0,-161.71831944177816,0.06763825565576553,0.749775230884552,33.55045008659363,0.7012583613395691,3,0.6030573844909668,0.6306822299957275,-0.5301454663276672,0.06398489326238632,3.0,-144.31200988010602,1.12569260597229
1.3320807218551636,0.0,4000,-237.04650996531976,1.4422096014022827,1000.0,0.0,0.849275529384613,4.0,1.0,-0.028329208493232727,-237.04650996531976,-1.1632205247879028,0.11120104789733887,89.69301044472004,4.0,-211.18098234971453,0.15167024731636047,-0.285269170999527,44.59656310081482,1.722880244255066,4,0.8365764617919922,0.6725011467933655,-0.35707077383995056,0.0583004355430603,4.0,-359.5689710735236,2.183462619781494
1.3826556205749512,0.0,5000,-236.71211557432957,1.5350879430770874,1000.0,0.0,0.7019785046577454,5.0,1.0,0.1015726625919342,-236.71211557432957,-2.5140233039855957,0.06984011083841324,89.86324456810917,5.0,-191.67235381816167,0.15286535024642944,4.508936882019043,55.640100955963135,3.5829172134399414,5,0.9726643562316895,0.6749612092971802,-0.19083447754383087,0.06510796397924423,5.0,-113.63783969195026,4.150662899017334
1.7608497142791748,0.0,6000,-255.3232601999381,1.8083982467651367,1000.0,0.0,0.7687854766845703,6.0,1.0,0.0008265972137451172,-255.3232601999381,-3.755464553833008,0.07225202023983002,89.92761437494286,6.0,-180.49099046075085,0.11731602996587753,6.222071647644043,66.72032880783081,6.181469917297363,6,0.9704790711402893,0.6931402087211609,-0.1734527051448822,0.08245009183883667,6.0,-124.58417367369682,6.892192363739014
1.8148038387298584,0.0,7000,-247.28931371584875,1.9452388286590576,1000.0,0.0,0.6607706546783447,7.0,1.0,-0.010018796660006046,-247.28931371584875,-5.211188316345215,0.05246605724096298,89.92220072919481,7.0,-134.6896742061248,0.14875124394893646,9.20602798461914,77.8450698852539,8.656288146972656,7,1.062345027923584,0.6884878873825073,0.2985811233520508,0.08636768162250519,7.0,140.11822332163166,9.263591766357422
1.9451563358306885,0.0,8000,-264.14658534383096,1.9872558116912842,1000.0,0.0,0.7354872226715088,8.0,1.0,-0.04153262451291084,-264.14658534383096,-5.537376880645752,0.0343509279191494,89.95519991678567,8.0,-178.98364931537245,0.11924868822097778,-0.8860384821891785,88.9331579208374,10.996007919311523,8,1.029314398765564,0.7096154689788818,0.19479505717754364,0.0943821594119072,8.0,-489.041475080106,11.597837448120117
2.085200309753418,0.0,9000,-265.00881573065686,2.186082124710083,1000.0,0.0,0.6803420782089233,9.0,1.0,0.04082278534770012,-265.00881573065686,-5.8502583503723145,0.003643244970589876,90.02194646380369,9.0,-212.17410493218483,0.17501908540725708,-0.7257354259490967,99.97562098503113,12.940630912780762,9,1.011622428894043,0.7121137380599976,0.12198486179113388,0.09487178176641464,9.0,-477.69774986668415,13.511795043945312
2.1599040031433105,0.0,10000,-282.5441494673276,2.2434241771698,1000.0,0.0,0.6757040619850159,10.0,1.0,0.10056907683610916,-282.5441494673276,-5.194303512573242,-0.019311999902129173,90.1096465542663,10.0,-238.17107478586522,0.1641601026058197,-2.328064441680908,110.97590970993042,15.36529541015625,10,0.9840034246444702,0.7316395044326782,-0.07409211248159409,0.09600191563367844,10.0,-472.1438034689887,16.123289108276367
