eval/episodes,reference_perturbed_action_mean,total/duration,train/loss_critic,reference_perturbed_action_std,reference_actor_Q_std,reference_actor_Q_mean,rollout/return,obs_rms_std,total/steps,reference_Q_std,reference_action_std,rollout/episodes,total/epochs,total/steps_per_second,eval/return,reference_action_mean,eval/Q,obs_rms_mean,eval/return_history,rollout/Q_mean,rollout/actions_mean,rollout/return_history,ret_rms_mean,reference_Q_mean,train/loss_actor,train/param_noise_distance,total/episodes,rollout/actions_std,param_noise_stddev,rollout/episode_steps,ret_rms_std
1.0,0.8655254244804382,9.425674676895142,0.09503490477800369,0.18511788547039032,2.99794864654541,2.2716562747955322,6.4058403511969,1.5138193368911743,1000,3.261445999145508,0.1124730184674263,17.0,1,106.09320120619783,75.4965953695814,0.9028654098510742,2.3821566104888916,-0.18580728769302368,75.4965953695814,1.217282772064209,0.5822509527206421,6.4058403511969,0.0,1.8227980136871338,-2.2351877689361572,0.16537033021450043,17.0,0.5469367504119873,0.17056425244126316,50.11764705882353,1.0
2.0,0.8205054402351379,18.60489010810852,0.4019756317138672,0.36134862899780273,5.297664165496826,5.3731303215026855,34.722889245141886,1.3042722940444946,2000,5.378199100494385,0.16458652913570404,22.0,2,107.49861936181742,82.03228991785883,0.9450796246528625,3.8208513259887695,-0.05843020975589752,78.76444264372012,2.5422744750976562,0.6951327323913574,34.722889245141886,0.0,4.719868183135986,-5.820805549621582,0.11756701022386551,22.0,0.45507338643074036,0.15751322548474425,83.5909090909091,1.0
3.0,0.7638376355171204,27.65296769142151,0.3918091058731079,0.3608470559120178,7.941812038421631,7.727842330932617,41.791404255010626,1.133636713027954,3000,7.967076778411865,0.1587401181459427,27.0,3,108.48745181627137,69.55676766991334,0.9158549308776855,4.637444972991943,-0.008363008499145508,75.69521765245119,4.102485656738281,0.7560523152351379,41.791404255010626,0.0,7.185288429260254,-8.5314359664917,0.17206987738609314,27.0,0.4023553133010864,0.14259466822295333,102.88888888888889,1.0
4.0,0.7499074935913086,36.283684492111206,1.0149449110031128,0.3508497178554535,10.348930358886719,11.25631046295166,55.93879940234808,1.041244387626648,4000,10.543828010559082,0.5456669330596924,32.0,4,110.2423873427099,-18.5621935499706,0.6710130572319031,5.8867974281311035,0.012315732426941395,52.13086485184574,4.84373140335083,0.775090754032135,55.93879940234808,0.0,10.52184009552002,-11.831368446350098,0.6500809788703918,32.0,0.37091565132141113,0.11686267184170265,117.90625,1.0
5.0,0.7024698257446289,45.28832173347473,0.6905959844589233,0.5087663531303406,12.36843490600586,15.129573822021484,56.25694498258989,1.0270735025405884,5000,12.483919143676758,0.5839067101478577,40.0,5,110.4037378427354,-2.89268361743056,0.634615421295166,14.321465492248535,0.007614365313202143,41.12615515799048,7.06054162979126,0.7588760256767273,56.25694498258989,0.0,14.138935089111328,-16.099536895751953,0.5336943864822388,40.0,0.3915724456310272,0.09577415649670935,123.675,1.0
6.0,0.8144416809082031,54.43762230873108,0.7567046284675598,0.41367819905281067,14.879142761230469,18.468544006347656,57.81714880147396,0.979587197303772,6000,14.935815811157227,0.5138757824897766,45.0,6,110.21789243424908,103.43047841813177,0.7238101959228516,21.22802734375,0.013430256396532059,51.51020903468069,8.845376014709473,0.7619167566299438,57.81714880147396,0.0,17.44208526611328,-19.05645179748535,0.3290058970451355,45.0,0.3905054032802582,0.07849118035809692,130.84444444444443,1.0
7.0,0.6191011071205139,63.01593995094299,0.941176176071167,0.5100077986717224,15.431273460388184,19.759845733642578,77.48710444873463,0.947180449962616,7000,15.147236824035645,0.6859922409057617,51.0,7,111.0830054340124,36.625554143076954,0.38620901107788086,42.766197204589844,0.03701064735651016,49.38382976445159,12.782965660095215,0.7554769515991211,77.48710444873463,0.0,18.363651275634766,-22.171228408813477,0.4099964201450348,51.0,0.38319453597068787,0.06432701283272566,136.47058823529412,1.0
8.0,0.6488280892372131,71.83263349533081,1.422142744064331,0.5428529381752014,17.322021484375,19.61873435974121,94.64058706880122,0.9673274755477905,8000,16.828683853149414,0.7168385982513428,58.0,8,111.3699945376499,186.65854575409068,0.4062524735927582,54.323829650878906,0.05230867862701416,66.54316926315647,17.326269149780273,0.7385871410369873,94.64058706880122,0.0,18.16989517211914,-25.942323684692383,0.241577610373497,58.0,0.38848888874053955,0.052718847660376544,136.43103448275863,1.0
9.0,0.552071750164032,80.37656593322754,2.410804033279419,0.6311644911766052,19.662487030029297,19.481294631958008,107.00118757305067,1.0560054779052734,9000,18.96510887145996,0.7094899415969849,66.0,9,111.97293509002,52.199663344394956,0.5366411805152893,51.799129486083984,0.046076614409685135,64.94944638329407,21.626708984375,0.7152982354164124,107.00118757305067,0.0,17.669540405273438,-31.039037704467773,0.20919838547706604,66.0,0.42876145243644714,0.04320544008261588,134.96969696969697,1.0
10.0,0.635137140750885,89.13977122306824,5.759406566619873,0.6423534750938416,22.66480827331543,21.230709075927734,115.90004676076306,1.1729713678359985,10000,21.448604583740234,0.6228283643722534,76.0,10,112.18337070863076,192.86876480584297,0.6226226687431335,66.7162094116211,0.03386232256889343,77.74137822554897,25.842681884765625,0.6893249750137329,115.90004676076306,0.0,18.841718673706055,-34.23381805419922,0.2546822130680084,76.0,0.4686912000179291,0.03834263432855746,130.35526315789474,1.0
11.0,0.6007343530654907,97.88440775871277,4.778275012969971,0.6494592428207397,23.90874481201172,23.904977798461914,125.21864946962538,1.2405506372451782,11000,23.261545181274414,0.7494456171989441,86.0,11,112.37744858318236,156.75737973466266,0.450870156288147,65.9915771484375,0.03195551410317421,84.92465109001385,29.44008445739746,0.6768894195556641,125.21864946962538,0.0,21.497943878173828,-41.510616302490234,0.2562803030014038,86.0,0.47985732555389404,0.03269941380439557,127.59302325581395,1.0
12.0,0.5279030203819275,106.80466961860657,5.005711555480957,0.6523383259773254,24.3232479095459,29.060970306396484,127.12540164448097,1.2993613481521606,12000,24.05506706237793,0.7428154349327087,91.0,12,112.35463807763576,51.39315745736597,0.46873244643211365,44.08280563354492,0.02477237954735756,82.13035995395985,31.778989791870117,0.6646990776062012,127.12540164448097,0.0,26.889142990112305,-48.79930114746094,0.3058904707431793,91.0,0.48902586102485657,0.027886755354071244,129.71428571428572,1.0
