obs_rms_mean,total/duration,rollout/actions_std,ret_rms_mean,reference_actor_Q_mean,reference_action_mean,eval/return,reference_Q_std,total/episodes,eval/return_history,rollout/actions_mean,train/loss_critic,train/loss_actor,ret_rms_std,reference_action_std,rollout/Q_mean,rollout/return,train/param_noise_distance,rollout/episode_steps,eval/episodes,obs_rms_std,reference_actor_Q_std,rollout/return_history,total/steps_per_second,reference_Q_mean,eval/Q,total/epochs,rollout/episodes,total/steps
0.04520831257104874,3188.5692925453186,0.6458536386489868,0.0,385.3285217285156,-0.2253406047821045,1949.7666545717825,4.306092739105225,286.0,1620.31472018111,-0.10385162383317947,63.941036224365234,-392.37078857421875,1.0,0.7181969285011292,246.7453155517578,912.9022186003007,0.0,1000.0,286.0,2.252122402191162,4.249443054199219,1365.4496934118238,89.69540058880033,382.74615478515625,412.99310302734375,286,286.0,286000
0.045280542224645615,3199.761395215988,0.6456019282341003,0.0,386.06695556640625,-0.15557469427585602,2097.4140022772194,5.696795463562012,287.0,1625.1439145770125,-0.10399554669857025,315.15899658203125,-389.9294128417969,1.0,0.6577763557434082,247.30787658691406,916.0537247552331,0.0,1000.0,287.0,2.2520244121551514,4.798709869384766,1367.107533250474,89.69418795698269,383.31280517578125,413.56158447265625,287,287.0,287000
0.045460768043994904,3210.871247291565,0.645544171333313,0.0,386.620849609375,-0.008546251803636551,2213.314379940056,4.882246971130371,288.0,1629.1066560846762,-0.10371287167072296,335.9139404296875,-390.5323791503906,1.0,0.6898081302642822,247.82119750976562,918.0646257971371,0.0,1000.0,288.0,2.2526931762695312,4.250979900360107,1366.9177510163906,89.69528137976066,384.03814697265625,413.37176513671875,288,288.0,288000
0.045501966029405594,3222.0153217315674,0.6452589631080627,0.0,388.36572265625,-0.1295267790555954,2240.617998831841,6.256622314453125,289.0,1650.989490740955,-0.10355120897293091,68.47134399414062,-390.9471130371094,1.0,0.6572991609573364,248.39654541015625,922.3012840245859,0.0,1000.0,289.0,2.2528085708618164,5.645095348358154,1371.1656529987345,89.69541455957024,385.60931396484375,415.6798400878906,289,289.0,289000
0.045598894357681274,3233.1745386123657,0.6449511647224426,0.0,387.42010498046875,-0.045097824186086655,2067.2994891483986,4.995358943939209,290.0,1655.1601468487597,-0.10393302887678146,117.75279235839844,-391.1877746582031,1.0,0.674173891544342,248.970947265625,926.6935755946882,0.0,1000.0,290.0,2.2528650760650635,4.74556303024292,1377.4212660987866,89.69512673586253,384.6717834472656,410.21429443359375,290,290.0,290000
0.045695915818214417,3244.3493161201477,0.6450849175453186,0.0,384.0129699707031,-0.08150532096624374,1952.6409810399691,9.239594459533691,291.0,1655.0890527523352,-0.10407548397779465,214.71665954589844,-391.4355773925781,1.0,0.6540713906288147,249.50653076171875,928.7119973106646,0.0,1000.0,291.0,2.2534279823303223,7.780137538909912,1382.1494004896024,89.69441069557857,380.692626953125,405.4531555175781,291,291.0,291000
0.04575178027153015,3255.598224401474,0.6451646089553833,0.0,386.4554138183594,0.13975606858730316,2487.7092400507086,5.437770366668701,292.0,1661.8005865520242,-0.10395883023738861,162.02081298828125,-392.7597351074219,1.0,0.6193134188652039,250.02865600585938,929.7447960223446,0.0,1000.0,292.0,2.2540745735168457,5.019906044006348,1376.7250185554672,89.69165722336109,384.31146240234375,415.83740234375,292,292.0,292000
0.045791007578372955,3266.849244117737,0.6451904773712158,0.0,387.6820983886719,0.11032361537218094,1964.82561143674,7.36051607131958,293.0,1661.7495189022904,-0.10397663712501526,90.21990966796875,-393.1822509765625,1.0,0.6127790212631226,250.57376098632812,932.3889345000737,0.0,1000.0,293.0,2.2539260387420654,6.162609100341797,1378.8888816188694,89.68886474561798,385.1783142089844,413.7699890136719,293,293.0,293000
0.045891668647527695,3278.0043165683746,0.6450946927070618,0.0,385.9298095703125,0.08269426226615906,2135.0810619230774,5.337864875793457,294.0,1663.1536173744375,-0.10440278798341751,257.8168640136719,-392.4792175292969,1.0,0.5969813466072083,251.1175994873047,935.1196312410768,0.0,1000.0,294.0,2.254276990890503,5.3107218742370605,1381.08717499771,89.68871655049499,384.2308044433594,414.770751953125,294,294.0,294000
0.04598509520292282,3289.21328997612,0.6450970768928528,0.0,380.6551208496094,-0.06895332783460617,1684.9095187958599,8.832793235778809,295.0,1661.28236415277,-0.10406729578971863,103.3857421875,-392.1695251464844,1.0,0.598994791507721,251.65695190429688,937.7625873580208,0.0,1000.0,295.0,2.255746841430664,8.832999229431152,1390.556244604542,89.68709961710684,378.93939208984375,400.0906066894531,295,295.0,295000
0.04605202376842499,3300.4017112255096,0.6451300382614136,0.0,382.665283203125,-0.18629495799541473,2375.869560728361,7.639020919799805,296.0,1665.2916852127291,-0.10395298153162003,251.27215576171875,-392.73321533203125,1.0,0.5906561613082886,252.1499481201172,938.719254276693,0.0,1000.0,296.0,2.25579571723938,8.226598739624023,1387.8967092041607,89.68605215335708,380.564208984375,415.5815734863281,296,296.0,296000
0.046080082654953,3311.499722957611,0.6451361775398254,0.0,383.4912109375,-0.10040535777807236,738.6482845378098,8.847647666931152,297.0,1652.5564678909745,-0.10406763106584549,42.59357833862305,-393.21502685546875,1.0,0.6372817754745483,252.65072631835938,940.2348423154542,0.0,1000.0,297.0,2.2553608417510986,9.11705493927002,1386.5124136793363,89.68746031925963,381.4451599121094,383.2561950683594,297,297.0,297000
0.04611316695809364,3322.603929042816,0.6451384425163269,0.0,381.25201416015625,-0.10688216239213943,1739.4487170998443,8.064852714538574,298.0,1656.1966301984708,-0.1040634959936142,252.88999938964844,-391.8290710449219,1.0,0.6616429686546326,253.14540100097656,941.1183712736214,0.0,1000.0,298.0,2.2559170722961426,7.657125473022461,1384.4400758566821,89.68869187061021,379.4613037109375,407.67218017578125,298,298.0,298000
0.046231478452682495,3333.848242521286,0.6451243162155151,0.0,383.86163330078125,0.0019316673278808594,2056.5987675587703,6.315886974334717,299.0,1668.1560307339566,-0.10355052351951599,149.74249267578125,-390.36065673828125,1.0,0.6473503708839417,253.6625518798828,943.728946448579,0.0,1000.0,299.0,2.2565762996673584,5.556855201721191,1392.030464210677,89.68614593382799,381.7261962890625,412.9371032714844,299,299.0,299000
